date, cases/day,ICU,Deaths,Cured,days,Death Rate %,Cured Rate %,Infection Rate %,Cumulative Cases
24-Feb-20,5.0,0.0,0.0,0.0,0,0.0,0.0,100.0,5.0
25-Feb-20,6.0,0.0,0.0,0.0,1,0.0,0.0,100.0,11.0
26-Feb-20,15.0,0.0,0.0,0.0,2,0.0,0.0,100.0,26.0
27-Feb-20,17.0,0.0,0.0,0.0,3,0.0,0.0,100.0,43.0
28-Feb-20,2.0,0.0,0.0,0.0,4,0.0,0.0,100.0,45.0
29-Feb-20,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,45.0
1-Mar-20,1.0,0.0,0.0,0.0,6,0.0,0.0,100.0,46.0
2-Mar-20,10.0,0.0,0.0,0.0,7,0.0,0.0,100.0,56.0
3-Mar-20,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,56.0
4-Mar-20,0.0,2.0,0.0,0.0,9,0.0,0.0,0.0,56.0
5-Mar-20,2.0,0.0,0.0,0.0,10,0.0,0.0,100.0,58.0
6-Mar-20,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,58.0
7-Mar-20,3.0,0.0,0.0,0.0,12,0.0,0.0,100.0,61.0
8-Mar-20,3.0,1.0,0.0,0.0,13,0.0,0.0,100.0,64.0
9-Mar-20,1.0,0.0,0.0,1.0,14,0.0,100.0,0.0,65.0
10-Mar-20,4.0,1.0,0.0,0.0,15,0.0,0.0,100.0,69.0
11-Mar-20,3.0,1.0,3.0,0.0,16,100.0,0.0,100.0,72.0
12-Mar-20,8.0,0.0,0.0,0.0,17,0.0,0.0,100.0,80.0
13-Mar-20,20.0,0.0,0.0,0.0,18,0.0,0.0,100.0,100.0
14-Mar-20,4.0,2.0,0.0,2.0,19,0.0,50.0,50.0,104.0
15-Mar-20,8.0,0.0,0.0,2.0,20,0.0,25.0,75.0,112.0
16-Mar-20,11.0,0.0,0.0,3.0,21,0.0,27.27,72.73,123.0
17-Mar-20,7.0,0.0,0.0,0.0,22,0.0,0.0,100.0,130.0
18-Mar-20,12.0,0.0,0.0,3.0,23,0.0,25.0,75.0,142.0
19-Mar-20,6.0,1.0,0.0,3.0,24,0.0,50.0,50.0,148.0
20-Mar-20,11.0,0.0,0.0,4.0,25,0.0,36.36,63.64,159.0
21-Mar-20,17.0,0.0,0.0,5.0,26,0.0,29.41,70.59,176.0
22-Mar-20,12.0,0.0,0.0,3.0,27,0.0,25.0,75.0,188.0
