Selection,RS
Cross Over,DPC2
Mutation,SM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1489,1445,1453,1452,1400
500,1257,1261,1259,1240,1228
1000,1224,1261,1258,1240,1226
1500,1219,1255,1258,1235,1226
2000,1219,1247,1245,1229,1224
2500,1219,1247,1241,1229,1216
3000,1219,1247,1241,1229,1216
3500,1219,1247,1240,1229,1216
4000,1219,1247,1240,1228,1216
4500,1219,1247,1235,1225,1216
5000,1219,1247,1235,1221,1216
5500,1219,1247,1227,1221,1216
6000,1219,1237,1227,1208,1216
6500,1211,1237,1227,1208,1216
7000,1211,1232,1227,1208,1216
7500,1211,1226,1223,1208,1216
8000,1211,1226,1223,1208,1216
8500,1211,1226,1223,1208,1216
9000,1211,1226,1222,1208,1216
9500,1211,1226,1222,1208,1216
10000,1208,1226,1222,1208,1216
10500,1208,1223,1222,1208,1216
11000,1208,1223,1222,1208,1216
11500,1208,1223,1222,1208,1216
12000,1208,1210,1222,1208,1216
12500,1208,1209,1222,1208,1216
13000,1208,1209,1214,1208,1216
13500,1208,1209,1212,1208,1216
14000,1208,1209,1212,1208,1216
14500,1208,1209,1210,1208,1216
15000,1208,1209,1210,1208,1216
15500,1208,1209,1210,1208,1216
16000,1208,1209,1210,1208,1216
16500,1207,1209,1210,1208,1216
17000,1207,1209,1210,1208,1216
17500,1207,1209,1210,1208,1216
18000,1207,1209,1205,1208,1216
18500,1206,1209,1205,1208,1216
19000,1206,1209,1205,1208,1216
19500,1206,1209,1205,1203,1216
20000,1206,1209,1205,1191,1216
20500,1206,1209,1205,1191,1216
21000,1206,1209,1205,1191,1216
21500,1206,1209,1205,1191,1216
22000,1206,1209,1205,1191,1216
22500,1206,1209,1205,1191,1216
23000,1206,1209,1205,1191,1216
23500,1206,1209,1205,1191,1216
24000,1206,1209,1205,1191,1216
24500,1206,1209,1205,1191,1216
25000,1206,1209,1205,1191,1216
25500,1206,1209,1205,1191,1216
26000,1206,1209,1205,1191,1216
26500,1204,1209,1205,1191,1216
27000,1202,1209,1205,1191,1216
27500,1202,1209,1205,1191,1216
28000,1202,1209,1205,1191,1216
28500,1201,1209,1205,1191,1216
29000,1201,1209,1205,1191,1216
29500,1201,1209,1205,1191,1216
30000,1201,1209,1205,1191,1216
