Selection,RS
Cross Over,SC
Mutation,SM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1457,1482,1397,1440,1425
500,1297,1278,1250,1240,1265
1000,1295,1264,1241,1240,1265
1500,1295,1264,1241,1240,1238
2000,1295,1262,1241,1240,1231
2500,1294,1258,1239,1240,1231
3000,1292,1252,1237,1240,1231
3500,1289,1251,1237,1240,1231
4000,1289,1251,1237,1240,1231
4500,1289,1251,1237,1240,1231
5000,1289,1251,1237,1240,1231
5500,1247,1251,1237,1240,1231
6000,1246,1251,1222,1240,1231
6500,1240,1251,1222,1237,1231
7000,1237,1251,1217,1237,1231
7500,1237,1251,1210,1237,1231
8000,1237,1251,1205,1232,1231
8500,1237,1251,1205,1232,1231
9000,1236,1251,1205,1232,1231
9500,1225,1251,1205,1232,1229
10000,1225,1251,1204,1232,1222
10500,1224,1251,1204,1232,1212
11000,1220,1251,1204,1232,1212
11500,1220,1251,1204,1232,1212
12000,1220,1251,1204,1229,1212
12500,1220,1251,1204,1228,1212
13000,1220,1251,1204,1225,1212
13500,1220,1248,1204,1225,1212
14000,1220,1241,1204,1222,1212
14500,1220,1240,1204,1216,1212
15000,1220,1240,1204,1211,1212
15500,1220,1240,1204,1211,1212
16000,1220,1240,1204,1211,1212
16500,1220,1240,1204,1211,1212
17000,1220,1240,1204,1211,1212
17500,1219,1240,1204,1211,1212
18000,1219,1240,1204,1206,1212
18500,1219,1240,1204,1206,1212
19000,1219,1240,1204,1206,1212
19500,1219,1240,1204,1206,1212
20000,1219,1240,1200,1206,1212
20500,1219,1240,1200,1206,1212
21000,1217,1240,1200,1206,1210
21500,1217,1240,1200,1202,1210
22000,1217,1240,1200,1202,1210
22500,1217,1240,1200,1202,1210
23000,1217,1240,1200,1202,1210
23500,1217,1240,1200,1202,1210
24000,1217,1240,1200,1202,1210
24500,1217,1240,1200,1202,1210
25000,1217,1240,1200,1202,1210
25500,1217,1240,1200,1202,1210
26000,1217,1240,1200,1202,1210
26500,1217,1240,1200,1202,1210
27000,1217,1240,1200,1202,1210
27500,1217,1240,1200,1202,1210
28000,1217,1240,1200,1202,1210
28500,1217,1240,1200,1202,1210
29000,1217,1240,1200,1202,1210
29500,1217,1240,1188,1202,1210
30000,1217,1240,1187,1202,1210
30500,1217,1240,1187,1202,1210
31000,1217,1240,1187,1202,1210
31500,1217,1240,1187,1202,1210
32000,1217,1240,1187,1202,1210
32500,1217,1240,1182,1202,1210
33000,1217,1240,1182,1202,1210
33500,1217,1240,1182,1202,1210
34000,1217,1240,1182,1202,1210
34500,1217,1240,1182,1202,1210
35000,1217,1240,1182,1202,1210
35500,1215,1240,1182,1202,1210
36000,1206,1240,1182,1202,1210
36500,1206,1240,1182,1202,1210
37000,1206,1240,1182,1202,1210
37500,1206,1240,1182,1202,1210
38000,1206,1240,1182,1202,1207
38500,1206,1240,1182,1202,1207
39000,1206,1240,1182,1202,1207
39500,1206,1240,1182,1202,1207
40000,1203,1214,1182,1202,1207
40500,1203,1214,1182,1202,1207
41000,1203,1210,1182,1202,1207
41500,1203,1210,1182,1202,1207
42000,1203,1203,1182,1202,1207
42500,1203,1201,1182,1202,1207
43000,1203,1200,1182,1202,1201
43500,1203,1200,1182,1202,1201
44000,1203,1200,1182,1202,1201
44500,1203,1200,1182,1202,1201
45000,1203,1200,1182,1202,1201
45500,1203,1199,1182,1202,1201
46000,1203,1199,1182,1202,1201
46500,1203,1199,1182,1202,1201
47000,1203,1199,1182,1202,1201
47500,1203,1199,1182,1202,1201
48000,1200,1199,1182,1202,1201
48500,1198,1199,1182,1202,1201
49000,1198,1199,1182,1202,1201
49500,1198,1199,1182,1202,1201
50000,1198,1199,1182,1202,1201
50500,1191,1199,1182,1202,1201
51000,1186,1199,1182,1202,1201
51500,1186,1199,1182,1202,1201
52000,1186,1199,1182,1202,1201
52500,1186,1199,1182,1202,1201
53000,1186,1199,1182,1202,1201
53500,1186,1199,1182,1202,1201
54000,1186,1199,1182,1202,1201
54500,1186,1199,1182,1202,1201
55000,1186,1195,1182,1202,1201
55500,1186,1195,1182,1202,1201
56000,1186,1194,1182,1202,1201
56500,1186,1194,1182,1202,1201
57000,1186,1188,1182,1202,1201
57500,1186,1188,1182,1202,1201
58000,1186,1187,1182,1202,1201
58500,1186,1187,1182,1202,1201
59000,1186,1186,1182,1202,1201
59500,1186,1186,1182,1202,1201
60000,1186,1186,1182,1202,1201
60500,1186,1185,1182,1198,1201
61000,1186,1185,1182,1198,1201
61500,1186,1185,1182,1198,1201
62000,1186,1185,1182,1198,1201
62500,1185,1185,1182,1198,1201
63000,1185,1185,1182,1198,1201
63500,1185,1185,1182,1196,1201
64000,1185,1185,1182,1196,1201
64500,1185,1185,1182,1196,1201
65000,1185,1185,1182,1196,1201
65500,1185,1185,1182,1196,1201
66000,1185,1184,1182,1196,1201
66500,1185,1184,1182,1196,1201
67000,1185,1184,1182,1196,1201
67500,1185,1184,1182,1196,1201
68000,1184,1184,1182,1196,1201
68500,1184,1184,1182,1196,1201
69000,1184,1184,1182,1196,1201
69500,1184,1184,1182,1196,1201
70000,1184,1184,1182,1196,1201
70500,1184,1184,1182,1196,1201
71000,1184,1184,1182,1196,1201
71500,1184,1184,1182,1196,1201
72000,1184,1184,1182,1196,1201
72500,1184,1184,1182,1196,1201
73000,1184,1184,1182,1196,1201
73500,1184,1184,1182,1196,1201
74000,1184,1184,1182,1196,1201
74500,1184,1184,1182,1196,1201
