Selection,RS
Cross Over,SC
Mutation,SPSM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1463,1481,1441,1462,1390
500,1313,1290,1298,1283,1274
1000,1313,1288,1291,1270,1273
1500,1282,1287,1291,1270,1268
2000,1282,1282,1291,1263,1260
2500,1266,1274,1288,1263,1255
3000,1262,1274,1288,1263,1254
3500,1256,1274,1288,1263,1254
4000,1256,1274,1288,1263,1244
4500,1256,1270,1287,1263,1244
5000,1256,1270,1270,1262,1244
5500,1256,1270,1270,1262,1244
6000,1256,1270,1267,1262,1244
6500,1256,1269,1267,1262,1244
7000,1256,1269,1267,1262,1236
7500,1256,1267,1267,1262,1229
8000,1256,1267,1262,1262,1221
8500,1256,1267,1262,1262,1221
9000,1256,1267,1262,1262,1221
9500,1256,1267,1262,1262,1221
10000,1256,1267,1262,1262,1221
10500,1256,1267,1262,1262,1221
11000,1256,1267,1262,1262,1221
11500,1256,1267,1262,1262,1221
12000,1256,1267,1262,1262,1221
12500,1256,1267,1262,1262,1221
13000,1256,1267,1262,1262,1221
13500,1256,1267,1262,1262,1221
14000,1256,1267,1259,1262,1221
14500,1256,1267,1259,1262,1221
15000,1256,1267,1259,1262,1221
15500,1256,1267,1259,1262,1221
16000,1256,1267,1259,1262,1221
16500,1256,1267,1259,1262,1221
17000,1256,1267,1259,1260,1221
17500,1256,1267,1259,1260,1221
18000,1256,1267,1259,1260,1221
18500,1256,1267,1259,1260,1221
19000,1256,1267,1259,1260,1221
19500,1256,1267,1259,1260,1221
20000,1256,1267,1259,1260,1221
20500,1254,1267,1259,1260,1221
21000,1254,1267,1259,1260,1221
21500,1254,1267,1259,1260,1221
22000,1254,1267,1259,1260,1221
22500,1254,1267,1259,1260,1221
23000,1254,1267,1259,1260,1221
23500,1254,1267,1259,1260,1221
24000,1254,1267,1259,1260,1221
24500,1254,1267,1259,1260,1221
25000,1254,1267,1259,1260,1221
25500,1254,1267,1259,1259,1221
26000,1254,1267,1259,1259,1221
26500,1254,1267,1259,1259,1221
27000,1254,1267,1259,1259,1221
27500,1254,1267,1259,1259,1221
28000,1254,1267,1259,1259,1221
28500,1254,1267,1259,1259,1221
29000,1254,1267,1259,1259,1221
29500,1254,1267,1259,1259,1221
30000,1254,1267,1259,1259,1221
30500,1254,1267,1259,1259,1221
31000,1254,1267,1259,1259,1221
31500,1254,1263,1259,1259,1221
32000,1254,1263,1259,1257,1221
32500,1254,1263,1259,1257,1221
33000,1254,1263,1259,1257,1221
33500,1254,1263,1259,1257,1221
34000,1254,1263,1259,1257,1221
34500,1254,1263,1259,1257,1221
35000,1254,1263,1259,1257,1221
35500,1254,1263,1259,1257,1221
36000,1254,1263,1259,1257,1221
36500,1254,1263,1259,1257,1221
37000,1254,1263,1259,1257,1221
37500,1254,1263,1259,1257,1221
38000,1254,1263,1259,1257,1221
38500,1254,1263,1259,1257,1221
39000,1254,1263,1259,1257,1221
39500,1254,1263,1259,1257,1221
40000,1254,1263,1259,1257,1221
40500,1254,1263,1259,1257,1221
41000,1254,1263,1259,1257,1221
41500,1254,1263,1259,1257,1221
42000,1254,1263,1259,1257,1221
42500,1254,1263,1259,1257,1221
43000,1254,1263,1259,1257,1221
43500,1254,1263,1259,1257,1221
44000,1254,1263,1259,1257,1221
44500,1254,1263,1259,1257,1221
45000,1254,1263,1259,1257,1221
45500,1254,1263,1259,1257,1221
46000,1254,1263,1259,1257,1221
46500,1254,1263,1259,1257,1221
47000,1254,1263,1259,1257,1221
47500,1254,1263,1259,1257,1221
48000,1254,1263,1259,1257,1221
48500,1254,1263,1259,1257,1221
49000,1254,1263,1259,1257,1221
49500,1254,1263,1259,1257,1221
50000,1254,1263,1259,1257,1221
50500,1254,1263,1259,1257,1221
51000,1254,1263,1259,1257,1221
51500,1254,1263,1259,1257,1221
52000,1254,1263,1259,1257,1221
52500,1253,1263,1259,1257,1221
53000,1253,1259,1259,1257,1221
53500,1253,1259,1259,1257,1221
54000,1253,1259,1259,1257,1221
54500,1253,1259,1259,1257,1214
55000,1253,1259,1259,1257,1214
55500,1253,1259,1259,1257,1214
56000,1253,1259,1259,1257,1214
56500,1253,1259,1259,1257,1214
57000,1253,1255,1259,1257,1214
57500,1253,1255,1259,1257,1214
58000,1253,1255,1259,1257,1214
58500,1253,1255,1259,1257,1214
59000,1253,1255,1259,1257,1214
59500,1253,1255,1259,1257,1214
60000,1253,1255,1259,1257,1214
60500,1253,1255,1259,1257,1214
61000,1253,1255,1259,1257,1214
61500,1253,1255,1259,1257,1214
62000,1253,1255,1259,1257,1214
62500,1253,1255,1259,1257,1214
63000,1253,1255,1259,1257,1214
63500,1253,1255,1259,1257,1214
64000,1253,1255,1259,1257,1214
64500,1253,1255,1259,1257,1214
65000,1253,1255,1259,1257,1214
65500,1253,1255,1259,1257,1214
66000,1253,1255,1259,1257,1214
66500,1253,1255,1259,1257,1214
67000,1253,1255,1259,1257,1214
67500,1253,1255,1259,1257,1214
68000,1253,1255,1259,1257,1214
68500,1253,1255,1259,1257,1214
69000,1253,1255,1259,1257,1214
69500,1253,1255,1259,1257,1214
70000,1253,1255,1259,1257,1214
70500,1253,1255,1259,1257,1214
71000,1253,1255,1259,1257,1214
71500,1253,1255,1259,1257,1214
72000,1253,1255,1259,1257,1214
72500,1253,1255,1259,1257,1214
