Selection,RS
Cross Over,UC
Mutation,SM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1441,1446,1473,1467,1433
500,1309,1296,1345,1282,1336
1000,1295,1294,1320,1282,1286
1500,1295,1294,1320,1269,1282
2000,1295,1287,1282,1269,1277
2500,1283,1287,1274,1269,1277
3000,1283,1287,1274,1268,1277
3500,1283,1287,1274,1268,1277
4000,1283,1273,1274,1268,1277
4500,1283,1273,1257,1267,1276
5000,1283,1273,1257,1267,1273
5500,1283,1273,1257,1267,1273
6000,1280,1273,1257,1262,1273
6500,1280,1269,1257,1255,1273
7000,1280,1269,1257,1255,1273
7500,1280,1269,1257,1255,1271
8000,1262,1269,1257,1252,1267
8500,1257,1269,1257,1252,1261
9000,1255,1269,1257,1249,1253
9500,1255,1260,1257,1249,1238
10000,1255,1260,1257,1249,1232
10500,1255,1260,1257,1249,1232
11000,1255,1260,1256,1249,1229
11500,1255,1260,1256,1249,1229
12000,1255,1260,1256,1249,1229
12500,1255,1260,1256,1249,1229
13000,1255,1260,1256,1249,1229
13500,1255,1260,1256,1249,1229
14000,1255,1260,1256,1249,1220
14500,1255,1260,1256,1249,1220
15000,1255,1260,1256,1249,1220
15500,1255,1260,1256,1249,1220
16000,1255,1250,1256,1249,1220
16500,1255,1250,1256,1249,1220
17000,1255,1240,1256,1249,1220
17500,1255,1240,1256,1249,1220
18000,1255,1240,1256,1249,1213
18500,1255,1238,1256,1249,1213
19000,1255,1238,1256,1249,1213
19500,1255,1238,1256,1249,1213
20000,1255,1238,1256,1249,1207
20500,1255,1238,1256,1249,1207
21000,1255,1238,1256,1249,1206
21500,1255,1238,1256,1249,1206
22000,1255,1238,1256,1249,1206
22500,1255,1238,1254,1249,1206
23000,1255,1232,1254,1249,1206
23500,1255,1232,1254,1243,1206
24000,1255,1232,1254,1243,1206
24500,1255,1232,1254,1243,1206
25000,1255,1232,1254,1243,1206
25500,1255,1232,1254,1243,1206
26000,1255,1232,1254,1243,1206
26500,1255,1228,1254,1243,1206
27000,1255,1228,1254,1243,1206
27500,1255,1228,1254,1243,1206
28000,1255,1228,1254,1243,1206
28500,1255,1228,1254,1243,1206
29000,1255,1228,1254,1243,1206
29500,1255,1228,1250,1243,1206
30000,1255,1228,1250,1243,1206
30500,1255,1228,1250,1243,1206
31000,1255,1228,1250,1243,1206
31500,1255,1228,1245,1243,1206
32000,1255,1228,1245,1243,1206
32500,1255,1228,1245,1243,1206
33000,1255,1228,1245,1243,1206
33500,1255,1228,1245,1243,1206
34000,1253,1228,1245,1243,1206
34500,1253,1228,1245,1243,1206
35000,1253,1228,1245,1243,1206
35500,1253,1228,1245,1243,1206
36000,1253,1228,1245,1243,1206
36500,1253,1228,1241,1243,1206
37000,1253,1228,1241,1243,1206
37500,1253,1228,1241,1243,1206
38000,1253,1228,1241,1238,1206
38500,1253,1228,1241,1238,1206
39000,1253,1228,1241,1227,1206
39500,1253,1228,1241,1225,1206
40000,1253,1228,1241,1225,1206
40500,1253,1228,1241,1225,1206
41000,1253,1228,1241,1223,1206
41500,1253,1228,1241,1221,1206
42000,1253,1228,1241,1221,1206
42500,1253,1228,1241,1221,1206
43000,1253,1225,1241,1221,1206
43500,1253,1222,1241,1221,1206
44000,1253,1222,1230,1221,1206
44500,1253,1222,1230,1221,1206
45000,1253,1222,1230,1221,1206
45500,1253,1222,1226,1221,1206
46000,1253,1222,1226,1221,1206
46500,1253,1222,1223,1221,1206
47000,1253,1222,1223,1221,1206
47500,1253,1222,1223,1221,1204
48000,1253,1222,1223,1221,1204
48500,1253,1222,1223,1221,1203
49000,1253,1222,1223,1221,1203
49500,1253,1222,1223,1221,1203
50000,1253,1219,1223,1221,1203
50500,1253,1219,1223,1221,1203
51000,1253,1219,1223,1221,1203
51500,1253,1219,1223,1221,1202
52000,1253,1219,1223,1221,1200
52500,1253,1219,1223,1221,1197
53000,1253,1219,1223,1221,1197
53500,1251,1219,1223,1221,1197
54000,1251,1219,1219,1221,1197
54500,1251,1219,1219,1221,1197
55000,1251,1219,1219,1221,1197
55500,1251,1219,1209,1221,1197
56000,1251,1219,1209,1221,1197
56500,1251,1219,1209,1221,1197
57000,1251,1219,1209,1221,1197
57500,1251,1219,1209,1221,1197
58000,1251,1219,1209,1221,1197
58500,1251,1219,1209,1221,1197
59000,1251,1219,1209,1221,1197
59500,1251,1219,1209,1221,1197
60000,1251,1219,1209,1221,1197
60500,1251,1219,1209,1221,1197
61000,1251,1219,1209,1221,1197
61500,1251,1219,1209,1221,1197
62000,1251,1219,1209,1221,1197
62500,1251,1219,1209,1221,1197
63000,1251,1219,1209,1221,1197
63500,1251,1219,1209,1221,1197
64000,1251,1219,1209,1221,1197
64500,1251,1219,1209,1221,1197
65000,1248,1218,1209,1221,1197
65500,1248,1218,1207,1221,1197
66000,1248,1218,1207,1221,1197
66500,1248,1218,1207,1221,1197
67000,1248,1218,1207,1221,1197
67500,1247,1218,1207,1221,1197
68000,1247,1218,1207,1221,1197
68500,1247,1218,1207,1221,1197
69000,1247,1218,1207,1221,1197
69500,1247,1218,1207,1221,1197
70000,1247,1218,1207,1221,1197
70500,1247,1218,1207,1221,1197
71000,1247,1218,1207,1221,1197
71500,1247,1218,1207,1221,1197
72000,1247,1218,1207,1221,1197
72500,1247,1218,1207,1221,1197
73000,1247,1218,1207,1221,1197
73500,1247,1218,1207,1221,1197
74000,1240,1218,1207,1221,1197
74500,1240,1218,1207,1221,1197
