Selection,RW
Cross Over,DC
Mutation,SM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1434,1465,1516,1500,1456
500,1388,1429,1386,1395,1378
1000,1388,1361,1375,1395,1376
1500,1371,1344,1375,1395,1376
2000,1368,1344,1375,1392,1376
2500,1367,1311,1371,1392,1376
3000,1367,1295,1371,1384,1376
3500,1367,1295,1371,1384,1376
4000,1367,1291,1366,1384,1376
4500,1367,1291,1366,1383,1375
5000,1367,1291,1366,1383,1371
5500,1346,1291,1366,1383,1347
6000,1346,1291,1366,1383,1345
6500,1346,1291,1354,1383,1345
7000,1335,1291,1354,1383,1345
7500,1335,1291,1339,1383,1345
8000,1335,1291,1339,1383,1345
8500,1335,1291,1333,1383,1345
9000,1335,1291,1333,1383,1345
9500,1335,1291,1329,1383,1345
10000,1335,1291,1329,1383,1345
10500,1335,1291,1321,1383,1343
11000,1335,1291,1312,1383,1343
11500,1335,1291,1312,1383,1343
12000,1335,1291,1312,1383,1328
12500,1335,1291,1312,1383,1328
13000,1335,1291,1312,1383,1328
13500,1335,1291,1312,1383,1328
14000,1335,1291,1312,1383,1328
14500,1335,1291,1312,1331,1328
15000,1335,1291,1312,1331,1328
15500,1335,1291,1312,1331,1328
16000,1335,1291,1312,1331,1328
16500,1335,1291,1312,1331,1328
17000,1335,1291,1312,1331,1328
17500,1335,1291,1312,1331,1328
18000,1335,1291,1312,1331,1328
18500,1335,1291,1312,1331,1328
19000,1335,1291,1308,1329,1328
19500,1335,1291,1308,1329,1328
20000,1333,1291,1308,1329,1328
20500,1333,1291,1300,1329,1328
21000,1333,1291,1300,1329,1328
21500,1333,1291,1300,1329,1328
22000,1333,1291,1300,1329,1328
22500,1333,1291,1300,1329,1328
23000,1333,1291,1300,1329,1328
23500,1333,1291,1300,1329,1328
24000,1333,1291,1299,1329,1328
24500,1333,1291,1299,1329,1328
25000,1333,1291,1299,1329,1328
25500,1333,1291,1299,1327,1328
26000,1333,1291,1299,1327,1328
26500,1333,1291,1299,1327,1328
27000,1333,1291,1299,1327,1328
27500,1333,1291,1299,1327,1328
28000,1333,1291,1299,1327,1328
28500,1333,1291,1299,1327,1328
29000,1333,1291,1299,1327,1328
29500,1333,1291,1299,1327,1328
30000,1333,1291,1299,1327,1328
30500,1333,1291,1299,1327,1328
31000,1333,1291,1299,1327,1328
31500,1333,1291,1299,1327,1328
32000,1333,1291,1299,1327,1328
32500,1333,1291,1295,1327,1317
33000,1333,1291,1295,1325,1317
33500,1333,1291,1295,1325,1317
34000,1333,1291,1295,1325,1317
34500,1333,1291,1295,1325,1317
35000,1333,1291,1295,1325,1317
35500,1333,1291,1295,1317,1317
36000,1333,1291,1295,1317,1317
36500,1333,1291,1295,1317,1317
37000,1333,1291,1295,1317,1317
37500,1333,1291,1295,1317,1317
38000,1333,1291,1295,1317,1317
38500,1333,1291,1295,1317,1317
39000,1333,1291,1295,1317,1317
39500,1333,1291,1295,1317,1317
40000,1333,1291,1295,1317,1317
40500,1333,1291,1295,1317,1317
41000,1333,1291,1295,1317,1317
41500,1333,1291,1295,1317,1317
42000,1333,1291,1295,1317,1317
42500,1333,1291,1295,1317,1317
43000,1333,1291,1294,1313,1317
43500,1333,1291,1294,1313,1316
44000,1333,1291,1294,1313,1316
44500,1333,1291,1294,1313,1316
45000,1333,1291,1294,1313,1316
45500,1333,1291,1294,1313,1316
46000,1333,1291,1294,1313,1315
46500,1297,1291,1294,1313,1315
47000,1297,1291,1294,1313,1315
47500,1290,1291,1294,1313,1315
48000,1290,1291,1294,1313,1315
48500,1290,1291,1294,1313,1315
49000,1290,1291,1294,1313,1315
49500,1290,1291,1294,1313,1315
50000,1290,1291,1294,1313,1315
50500,1290,1291,1294,1313,1315
51000,1290,1291,1294,1313,1315
51500,1290,1291,1294,1313,1315
52000,1290,1291,1294,1313,1315
52500,1290,1291,1283,1313,1315
53000,1290,1291,1283,1311,1315
53500,1290,1291,1283,1311,1315
54000,1290,1291,1283,1311,1315
54500,1290,1291,1279,1311,1315
55000,1290,1291,1279,1301,1315
55500,1290,1291,1279,1301,1315
56000,1290,1291,1279,1301,1315
56500,1290,1291,1273,1301,1315
57000,1290,1291,1273,1301,1315
57500,1290,1291,1273,1301,1315
58000,1290,1291,1273,1301,1315
58500,1290,1291,1273,1301,1315
59000,1290,1291,1273,1301,1315
59500,1290,1291,1273,1301,1315
60000,1290,1291,1273,1301,1315
60500,1290,1291,1273,1301,1315
61000,1290,1291,1273,1301,1315
61500,1290,1291,1273,1301,1315
62000,1290,1291,1273,1301,1314
62500,1290,1291,1273,1301,1314
63000,1290,1291,1273,1301,1314
63500,1290,1291,1273,1301,1314
64000,1290,1291,1272,1301,1314
64500,1290,1291,1272,1301,1314
65000,1290,1291,1272,1301,1314
65500,1290,1291,1272,1301,1314
66000,1290,1291,1272,1301,1314
66500,1290,1291,1272,1301,1314
67000,1280,1291,1265,1301,1314
67500,1280,1291,1265,1301,1312
68000,1280,1291,1265,1301,1312
68500,1280,1291,1258,1301,1312
69000,1280,1291,1258,1301,1312
69500,1280,1291,1258,1301,1312
70000,1280,1291,1258,1301,1312
70500,1280,1291,1258,1301,1312
71000,1280,1291,1258,1301,1312
71500,1280,1291,1258,1301,1312
72000,1280,1291,1258,1301,1312
72500,1280,1291,1258,1301,1312
73000,1280,1291,1258,1301,1312
73500,1280,1291,1258,1301,1309
74000,1280,1291,1258,1301,1309
74500,1280,1291,1258,1301,1309
