Selection,RW
Cross Over,DPC2
Mutation,IM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1463,1447,1457,1436,1433
500,1270,1302,1349,1305,1295
1000,1270,1288,1333,1305,1295
1500,1270,1274,1315,1305,1295
2000,1270,1274,1313,1293,1289
2500,1270,1274,1312,1293,1289
3000,1270,1266,1304,1293,1289
3500,1270,1255,1297,1285,1289
4000,1270,1245,1272,1285,1289
4500,1270,1245,1272,1285,1289
5000,1270,1245,1272,1285,1289
5500,1270,1245,1272,1285,1289
6000,1270,1245,1272,1285,1289
6500,1270,1240,1272,1285,1289
7000,1270,1235,1265,1285,1289
7500,1270,1235,1265,1285,1289
8000,1267,1235,1265,1285,1289
8500,1267,1230,1265,1285,1289
9000,1267,1230,1265,1285,1289
9500,1267,1230,1265,1285,1289
10000,1267,1230,1265,1285,1289
10500,1267,1230,1265,1279,1289
11000,1267,1230,1265,1265,1289
11500,1267,1230,1265,1265,1289
12000,1267,1230,1265,1265,1289
12500,1267,1230,1265,1265,1289
13000,1267,1230,1265,1265,1289
13500,1267,1230,1265,1265,1289
14000,1267,1230,1265,1265,1289
14500,1267,1230,1265,1265,1289
15000,1267,1230,1265,1265,1289
15500,1267,1221,1265,1265,1289
16000,1267,1221,1265,1265,1289
16500,1267,1221,1265,1265,1289
17000,1267,1221,1265,1265,1289
17500,1267,1221,1265,1264,1289
18000,1267,1221,1265,1261,1289
18500,1267,1221,1265,1261,1284
19000,1267,1221,1265,1261,1284
19500,1267,1221,1265,1261,1284
20000,1267,1221,1265,1261,1284
20500,1267,1221,1265,1261,1284
21000,1267,1221,1265,1261,1284
21500,1267,1221,1265,1261,1284
22000,1267,1221,1265,1261,1284
22500,1267,1221,1265,1261,1284
23000,1267,1221,1265,1261,1284
23500,1267,1221,1265,1261,1284
24000,1267,1221,1265,1261,1284
24500,1267,1221,1265,1261,1284
25000,1266,1221,1265,1261,1284
25500,1266,1221,1265,1261,1284
26000,1266,1221,1265,1261,1284
26500,1266,1221,1265,1261,1284
27000,1266,1221,1265,1261,1284
27500,1266,1221,1265,1261,1284
28000,1266,1221,1265,1261,1277
28500,1266,1221,1265,1261,1277
29000,1266,1221,1265,1261,1277
29500,1266,1221,1265,1261,1277
30000,1266,1221,1265,1261,1277
30500,1266,1221,1265,1261,1277
31000,1266,1221,1265,1261,1277
31500,1263,1221,1265,1261,1277
32000,1263,1221,1265,1261,1277
32500,1261,1221,1265,1259,1277
33000,1261,1221,1265,1259,1277
33500,1261,1221,1265,1259,1277
34000,1261,1221,1265,1259,1277
34500,1261,1221,1265,1259,1277
35000,1261,1221,1265,1259,1277
35500,1261,1221,1265,1259,1277
36000,1261,1221,1265,1259,1277
36500,1261,1221,1265,1259,1277
37000,1261,1221,1265,1259,1277
37500,1261,1221,1265,1259,1277
38000,1261,1221,1265,1259,1277
38500,1261,1221,1265,1259,1277
39000,1261,1221,1265,1259,1277
39500,1261,1221,1265,1259,1277
40000,1261,1221,1265,1259,1277
40500,1261,1221,1265,1259,1277
41000,1261,1221,1265,1253,1277
41500,1261,1221,1265,1253,1277
42000,1261,1221,1265,1253,1277
42500,1261,1221,1265,1253,1277
43000,1261,1221,1265,1253,1277
43500,1261,1221,1265,1253,1265
44000,1261,1221,1265,1253,1265
44500,1261,1221,1265,1253,1265
45000,1261,1221,1265,1253,1265
45500,1261,1221,1265,1253,1265
46000,1261,1221,1265,1253,1265
46500,1261,1221,1265,1253,1265
47000,1261,1221,1265,1253,1265
47500,1261,1221,1265,1253,1265
48000,1261,1221,1265,1253,1265
48500,1261,1221,1265,1253,1265
49000,1261,1221,1265,1253,1265
49500,1261,1221,1265,1253,1265
50000,1261,1221,1265,1253,1265
50500,1261,1221,1265,1253,1265
51000,1261,1221,1265,1253,1265
51500,1261,1221,1265,1253,1265
52000,1261,1221,1265,1253,1265
52500,1261,1221,1265,1253,1265
53000,1261,1221,1265,1253,1265
53500,1261,1221,1265,1253,1265
54000,1261,1221,1265,1253,1265
54500,1261,1221,1265,1253,1265
55000,1261,1221,1265,1253,1265
55500,1261,1221,1265,1253,1265
56000,1261,1221,1265,1253,1265
56500,1261,1221,1265,1253,1265
57000,1261,1221,1265,1253,1265
57500,1261,1221,1265,1253,1265
58000,1261,1218,1265,1253,1265
58500,1261,1218,1265,1253,1265
59000,1261,1218,1265,1253,1265
59500,1261,1218,1265,1253,1265
60000,1261,1218,1265,1253,1265
60500,1261,1218,1265,1248,1265
61000,1261,1218,1265,1248,1265
61500,1261,1218,1265,1248,1265
62000,1261,1218,1265,1248,1265
62500,1261,1218,1265,1248,1265
63000,1261,1218,1258,1248,1265
63500,1261,1218,1258,1248,1265
