Selection,RW
Cross Over,DPC2
Mutation,RM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1483,1426,1448,1403,1462
500,1337,1350,1345,1326,1358
1000,1321,1331,1322,1326,1332
1500,1321,1331,1296,1323,1309
2000,1321,1331,1295,1323,1309
2500,1321,1321,1291,1323,1309
3000,1321,1321,1291,1323,1303
3500,1321,1314,1291,1323,1303
4000,1321,1314,1285,1323,1303
4500,1321,1314,1285,1323,1303
5000,1308,1314,1285,1296,1293
5500,1308,1314,1270,1296,1293
6000,1308,1314,1270,1296,1293
6500,1308,1310,1270,1286,1293
7000,1305,1310,1270,1286,1293
7500,1305,1310,1270,1286,1293
8000,1305,1310,1270,1286,1293
8500,1305,1310,1263,1286,1293
9000,1305,1310,1263,1286,1293
9500,1305,1310,1263,1286,1293
10000,1305,1310,1263,1286,1293
10500,1305,1310,1263,1286,1293
11000,1305,1310,1263,1286,1293
11500,1296,1310,1263,1286,1293
12000,1296,1310,1263,1282,1293
12500,1296,1310,1263,1282,1293
13000,1296,1310,1263,1282,1293
13500,1296,1310,1263,1282,1293
14000,1296,1310,1263,1282,1293
14500,1296,1310,1263,1282,1293
15000,1296,1310,1263,1282,1293
15500,1296,1310,1263,1282,1293
16000,1296,1310,1263,1282,1293
16500,1296,1310,1263,1282,1293
17000,1296,1310,1263,1282,1293
17500,1296,1310,1263,1282,1293
18000,1296,1310,1263,1282,1293
18500,1296,1310,1263,1282,1293
19000,1296,1310,1263,1282,1293
19500,1296,1310,1263,1282,1293
20000,1296,1310,1263,1282,1293
20500,1296,1310,1263,1282,1293
21000,1296,1310,1263,1282,1293
21500,1296,1310,1263,1282,1293
22000,1296,1310,1263,1282,1293
22500,1296,1310,1263,1282,1293
23000,1296,1310,1263,1282,1293
23500,1296,1310,1263,1282,1293
24000,1296,1310,1263,1282,1293
24500,1296,1310,1263,1282,1293
25000,1296,1310,1263,1282,1293
25500,1296,1303,1263,1282,1293
26000,1296,1303,1263,1282,1293
26500,1296,1303,1263,1282,1293
27000,1296,1297,1263,1282,1293
27500,1296,1297,1263,1282,1293
28000,1296,1297,1263,1282,1293
28500,1296,1297,1263,1282,1293
29000,1296,1297,1263,1282,1293
29500,1296,1297,1263,1282,1293
30000,1296,1297,1263,1282,1293
30500,1296,1297,1263,1282,1293
31000,1296,1297,1263,1282,1293
31500,1296,1297,1263,1282,1293
32000,1296,1297,1263,1282,1293
32500,1296,1297,1263,1282,1293
33000,1296,1297,1263,1282,1293
33500,1296,1297,1263,1282,1293
34000,1296,1297,1263,1282,1293
34500,1296,1297,1263,1282,1293
35000,1296,1297,1263,1282,1293
35500,1296,1297,1263,1282,1293
36000,1296,1297,1263,1282,1293
36500,1296,1297,1263,1282,1293
37000,1296,1297,1263,1282,1293
37500,1296,1297,1263,1282,1293
38000,1296,1297,1263,1282,1293
38500,1296,1297,1263,1282,1293
39000,1296,1297,1263,1282,1293
39500,1296,1297,1263,1282,1293
40000,1296,1297,1263,1282,1293
40500,1296,1297,1263,1282,1293
41000,1296,1291,1263,1282,1293
41500,1296,1291,1263,1282,1293
42000,1296,1284,1263,1282,1293
42500,1296,1284,1263,1282,1293
43000,1296,1284,1263,1282,1293
43500,1296,1284,1263,1282,1293
