Selection,RW
Cross Over,DPC2
Mutation,SM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1489,1454,1477,1420,1452
500,1283,1301,1288,1332,1314
1000,1270,1286,1286,1332,1283
1500,1268,1285,1283,1326,1280
2000,1257,1250,1275,1306,1280
2500,1257,1247,1275,1306,1280
3000,1242,1247,1275,1306,1280
3500,1242,1247,1262,1306,1280
4000,1242,1247,1262,1296,1280
4500,1242,1247,1262,1296,1280
5000,1242,1247,1262,1296,1263
5500,1242,1247,1262,1296,1263
6000,1242,1245,1262,1296,1259
6500,1242,1245,1262,1296,1249
7000,1242,1245,1240,1296,1249
7500,1242,1244,1240,1285,1249
8000,1242,1240,1240,1273,1249
8500,1242,1240,1240,1273,1249
9000,1242,1239,1240,1273,1238
9500,1242,1239,1240,1266,1238
10000,1242,1239,1240,1252,1234
10500,1242,1239,1240,1247,1231
11000,1242,1239,1240,1247,1231
11500,1242,1236,1240,1246,1231
12000,1242,1230,1240,1246,1230
12500,1242,1230,1240,1246,1230
13000,1242,1214,1240,1245,1230
13500,1242,1214,1240,1245,1230
14000,1242,1214,1240,1245,1230
14500,1242,1214,1240,1245,1230
15000,1242,1214,1240,1245,1230
15500,1242,1213,1240,1245,1230
16000,1242,1213,1235,1245,1230
16500,1242,1213,1235,1245,1230
17000,1242,1213,1235,1245,1230
17500,1242,1213,1235,1245,1230
18000,1242,1213,1235,1245,1230
18500,1242,1213,1235,1245,1230
19000,1242,1213,1235,1245,1230
19500,1242,1213,1235,1245,1230
20000,1242,1213,1235,1245,1230
20500,1242,1213,1235,1245,1230
21000,1242,1213,1235,1236,1230
21500,1242,1213,1235,1236,1230
22000,1242,1213,1235,1236,1230
22500,1242,1213,1235,1236,1230
23000,1242,1213,1232,1236,1230
23500,1242,1213,1232,1236,1230
24000,1242,1213,1232,1236,1230
24500,1242,1213,1232,1236,1230
25000,1242,1213,1232,1236,1230
25500,1242,1213,1232,1236,1230
26000,1242,1213,1232,1236,1230
26500,1242,1213,1232,1236,1230
27000,1242,1213,1232,1236,1230
27500,1242,1213,1232,1236,1230
28000,1242,1213,1232,1236,1230
28500,1242,1209,1232,1236,1230
29000,1242,1209,1232,1236,1230
29500,1242,1209,1232,1236,1230
30000,1242,1209,1232,1236,1230
30500,1242,1209,1232,1236,1230
31000,1242,1209,1232,1236,1230
31500,1242,1208,1232,1236,1230
32000,1242,1208,1232,1236,1230
32500,1242,1208,1232,1236,1230
33000,1242,1208,1232,1236,1230
33500,1242,1208,1232,1236,1230
34000,1242,1208,1232,1236,1230
34500,1242,1208,1232,1236,1230
35000,1242,1208,1232,1236,1230
35500,1242,1208,1232,1236,1230
36000,1242,1208,1232,1236,1230
36500,1242,1208,1222,1236,1230
37000,1242,1208,1222,1236,1230
37500,1242,1208,1222,1236,1230
38000,1242,1208,1222,1236,1230
38500,1242,1208,1222,1236,1230
39000,1242,1208,1222,1236,1227
39500,1242,1208,1222,1236,1227
40000,1242,1208,1222,1236,1218
40500,1242,1208,1222,1236,1218
41000,1242,1208,1222,1236,1218
41500,1242,1208,1222,1236,1218
42000,1242,1208,1222,1236,1218
42500,1242,1208,1222,1236,1218
43000,1242,1208,1222,1236,1218
43500,1242,1208,1222,1236,1218
44000,1242,1208,1222,1236,1218
44500,1242,1208,1222,1236,1218
45000,1242,1208,1221,1236,1218
45500,1242,1208,1221,1236,1218
46000,1242,1208,1221,1236,1218
46500,1242,1208,1221,1236,1218
47000,1242,1208,1220,1236,1218
47500,1242,1208,1220,1236,1218
48000,1242,1208,1220,1236,1218
48500,1242,1208,1220,1236,1218
49000,1242,1208,1220,1236,1218
49500,1242,1208,1220,1236,1218
50000,1242,1208,1220,1236,1218
50500,1242,1208,1220,1236,1218
51000,1242,1208,1220,1236,1218
51500,1242,1208,1220,1236,1218
52000,1242,1208,1220,1236,1218
52500,1242,1208,1220,1236,1218
53000,1242,1208,1220,1236,1218
53500,1242,1208,1220,1236,1218
54000,1242,1208,1220,1236,1218
54500,1242,1208,1220,1236,1218
55000,1242,1208,1219,1236,1218
55500,1242,1208,1219,1236,1218
56000,1242,1208,1219,1236,1218
56500,1242,1208,1219,1236,1218
57000,1242,1208,1219,1236,1218
57500,1242,1208,1219,1236,1218
58000,1242,1208,1219,1236,1218
58500,1242,1208,1219,1236,1218
59000,1242,1208,1219,1236,1218
59500,1242,1208,1219,1236,1218
60000,1242,1208,1219,1236,1218
60500,1242,1208,1219,1236,1218
61000,1242,1208,1216,1236,1218
61500,1242,1208,1216,1236,1218
62000,1242,1208,1216,1236,1218
62500,1242,1208,1216,1236,1218
63000,1242,1208,1216,1236,1218
63500,1242,1208,1216,1236,1218
64000,1242,1208,1216,1236,1218
64500,1242,1208,1216,1236,1218
65000,1242,1208,1210,1236,1218
65500,1242,1208,1210,1236,1218
66000,1242,1208,1210,1236,1218
66500,1242,1208,1210,1236,1218
67000,1242,1208,1210,1236,1218
67500,1242,1208,1210,1236,1218
68000,1242,1208,1210,1236,1218
68500,1242,1208,1210,1236,1218
69000,1242,1208,1210,1236,1218
69500,1242,1208,1210,1236,1218
70000,1242,1208,1210,1236,1218
70500,1242,1208,1210,1236,1218
71000,1242,1208,1210,1236,1218
71500,1242,1208,1210,1236,1218
72000,1242,1208,1210,1236,1218
72500,1242,1208,1210,1236,1218
73000,1242,1208,1210,1236,1218
73500,1242,1208,1210,1236,1218
74000,1242,1208,1210,1236,1218
74500,1242,1208,1210,1236,1218
