Selection,RW
Cross Over,DPC
Mutation,SM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1474,1438,1430,1488,1469
500,1309,1295,1305,1284,1275
1000,1309,1295,1305,1266,1255
1500,1309,1295,1305,1266,1255
2000,1309,1295,1305,1266,1255
2500,1291,1295,1296,1266,1255
3000,1283,1295,1233,1254,1255
3500,1283,1295,1231,1254,1255
4000,1283,1295,1231,1254,1255
4500,1278,1295,1231,1249,1255
5000,1278,1295,1231,1249,1254
5500,1278,1295,1231,1249,1254
6000,1278,1295,1231,1249,1254
6500,1278,1295,1231,1249,1254
7000,1278,1295,1231,1249,1254
7500,1278,1295,1231,1249,1254
8000,1278,1295,1231,1249,1254
8500,1278,1295,1231,1249,1254
9000,1278,1295,1229,1249,1254
9500,1278,1295,1229,1249,1254
10000,1278,1295,1222,1249,1254
10500,1278,1295,1222,1249,1254
11000,1278,1295,1222,1249,1254
11500,1278,1295,1222,1249,1254
12000,1278,1295,1222,1249,1254
12500,1278,1295,1222,1249,1254
13000,1278,1291,1222,1249,1254
13500,1278,1271,1222,1249,1254
14000,1278,1267,1222,1249,1254
14500,1278,1267,1222,1249,1254
15000,1278,1267,1222,1249,1254
15500,1277,1267,1222,1249,1254
16000,1277,1267,1222,1249,1254
16500,1277,1267,1222,1249,1254
17000,1277,1267,1222,1249,1254
17500,1277,1267,1222,1249,1254
18000,1277,1267,1222,1249,1254
18500,1273,1265,1222,1249,1254
19000,1264,1265,1222,1249,1254
19500,1264,1265,1222,1249,1254
20000,1264,1265,1222,1249,1254
20500,1254,1265,1222,1249,1254
21000,1254,1265,1222,1249,1254
21500,1254,1265,1222,1249,1254
22000,1254,1263,1222,1249,1254
22500,1254,1263,1222,1249,1254
23000,1254,1263,1222,1249,1254
23500,1254,1263,1222,1249,1254
24000,1254,1263,1222,1249,1254
24500,1254,1263,1222,1249,1254
25000,1254,1263,1222,1249,1254
25500,1254,1263,1222,1249,1254
26000,1254,1263,1222,1249,1254
26500,1254,1263,1222,1249,1254
27000,1254,1263,1222,1249,1254
27500,1254,1263,1222,1249,1254
28000,1254,1263,1222,1249,1254
28500,1254,1263,1222,1249,1254
29000,1254,1263,1222,1249,1254
29500,1254,1263,1222,1249,1254
30000,1254,1263,1222,1249,1254
30500,1254,1263,1222,1249,1254
31000,1254,1263,1222,1249,1254
31500,1254,1263,1222,1249,1254
32000,1254,1263,1222,1249,1254
32500,1254,1263,1222,1249,1254
33000,1254,1263,1222,1249,1254
33500,1254,1263,1222,1249,1254
34000,1253,1263,1222,1249,1254
34500,1253,1263,1222,1249,1254
35000,1253,1263,1222,1249,1254
35500,1253,1263,1222,1249,1254
36000,1253,1263,1222,1249,1254
36500,1253,1263,1222,1249,1254
37000,1253,1263,1222,1249,1254
37500,1253,1263,1222,1249,1254
38000,1253,1263,1222,1249,1254
38500,1253,1263,1222,1249,1254
39000,1248,1263,1222,1249,1254
39500,1248,1263,1222,1249,1254
40000,1248,1263,1222,1249,1254
40500,1248,1263,1222,1249,1254
41000,1240,1263,1222,1249,1254
41500,1240,1263,1222,1249,1254
42000,1240,1263,1222,1249,1254
42500,1240,1263,1222,1249,1254
43000,1240,1263,1222,1249,1254
43500,1240,1263,1222,1249,1254
44000,1240,1263,1222,1249,1254
44500,1234,1263,1222,1249,1254
45000,1234,1263,1222,1249,1254
45500,1234,1263,1222,1249,1254
46000,1234,1263,1222,1249,1254
46500,1234,1263,1222,1249,1254
47000,1234,1263,1222,1249,1254
47500,1234,1263,1222,1249,1254
48000,1234,1263,1222,1249,1254
48500,1234,1263,1222,1249,1254
49000,1234,1263,1222,1249,1254
49500,1234,1263,1222,1249,1254
50000,1234,1263,1222,1249,1254
50500,1234,1263,1222,1249,1254
51000,1234,1263,1222,1249,1254
51500,1234,1263,1222,1249,1254
52000,1234,1263,1222,1249,1254
52500,1234,1263,1222,1249,1254
53000,1234,1263,1222,1249,1254
53500,1234,1263,1222,1249,1254
54000,1234,1263,1222,1249,1254
54500,1234,1263,1222,1249,1254
55000,1234,1263,1222,1249,1254
55500,1234,1263,1222,1249,1254
56000,1234,1263,1222,1249,1251
56500,1234,1263,1222,1249,1228
57000,1234,1263,1222,1249,1223
57500,1234,1263,1222,1249,1216
58000,1234,1263,1222,1249,1216
58500,1234,1263,1222,1249,1216
59000,1234,1263,1222,1249,1216
59500,1234,1263,1222,1249,1216
60000,1234,1263,1222,1249,1216
60500,1234,1263,1222,1249,1214
61000,1234,1263,1222,1249,1214
61500,1234,1263,1222,1249,1214
62000,1234,1263,1222,1249,1214
62500,1234,1263,1222,1249,1211
63000,1234,1263,1222,1249,1211
63500,1234,1263,1222,1249,1211
64000,1234,1263,1222,1249,1205
64500,1234,1263,1222,1249,1205
65000,1234,1263,1222,1249,1205
65500,1234,1263,1222,1249,1205
66000,1234,1263,1222,1249,1205
66500,1234,1263,1222,1249,1205
67000,1234,1263,1222,1249,1205
67500,1234,1263,1222,1249,1205
68000,1234,1263,1222,1249,1205
68500,1234,1263,1222,1249,1205
69000,1234,1263,1222,1249,1205
69500,1234,1263,1222,1249,1205
70000,1234,1263,1222,1249,1205
70500,1234,1263,1222,1249,1205
71000,1234,1263,1222,1249,1205
71500,1234,1263,1222,1249,1205
72000,1234,1263,1222,1249,1205
72500,1234,1263,1222,1249,1205
73000,1234,1263,1222,1249,1205
73500,1234,1263,1222,1249,1205
74000,1234,1263,1222,1249,1205
74500,1234,1263,1222,1249,1205
