Selection,RW
Cross Over,OC
Mutation,SM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1449,1402,1435,1431,1407
500,1309,1307,1293,1294,1295
1000,1302,1305,1293,1294,1295
1500,1299,1293,1293,1294,1295
2000,1299,1279,1293,1294,1269
2500,1299,1279,1293,1294,1269
3000,1278,1279,1293,1294,1269
3500,1278,1279,1293,1287,1269
4000,1274,1279,1276,1281,1269
4500,1272,1279,1268,1256,1269
5000,1272,1279,1268,1256,1269
5500,1272,1279,1264,1255,1269
6000,1272,1279,1264,1255,1269
6500,1272,1279,1264,1255,1269
7000,1272,1279,1264,1255,1269
7500,1272,1278,1264,1255,1269
8000,1272,1278,1264,1255,1269
8500,1272,1275,1264,1255,1269
9000,1272,1275,1264,1255,1269
9500,1272,1275,1264,1251,1269
10000,1272,1275,1264,1251,1269
10500,1272,1275,1264,1251,1269
11000,1272,1275,1264,1251,1269
11500,1272,1275,1264,1251,1269
12000,1272,1275,1264,1251,1269
12500,1272,1269,1264,1251,1269
13000,1272,1269,1264,1251,1269
13500,1272,1269,1264,1251,1269
14000,1272,1269,1264,1251,1269
14500,1272,1269,1264,1251,1269
15000,1272,1269,1264,1251,1269
15500,1272,1269,1264,1251,1269
16000,1261,1269,1264,1251,1269
16500,1261,1269,1264,1251,1269
17000,1261,1269,1264,1241,1269
17500,1261,1269,1264,1241,1269
18000,1261,1269,1264,1241,1269
18500,1261,1269,1264,1241,1269
19000,1261,1269,1264,1241,1269
19500,1261,1269,1264,1241,1269
20000,1261,1269,1264,1241,1269
20500,1261,1269,1264,1241,1269
21000,1259,1269,1264,1240,1269
21500,1247,1269,1264,1240,1269
22000,1247,1269,1264,1240,1269
22500,1247,1269,1264,1240,1269
23000,1247,1269,1264,1240,1269
23500,1247,1269,1264,1240,1269
24000,1247,1269,1264,1236,1269
24500,1247,1269,1264,1236,1269
25000,1247,1269,1264,1236,1269
25500,1247,1269,1264,1236,1269
26000,1247,1269,1264,1236,1269
26500,1247,1269,1264,1236,1269
27000,1247,1269,1264,1236,1269
27500,1242,1269,1264,1236,1269
28000,1242,1269,1264,1236,1269
28500,1242,1269,1264,1236,1269
29000,1242,1269,1247,1236,1269
29500,1242,1269,1247,1236,1269
30000,1242,1269,1247,1236,1269
30500,1242,1269,1247,1236,1269
31000,1242,1269,1247,1236,1269
31500,1242,1269,1247,1236,1269
32000,1242,1269,1247,1236,1269
32500,1242,1269,1247,1236,1269
33000,1242,1269,1247,1236,1269
33500,1242,1269,1247,1236,1269
34000,1242,1269,1247,1236,1269
34500,1242,1269,1247,1236,1269
35000,1242,1269,1247,1236,1269
35500,1242,1269,1247,1236,1269
36000,1242,1269,1241,1236,1269
36500,1242,1269,1241,1236,1269
37000,1242,1269,1241,1236,1269
37500,1242,1269,1241,1236,1269
38000,1242,1269,1241,1236,1269
38500,1242,1269,1241,1236,1269
39000,1242,1269,1241,1236,1269
39500,1242,1269,1241,1236,1269
40000,1242,1269,1241,1236,1269
40500,1242,1269,1241,1236,1269
41000,1242,1269,1241,1236,1269
41500,1242,1269,1241,1236,1269
42000,1242,1269,1241,1236,1269
42500,1242,1269,1241,1236,1269
43000,1242,1269,1241,1236,1269
43500,1242,1269,1241,1236,1269
44000,1242,1269,1241,1236,1269
44500,1242,1269,1241,1236,1269
45000,1242,1269,1241,1236,1269
45500,1242,1269,1241,1236,1269
46000,1242,1269,1241,1236,1269
46500,1242,1269,1241,1236,1269
47000,1242,1269,1241,1236,1269
47500,1242,1269,1241,1236,1269
48000,1242,1269,1241,1236,1269
48500,1242,1269,1241,1236,1269
49000,1242,1269,1241,1236,1269
49500,1242,1269,1241,1236,1269
50000,1242,1269,1241,1236,1269
50500,1242,1269,1241,1236,1269
51000,1242,1269,1241,1236,1269
51500,1242,1269,1241,1236,1269
52000,1242,1269,1241,1236,1269
52500,1242,1269,1241,1236,1269
53000,1242,1269,1241,1236,1269
53500,1242,1269,1241,1236,1269
54000,1242,1269,1241,1236,1269
54500,1242,1269,1241,1236,1269
55000,1242,1269,1241,1236,1269
55500,1242,1269,1241,1236,1269
56000,1242,1269,1241,1236,1269
56500,1242,1269,1241,1236,1269
57000,1242,1269,1241,1236,1269
57500,1242,1269,1241,1236,1269
58000,1242,1269,1241,1236,1269
58500,1242,1269,1241,1236,1269
59000,1242,1269,1241,1236,1269
59500,1242,1268,1241,1236,1269
60000,1242,1268,1241,1236,1269
60500,1242,1268,1241,1236,1269
61000,1242,1268,1241,1236,1269
61500,1242,1268,1241,1236,1269
62000,1242,1268,1241,1236,1269
62500,1242,1268,1241,1236,1269
63000,1242,1268,1241,1236,1269
63500,1242,1268,1241,1236,1269
64000,1242,1268,1241,1236,1269
64500,1242,1268,1241,1236,1269
65000,1242,1268,1240,1236,1269
65500,1242,1268,1240,1236,1269
66000,1242,1268,1240,1236,1269
66500,1242,1268,1240,1236,1269
67000,1242,1268,1240,1236,1269
67500,1242,1268,1240,1236,1269
68000,1242,1268,1240,1236,1269
68500,1242,1268,1240,1236,1269
69000,1242,1268,1240,1236,1269
69500,1242,1268,1240,1236,1269
70000,1242,1268,1240,1236,1269
70500,1242,1268,1240,1236,1269
71000,1242,1265,1240,1236,1269
71500,1242,1265,1240,1236,1269
72000,1242,1265,1240,1236,1269
72500,1242,1265,1240,1236,1269
73000,1242,1265,1240,1236,1269
73500,1242,1265,1240,1236,1269
74000,1242,1265,1240,1236,1269
74500,1242,1265,1240,1236,1269
