Selection,RW
Cross Over,RIC
Mutation,SM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1482,1476,1472,1499,1416
500,1356,1376,1377,1390,1349
1000,1356,1376,1368,1370,1349
1500,1356,1376,1368,1370,1349
2000,1353,1353,1361,1361,1349
2500,1353,1353,1335,1361,1349
3000,1351,1353,1335,1361,1349
3500,1351,1353,1335,1361,1349
4000,1351,1353,1335,1361,1349
4500,1351,1353,1335,1361,1349
5000,1351,1353,1335,1356,1349
5500,1351,1353,1335,1356,1349
6000,1351,1353,1335,1356,1349
6500,1351,1353,1335,1356,1330
7000,1328,1353,1335,1356,1330
7500,1328,1353,1335,1356,1330
8000,1328,1353,1335,1356,1330
8500,1328,1353,1335,1330,1330
9000,1328,1353,1335,1330,1330
9500,1328,1335,1335,1330,1330
10000,1328,1335,1335,1330,1330
10500,1328,1331,1335,1330,1330
11000,1328,1310,1335,1322,1330
11500,1328,1310,1335,1322,1330
12000,1328,1310,1335,1322,1330
12500,1328,1310,1331,1322,1330
13000,1328,1310,1331,1322,1330
13500,1328,1310,1331,1322,1330
14000,1328,1310,1331,1322,1330
14500,1328,1310,1331,1322,1330
15000,1328,1310,1331,1322,1330
15500,1328,1310,1331,1322,1330
16000,1328,1310,1331,1322,1330
16500,1328,1310,1331,1322,1330
17000,1328,1310,1331,1322,1330
17500,1328,1310,1331,1322,1330
18000,1328,1310,1331,1322,1330
18500,1328,1310,1331,1322,1330
19000,1328,1310,1331,1322,1330
19500,1328,1310,1326,1322,1330
20000,1328,1310,1326,1322,1330
20500,1328,1310,1326,1322,1322
21000,1328,1310,1321,1322,1322
21500,1328,1310,1321,1322,1322
22000,1328,1310,1321,1322,1322
22500,1328,1310,1321,1322,1322
23000,1328,1310,1321,1322,1322
23500,1328,1310,1321,1322,1322
24000,1328,1310,1321,1322,1322
24500,1328,1310,1321,1322,1322
25000,1328,1310,1321,1322,1322
25500,1328,1310,1321,1322,1322
26000,1328,1310,1321,1322,1322
26500,1328,1310,1321,1322,1322
27000,1328,1310,1321,1322,1322
27500,1328,1310,1321,1322,1322
28000,1328,1310,1321,1322,1322
28500,1328,1310,1321,1322,1322
29000,1328,1310,1321,1322,1322
29500,1328,1310,1321,1322,1322
30000,1328,1310,1321,1322,1322
30500,1328,1310,1321,1322,1322
31000,1328,1310,1321,1322,1322
31500,1328,1310,1321,1322,1322
32000,1328,1310,1321,1322,1322
32500,1328,1310,1321,1322,1322
33000,1328,1310,1321,1322,1322
33500,1328,1310,1321,1322,1322
34000,1328,1310,1321,1322,1322
34500,1328,1310,1321,1322,1322
35000,1328,1310,1321,1322,1319
35500,1328,1310,1321,1322,1319
36000,1328,1310,1321,1322,1319
36500,1328,1310,1321,1322,1319
37000,1328,1310,1321,1322,1319
37500,1328,1310,1321,1322,1319
38000,1328,1310,1321,1322,1319
38500,1328,1310,1321,1322,1319
39000,1328,1310,1321,1316,1319
39500,1328,1310,1321,1316,1319
40000,1328,1310,1321,1316,1319
40500,1328,1310,1321,1316,1319
41000,1328,1310,1321,1316,1319
41500,1328,1310,1321,1316,1319
42000,1328,1310,1321,1316,1319
42500,1328,1310,1321,1316,1319
43000,1328,1310,1321,1316,1319
43500,1328,1310,1321,1316,1319
44000,1328,1310,1321,1316,1319
44500,1328,1310,1321,1316,1319
45000,1328,1310,1321,1316,1319
45500,1328,1310,1321,1316,1319
46000,1328,1310,1321,1316,1319
46500,1328,1310,1321,1316,1319
47000,1328,1310,1321,1316,1319
47500,1328,1310,1321,1316,1319
48000,1328,1310,1321,1316,1319
48500,1328,1310,1321,1316,1319
49000,1328,1310,1321,1316,1319
49500,1328,1310,1321,1316,1319
50000,1328,1310,1321,1316,1319
50500,1328,1310,1321,1316,1319
51000,1328,1310,1321,1316,1319
51500,1328,1310,1321,1316,1319
52000,1328,1310,1321,1316,1319
52500,1328,1310,1321,1316,1319
53000,1328,1310,1321,1316,1319
53500,1328,1310,1321,1316,1319
54000,1328,1310,1321,1316,1319
54500,1328,1310,1321,1316,1319
55000,1328,1310,1321,1316,1319
55500,1328,1310,1321,1316,1319
56000,1328,1310,1321,1316,1319
56500,1328,1310,1321,1316,1319
57000,1328,1310,1321,1316,1319
57500,1328,1310,1321,1316,1319
58000,1328,1310,1321,1316,1319
58500,1328,1310,1321,1316,1319
59000,1328,1310,1321,1316,1319
59500,1328,1310,1321,1316,1319
60000,1328,1310,1321,1316,1319
60500,1328,1310,1321,1316,1319
61000,1328,1310,1321,1316,1319
61500,1328,1310,1321,1316,1319
62000,1328,1310,1321,1316,1319
62500,1328,1310,1321,1316,1319
63000,1328,1310,1321,1316,1319
63500,1328,1310,1321,1316,1319
64000,1328,1310,1321,1316,1319
64500,1328,1310,1321,1316,1319
65000,1328,1310,1321,1316,1319
65500,1328,1310,1321,1316,1319
66000,1328,1310,1321,1316,1319
66500,1328,1310,1321,1316,1319
67000,1328,1310,1321,1316,1319
67500,1328,1310,1321,1316,1319
68000,1328,1310,1321,1316,1319
68500,1328,1310,1321,1316,1319
69000,1328,1310,1321,1316,1319
69500,1328,1310,1321,1316,1319
70000,1328,1310,1321,1316,1319
70500,1328,1310,1321,1316,1319
71000,1328,1310,1321,1316,1319
71500,1328,1310,1321,1316,1319
72000,1328,1310,1321,1316,1319
72500,1328,1310,1321,1316,1319
73000,1328,1310,1321,1316,1319
73500,1328,1310,1321,1316,1319
74000,1328,1310,1321,1316,1319
74500,1328,1310,1321,1316,1319
