Selection,RW
Cross Over,RIUC
Mutation,SM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1460,1438,1453,1469,1429
500,1353,1362,1354,1379,1335
1000,1353,1355,1354,1343,1335
1500,1353,1355,1297,1343,1335
2000,1353,1355,1297,1343,1335
2500,1353,1348,1297,1343,1335
3000,1353,1348,1297,1343,1335
3500,1353,1348,1297,1343,1335
4000,1350,1348,1297,1343,1335
4500,1350,1348,1297,1340,1335
5000,1350,1348,1297,1340,1335
5500,1350,1348,1297,1337,1299
6000,1350,1348,1297,1337,1299
6500,1350,1348,1297,1337,1299
7000,1350,1348,1297,1337,1299
7500,1350,1345,1297,1337,1299
8000,1350,1345,1297,1337,1299
8500,1350,1345,1297,1337,1299
9000,1344,1342,1297,1337,1299
9500,1344,1342,1297,1337,1299
10000,1344,1342,1297,1337,1299
10500,1344,1342,1297,1337,1299
11000,1344,1342,1297,1337,1299
11500,1344,1342,1297,1337,1299
12000,1344,1342,1297,1337,1299
12500,1344,1338,1297,1337,1299
13000,1344,1338,1297,1337,1299
13500,1344,1338,1297,1337,1299
14000,1344,1338,1297,1337,1299
14500,1344,1338,1297,1337,1299
15000,1344,1338,1297,1337,1299
15500,1344,1338,1297,1337,1299
16000,1344,1333,1297,1337,1299
16500,1344,1333,1297,1337,1299
17000,1344,1333,1297,1337,1299
17500,1344,1333,1297,1337,1299
18000,1344,1333,1297,1337,1299
18500,1344,1333,1297,1337,1299
19000,1344,1333,1297,1337,1299
19500,1331,1333,1297,1337,1299
20000,1331,1333,1297,1337,1299
20500,1331,1333,1297,1337,1299
21000,1331,1333,1297,1337,1299
21500,1331,1333,1297,1337,1299
22000,1331,1333,1297,1337,1299
22500,1331,1333,1297,1337,1299
23000,1331,1333,1297,1337,1299
23500,1331,1333,1297,1337,1299
24000,1331,1333,1297,1337,1299
24500,1331,1333,1297,1337,1299
25000,1331,1333,1297,1337,1299
25500,1331,1333,1297,1320,1299
26000,1331,1333,1297,1320,1299
26500,1331,1333,1297,1320,1299
27000,1331,1333,1297,1320,1299
27500,1331,1333,1297,1320,1299
28000,1331,1333,1297,1320,1299
28500,1331,1333,1297,1320,1299
29000,1331,1333,1297,1320,1299
29500,1331,1333,1297,1320,1299
30000,1331,1333,1297,1320,1299
30500,1331,1333,1297,1320,1299
31000,1331,1333,1297,1320,1299
31500,1331,1333,1297,1320,1299
32000,1331,1333,1297,1320,1299
32500,1331,1333,1297,1320,1299
33000,1331,1333,1297,1320,1299
33500,1331,1333,1297,1320,1299
34000,1331,1333,1297,1320,1299
34500,1331,1332,1297,1320,1299
35000,1331,1332,1297,1320,1299
35500,1331,1332,1297,1320,1299
36000,1331,1332,1297,1320,1299
36500,1331,1332,1297,1320,1299
37000,1331,1332,1297,1320,1299
37500,1331,1323,1297,1320,1299
38000,1331,1323,1297,1320,1299
38500,1331,1323,1297,1320,1299
39000,1331,1323,1297,1320,1299
39500,1331,1323,1297,1320,1299
40000,1331,1323,1297,1320,1299
40500,1328,1323,1297,1320,1299
41000,1328,1323,1297,1320,1299
41500,1328,1323,1297,1320,1299
42000,1328,1323,1297,1320,1299
42500,1328,1323,1297,1320,1299
43000,1328,1323,1297,1320,1299
43500,1328,1323,1297,1320,1299
44000,1328,1323,1297,1320,1299
44500,1328,1323,1297,1320,1299
45000,1328,1323,1297,1320,1299
45500,1328,1323,1297,1320,1299
46000,1328,1323,1297,1320,1299
46500,1328,1323,1297,1320,1299
47000,1328,1323,1297,1320,1299
47500,1328,1323,1297,1320,1299
48000,1328,1323,1297,1320,1299
48500,1328,1323,1297,1320,1299
49000,1328,1323,1297,1320,1299
49500,1328,1323,1297,1320,1299
50000,1328,1323,1297,1320,1299
50500,1328,1323,1297,1320,1299
51000,1328,1323,1297,1320,1299
51500,1328,1323,1297,1320,1299
52000,1328,1323,1297,1320,1299
52500,1328,1323,1297,1320,1299
53000,1328,1323,1297,1320,1299
53500,1328,1323,1297,1320,1299
54000,1328,1323,1297,1320,1299
54500,1328,1323,1297,1320,1299
55000,1328,1323,1297,1320,1299
55500,1328,1323,1297,1320,1299
56000,1328,1323,1297,1320,1299
56500,1328,1323,1297,1320,1299
57000,1328,1323,1297,1320,1299
57500,1328,1323,1297,1320,1299
58000,1328,1323,1297,1320,1299
58500,1328,1323,1297,1320,1299
59000,1328,1323,1297,1320,1299
59500,1328,1323,1297,1320,1299
60000,1328,1306,1297,1320,1299
60500,1328,1306,1297,1320,1299
61000,1328,1306,1297,1320,1299
61500,1328,1306,1297,1320,1299
62000,1328,1306,1297,1320,1299
62500,1328,1306,1297,1320,1299
63000,1328,1306,1297,1320,1299
63500,1328,1306,1297,1320,1299
64000,1328,1306,1297,1320,1299
64500,1328,1306,1297,1320,1299
65000,1328,1306,1297,1320,1299
65500,1328,1306,1297,1320,1299
66000,1328,1306,1297,1320,1299
66500,1328,1306,1297,1320,1299
67000,1328,1306,1297,1320,1299
67500,1328,1306,1297,1320,1299
68000,1328,1306,1297,1320,1299
68500,1328,1306,1297,1320,1299
69000,1328,1306,1297,1320,1299
69500,1328,1306,1297,1318,1299
70000,1328,1306,1297,1318,1299
70500,1323,1306,1297,1318,1299
71000,1323,1306,1297,1318,1299
71500,1323,1306,1297,1318,1299
72000,1323,1306,1297,1318,1299
72500,1323,1306,1297,1318,1299
73000,1323,1306,1297,1318,1299
73500,1323,1306,1297,1318,1299
