Selection,RW
Cross Over,SC
Mutation,DPSM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1500,1476,1467,1451,1441
500,1348,1332,1346,1316,1325
1000,1345,1332,1336,1307,1324
1500,1305,1332,1336,1299,1313
2000,1302,1332,1326,1294,1297
2500,1301,1332,1326,1294,1297
3000,1301,1332,1326,1294,1291
3500,1291,1328,1314,1294,1291
4000,1291,1328,1301,1293,1291
4500,1291,1314,1301,1293,1291
5000,1291,1314,1301,1293,1291
5500,1285,1314,1301,1293,1291
6000,1285,1314,1301,1293,1291
6500,1279,1314,1301,1285,1291
7000,1276,1310,1301,1285,1291
7500,1276,1310,1301,1285,1291
8000,1276,1310,1301,1285,1291
8500,1276,1310,1301,1285,1291
9000,1276,1310,1301,1285,1291
9500,1268,1310,1301,1285,1291
10000,1268,1310,1297,1285,1291
10500,1268,1310,1297,1274,1291
11000,1268,1310,1297,1274,1291
11500,1268,1307,1297,1274,1291
12000,1268,1293,1297,1274,1291
12500,1266,1293,1297,1274,1289
13000,1265,1293,1297,1274,1289
13500,1265,1293,1297,1274,1289
14000,1265,1288,1297,1274,1289
14500,1265,1288,1297,1274,1289
15000,1265,1288,1297,1274,1289
15500,1265,1287,1297,1274,1289
16000,1265,1287,1297,1274,1289
16500,1265,1287,1297,1274,1289
17000,1265,1287,1297,1274,1289
17500,1265,1287,1297,1274,1289
18000,1265,1287,1297,1274,1289
18500,1265,1287,1297,1274,1289
19000,1265,1287,1297,1274,1289
19500,1265,1287,1297,1274,1289
20000,1265,1287,1297,1274,1289
20500,1265,1287,1297,1274,1289
21000,1263,1287,1297,1274,1289
21500,1263,1287,1297,1274,1289
22000,1263,1287,1297,1274,1289
22500,1263,1287,1297,1274,1289
23000,1263,1287,1292,1274,1289
23500,1263,1287,1292,1274,1289
24000,1263,1287,1292,1274,1289
24500,1263,1287,1292,1274,1289
25000,1263,1287,1292,1274,1289
25500,1263,1287,1292,1274,1289
26000,1262,1287,1292,1274,1289
26500,1262,1287,1285,1274,1289
27000,1260,1287,1285,1270,1289
27500,1260,1287,1285,1270,1289
28000,1260,1287,1283,1270,1289
28500,1260,1287,1272,1270,1289
29000,1260,1287,1272,1270,1289
29500,1260,1287,1272,1270,1289
30000,1260,1287,1272,1270,1289
30500,1260,1287,1272,1270,1289
31000,1260,1287,1272,1270,1289
31500,1260,1287,1272,1270,1289
32000,1260,1287,1272,1270,1289
