Selection,RW
Cross Over,SC
Mutation,IM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1440,1455,1435,1418,1450
500,1337,1316,1297,1340,1286
1000,1337,1285,1272,1339,1280
1500,1337,1285,1262,1338,1280
2000,1337,1283,1262,1320,1271
2500,1337,1283,1262,1320,1271
3000,1329,1283,1262,1316,1271
3500,1329,1283,1262,1316,1271
4000,1329,1283,1262,1316,1271
4500,1329,1283,1262,1316,1271
5000,1329,1283,1262,1308,1271
5500,1329,1283,1262,1308,1271
6000,1329,1283,1262,1308,1271
6500,1314,1283,1262,1308,1271
7000,1266,1283,1252,1308,1270
7500,1265,1283,1252,1308,1270
8000,1259,1283,1252,1308,1270
8500,1259,1283,1252,1308,1270
9000,1259,1283,1252,1308,1270
9500,1259,1283,1252,1308,1270
10000,1259,1283,1252,1308,1270
10500,1259,1283,1252,1308,1270
11000,1254,1279,1252,1308,1270
11500,1254,1279,1252,1308,1270
12000,1249,1279,1252,1308,1270
12500,1249,1279,1252,1308,1270
13000,1249,1279,1252,1308,1270
13500,1247,1279,1252,1308,1270
14000,1247,1279,1252,1308,1270
14500,1247,1279,1252,1308,1270
15000,1247,1279,1252,1308,1270
15500,1247,1279,1252,1308,1270
16000,1247,1279,1252,1308,1270
16500,1247,1279,1252,1308,1270
17000,1247,1279,1252,1308,1270
17500,1247,1279,1252,1306,1270
18000,1247,1279,1252,1306,1270
18500,1247,1279,1252,1306,1270
19000,1247,1277,1252,1306,1270
19500,1247,1277,1252,1306,1270
20000,1247,1277,1252,1306,1259
20500,1247,1277,1252,1306,1259
21000,1247,1277,1252,1306,1256
21500,1247,1277,1252,1306,1256
22000,1247,1277,1252,1306,1256
22500,1247,1277,1252,1306,1256
23000,1247,1277,1252,1302,1256
23500,1247,1277,1252,1302,1256
24000,1247,1277,1252,1302,1256
24500,1247,1277,1252,1302,1256
25000,1247,1277,1252,1302,1256
25500,1247,1277,1252,1302,1256
26000,1247,1277,1252,1302,1256
26500,1247,1277,1252,1302,1256
27000,1247,1277,1252,1302,1256
27500,1247,1277,1252,1302,1256
28000,1247,1275,1252,1302,1256
28500,1247,1275,1252,1302,1256
29000,1247,1275,1252,1302,1256
29500,1247,1275,1252,1302,1256
30000,1247,1275,1252,1302,1256
30500,1247,1275,1252,1302,1256
31000,1247,1275,1252,1301,1256
31500,1247,1275,1252,1301,1256
32000,1247,1275,1252,1301,1256
32500,1247,1275,1252,1301,1256
33000,1247,1275,1252,1301,1256
33500,1247,1273,1252,1301,1256
34000,1247,1273,1252,1301,1256
34500,1247,1272,1252,1301,1256
35000,1247,1272,1252,1301,1256
35500,1247,1272,1252,1301,1256
36000,1247,1272,1252,1301,1256
36500,1247,1272,1252,1301,1256
37000,1247,1272,1252,1301,1256
37500,1247,1272,1252,1301,1256
38000,1247,1272,1252,1301,1256
38500,1247,1272,1252,1301,1256
39000,1247,1269,1252,1301,1256
39500,1247,1269,1252,1301,1256
40000,1247,1269,1252,1301,1256
40500,1247,1269,1252,1301,1256
41000,1247,1269,1252,1301,1256
41500,1247,1269,1252,1301,1256
42000,1247,1269,1252,1294,1256
42500,1247,1269,1252,1294,1256
43000,1247,1269,1252,1294,1256
43500,1247,1269,1252,1294,1256
44000,1247,1269,1252,1294,1256
44500,1247,1269,1252,1294,1256
45000,1247,1269,1252,1294,1256
45500,1247,1269,1252,1294,1256
46000,1247,1269,1252,1294,1256
46500,1247,1267,1252,1294,1256
47000,1247,1267,1252,1294,1256
47500,1247,1267,1252,1294,1256
48000,1247,1267,1252,1294,1256
48500,1247,1267,1252,1294,1256
49000,1247,1267,1252,1294,1256
49500,1247,1267,1252,1294,1256
50000,1247,1267,1252,1294,1256
50500,1247,1267,1252,1294,1256
51000,1247,1267,1252,1294,1256
51500,1247,1267,1252,1294,1256
52000,1247,1267,1252,1294,1256
52500,1247,1267,1252,1294,1256
53000,1247,1267,1252,1294,1256
53500,1247,1267,1252,1294,1256
54000,1247,1265,1252,1294,1256
54500,1247,1265,1252,1294,1256
55000,1247,1265,1252,1294,1256
55500,1247,1265,1252,1294,1256
56000,1247,1265,1252,1294,1256
56500,1247,1265,1252,1294,1256
57000,1247,1265,1252,1294,1256
57500,1247,1265,1252,1294,1256
58000,1247,1265,1252,1294,1256
58500,1247,1265,1252,1294,1256
59000,1247,1265,1252,1294,1256
59500,1247,1265,1252,1286,1256
60000,1247,1265,1252,1286,1256
60500,1247,1265,1252,1286,1256
61000,1247,1265,1252,1286,1256
61500,1247,1265,1252,1286,1256
62000,1247,1265,1252,1286,1256
62500,1247,1265,1252,1286,1256
63000,1247,1265,1252,1286,1256
63500,1247,1265,1252,1286,1256
64000,1247,1265,1252,1286,1256
64500,1247,1265,1252,1286,1256
65000,1247,1265,1252,1286,1254
65500,1247,1265,1252,1286,1254
66000,1247,1265,1248,1286,1254
66500,1247,1265,1248,1286,1254
67000,1247,1265,1248,1286,1254
67500,1247,1265,1248,1286,1254
68000,1247,1265,1248,1286,1254
68500,1247,1265,1248,1286,1254
69000,1247,1265,1248,1286,1254
69500,1247,1265,1248,1286,1254
70000,1247,1265,1248,1286,1254
70500,1247,1265,1248,1286,1254
71000,1247,1265,1248,1286,1254
71500,1247,1265,1248,1286,1254
72000,1247,1265,1248,1286,1254
72500,1243,1265,1248,1286,1254
73000,1243,1265,1248,1286,1254
73500,1243,1265,1248,1286,1254
74000,1237,1265,1248,1286,1254
74500,1237,1265,1248,1286,1254
