Selection,RW
Cross Over,SC
Mutation,RM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1509,1469,1475,1449,1443
500,1321,1332,1336,1329,1292
1000,1321,1332,1336,1314,1292
1500,1317,1301,1336,1314,1292
2000,1293,1301,1336,1314,1292
2500,1293,1301,1307,1314,1292
3000,1293,1301,1307,1314,1292
3500,1293,1301,1307,1314,1292
4000,1293,1288,1307,1314,1292
4500,1293,1288,1307,1314,1292
5000,1293,1288,1307,1314,1292
5500,1293,1288,1307,1314,1292
6000,1293,1288,1307,1314,1292
6500,1293,1288,1307,1314,1292
7000,1293,1288,1307,1314,1292
7500,1293,1288,1307,1314,1292
8000,1293,1288,1307,1314,1289
8500,1293,1288,1307,1314,1289
9000,1293,1288,1307,1314,1289
9500,1293,1288,1307,1314,1289
10000,1293,1288,1307,1314,1289
10500,1293,1288,1307,1314,1289
11000,1293,1288,1307,1314,1289
11500,1293,1288,1307,1314,1289
12000,1293,1288,1307,1314,1289
12500,1293,1288,1307,1314,1289
13000,1293,1288,1297,1314,1289
13500,1293,1288,1297,1314,1289
14000,1293,1288,1297,1314,1289
14500,1293,1288,1297,1314,1289
15000,1293,1288,1297,1314,1289
15500,1293,1288,1297,1314,1289
16000,1293,1288,1297,1314,1289
16500,1293,1288,1297,1314,1289
17000,1293,1288,1297,1314,1289
17500,1293,1288,1297,1314,1289
18000,1293,1288,1297,1314,1289
18500,1293,1288,1297,1314,1289
19000,1293,1288,1297,1314,1289
19500,1293,1288,1297,1314,1289
20000,1293,1288,1297,1314,1289
20500,1293,1288,1297,1314,1289
21000,1293,1288,1297,1314,1289
21500,1293,1288,1297,1314,1289
22000,1293,1288,1297,1314,1289
22500,1293,1288,1297,1314,1289
23000,1293,1288,1297,1314,1289
23500,1293,1288,1297,1314,1289
24000,1293,1288,1297,1314,1289
24500,1293,1288,1297,1314,1289
25000,1293,1288,1297,1314,1289
25500,1293,1288,1297,1314,1289
26000,1293,1288,1297,1314,1289
26500,1293,1288,1297,1314,1289
27000,1293,1288,1297,1314,1289
27500,1293,1288,1297,1314,1289
28000,1293,1288,1297,1314,1289
28500,1293,1288,1297,1314,1289
29000,1293,1288,1297,1314,1289
29500,1293,1288,1297,1314,1289
30000,1293,1288,1297,1314,1289
30500,1293,1288,1297,1314,1289
31000,1293,1288,1297,1314,1289
31500,1293,1288,1297,1314,1289
32000,1293,1288,1297,1314,1289
32500,1293,1288,1297,1314,1289
33000,1293,1288,1297,1314,1289
33500,1293,1288,1295,1314,1289
34000,1293,1288,1295,1314,1289
34500,1293,1288,1295,1314,1289
35000,1293,1288,1295,1314,1289
35500,1293,1288,1295,1314,1289
36000,1293,1288,1295,1314,1289
36500,1293,1288,1295,1314,1289
37000,1293,1288,1295,1314,1289
37500,1293,1288,1295,1294,1289
38000,1293,1288,1295,1294,1289
38500,1293,1288,1295,1294,1289
39000,1293,1288,1295,1294,1289
39500,1293,1288,1295,1294,1289
40000,1293,1288,1295,1290,1289
40500,1293,1288,1295,1290,1289
41000,1293,1288,1295,1290,1289
41500,1293,1288,1295,1290,1289
42000,1293,1288,1295,1290,1289
42500,1293,1288,1295,1290,1289
43000,1293,1288,1295,1290,1289
43500,1293,1288,1295,1290,1289
44000,1293,1288,1295,1290,1289
44500,1293,1288,1295,1290,1289
45000,1292,1288,1295,1290,1289
45500,1292,1288,1295,1290,1289
46000,1292,1283,1295,1290,1289
46500,1292,1283,1295,1290,1289
47000,1292,1283,1295,1290,1289
47500,1292,1283,1295,1290,1289
48000,1292,1283,1295,1290,1289
48500,1292,1283,1295,1290,1289
49000,1292,1283,1295,1290,1289
49500,1292,1283,1295,1290,1289
50000,1292,1283,1295,1290,1289
50500,1292,1283,1295,1290,1289
51000,1292,1283,1295,1290,1289
51500,1292,1283,1295,1290,1289
52000,1292,1283,1295,1290,1289
52500,1290,1283,1295,1290,1289
53000,1290,1283,1295,1290,1289
53500,1290,1283,1295,1290,1289
54000,1290,1283,1295,1290,1289
54500,1290,1283,1295,1290,1289
55000,1290,1283,1291,1290,1289
55500,1290,1283,1291,1290,1289
56000,1290,1283,1291,1290,1289
56500,1290,1283,1291,1290,1289
57000,1290,1283,1291,1290,1289
57500,1290,1283,1291,1290,1289
58000,1290,1283,1291,1290,1289
58500,1290,1283,1291,1290,1289
59000,1290,1283,1291,1290,1289
59500,1290,1283,1291,1290,1289
60000,1290,1283,1291,1290,1289
60500,1290,1283,1291,1290,1289
61000,1290,1283,1291,1290,1289
61500,1290,1283,1291,1290,1289
62000,1290,1283,1291,1290,1289
62500,1290,1283,1291,1290,1289
63000,1290,1283,1291,1290,1289
63500,1290,1283,1291,1290,1289
64000,1290,1283,1291,1290,1289
64500,1290,1283,1291,1290,1289
65000,1290,1283,1289,1290,1289
65500,1290,1283,1289,1290,1289
66000,1290,1283,1289,1290,1289
66500,1290,1283,1289,1290,1289
67000,1290,1283,1289,1290,1289
67500,1290,1283,1289,1290,1289
68000,1290,1283,1289,1290,1289
68500,1290,1283,1289,1290,1288
69000,1290,1283,1289,1290,1288
69500,1290,1283,1289,1290,1288
70000,1290,1283,1289,1290,1288
70500,1290,1283,1289,1290,1288
71000,1290,1283,1289,1290,1288
71500,1290,1283,1289,1290,1288
72000,1290,1283,1289,1290,1288
72500,1290,1283,1289,1290,1288
73000,1290,1283,1289,1290,1288
73500,1290,1283,1289,1290,1288
74000,1290,1283,1289,1290,1288
74500,1290,1283,1289,1290,1288
