Selection,RW
Cross Over,SC
Mutation,SM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1529,1475,1469,1478,1489
500,1306,1302,1296,1274,1321
1000,1302,1292,1277,1274,1277
1500,1302,1292,1272,1274,1277
2000,1302,1292,1272,1274,1277
2500,1299,1292,1272,1274,1265
3000,1299,1281,1272,1274,1262
3500,1298,1278,1266,1274,1262
4000,1298,1278,1262,1274,1262
4500,1298,1278,1262,1274,1262
5000,1298,1278,1259,1274,1258
5500,1286,1278,1259,1274,1258
6000,1286,1278,1259,1253,1258
6500,1286,1278,1259,1253,1254
7000,1280,1278,1259,1253,1254
7500,1280,1278,1259,1253,1251
8000,1280,1278,1256,1248,1251
8500,1280,1278,1256,1247,1251
9000,1280,1278,1256,1247,1249
9500,1280,1274,1256,1247,1249
10000,1280,1274,1256,1247,1249
10500,1280,1274,1256,1247,1249
11000,1280,1271,1256,1247,1249
11500,1280,1271,1256,1247,1249
12000,1280,1261,1256,1247,1249
12500,1280,1261,1256,1247,1249
13000,1278,1257,1256,1247,1249
13500,1278,1257,1256,1247,1249
14000,1278,1257,1256,1247,1249
14500,1278,1257,1256,1247,1249
15000,1278,1257,1256,1247,1249
15500,1278,1255,1256,1247,1249
16000,1278,1255,1256,1247,1249
16500,1278,1255,1256,1247,1249
17000,1278,1255,1256,1247,1249
17500,1278,1255,1254,1247,1249
18000,1278,1255,1254,1247,1249
18500,1278,1255,1254,1247,1249
19000,1278,1255,1254,1247,1249
19500,1278,1255,1254,1247,1249
20000,1278,1255,1254,1247,1249
20500,1278,1255,1254,1247,1249
21000,1268,1255,1254,1247,1249
21500,1268,1255,1254,1247,1249
22000,1268,1255,1254,1247,1249
22500,1268,1255,1254,1247,1249
23000,1268,1255,1254,1247,1249
23500,1268,1255,1254,1247,1249
24000,1268,1255,1254,1247,1249
24500,1268,1255,1254,1247,1249
25000,1268,1255,1244,1247,1249
25500,1268,1255,1244,1247,1249
26000,1268,1254,1244,1247,1249
26500,1268,1254,1244,1247,1249
27000,1268,1254,1244,1247,1249
27500,1268,1254,1244,1247,1249
28000,1268,1251,1244,1247,1249
28500,1268,1251,1244,1247,1249
29000,1268,1251,1244,1247,1249
29500,1268,1251,1244,1247,1249
30000,1268,1251,1244,1247,1249
30500,1268,1251,1244,1247,1249
31000,1268,1251,1244,1247,1249
31500,1268,1251,1244,1247,1249
32000,1268,1251,1244,1247,1249
32500,1268,1251,1244,1247,1249
33000,1268,1251,1244,1247,1249
33500,1268,1251,1244,1247,1249
34000,1268,1251,1244,1247,1249
34500,1268,1251,1244,1247,1249
35000,1268,1251,1244,1242,1249
35500,1268,1244,1244,1242,1249
36000,1268,1244,1244,1242,1249
36500,1268,1244,1244,1242,1249
37000,1268,1244,1244,1242,1249
37500,1268,1244,1244,1242,1249
38000,1268,1244,1244,1242,1249
38500,1268,1244,1244,1242,1249
39000,1268,1244,1244,1242,1249
39500,1268,1244,1244,1242,1249
40000,1268,1244,1244,1242,1246
40500,1268,1244,1244,1242,1239
41000,1268,1244,1244,1242,1236
41500,1268,1244,1244,1242,1236
42000,1268,1244,1244,1242,1236
42500,1268,1244,1244,1239,1236
43000,1268,1244,1244,1239,1228
43500,1268,1244,1244,1238,1226
44000,1268,1244,1244,1236,1225
44500,1268,1244,1244,1236,1225
45000,1268,1244,1244,1236,1224
45500,1268,1244,1244,1236,1224
46000,1268,1244,1244,1236,1224
46500,1268,1244,1244,1236,1224
47000,1268,1244,1244,1236,1224
47500,1268,1244,1244,1236,1224
48000,1268,1244,1244,1236,1224
48500,1268,1244,1244,1236,1224
49000,1268,1244,1244,1236,1224
49500,1268,1244,1244,1236,1218
50000,1268,1244,1244,1236,1218
50500,1268,1244,1240,1236,1218
51000,1268,1244,1240,1236,1218
51500,1268,1244,1240,1236,1218
52000,1268,1244,1240,1236,1218
52500,1268,1244,1240,1236,1218
53000,1268,1244,1240,1236,1218
53500,1268,1244,1240,1236,1218
54000,1268,1244,1240,1236,1218
54500,1268,1244,1235,1236,1218
55000,1268,1244,1235,1236,1218
55500,1268,1244,1235,1236,1218
56000,1268,1244,1235,1236,1218
56500,1268,1244,1234,1236,1218
57000,1268,1244,1234,1236,1218
57500,1268,1244,1234,1236,1218
58000,1268,1244,1234,1236,1218
58500,1268,1244,1234,1236,1218
59000,1268,1244,1234,1236,1218
59500,1268,1244,1234,1236,1218
60000,1268,1244,1234,1236,1218
60500,1268,1244,1234,1236,1218
61000,1268,1244,1234,1236,1218
61500,1268,1244,1234,1236,1218
62000,1268,1244,1234,1236,1218
62500,1268,1244,1234,1236,1218
63000,1268,1244,1234,1236,1218
63500,1268,1244,1234,1236,1218
64000,1268,1244,1234,1236,1218
64500,1268,1244,1234,1236,1218
65000,1268,1244,1234,1236,1218
65500,1268,1244,1234,1236,1218
66000,1268,1244,1234,1236,1218
66500,1268,1244,1234,1236,1218
67000,1268,1244,1234,1236,1218
67500,1268,1244,1234,1236,1218
68000,1268,1244,1234,1236,1218
68500,1268,1244,1234,1236,1218
69000,1268,1244,1233,1236,1218
69500,1268,1244,1233,1236,1218
70000,1268,1244,1233,1236,1218
70500,1268,1244,1233,1236,1218
71000,1268,1244,1233,1236,1218
71500,1268,1244,1233,1236,1218
72000,1268,1244,1233,1236,1218
72500,1268,1244,1233,1236,1218
73000,1268,1244,1233,1236,1218
73500,1268,1244,1233,1236,1218
74000,1268,1244,1233,1236,1218
74500,1268,1244,1233,1236,1218
