Selection,RW
Cross Over,SC
Mutation,SPSM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1431,1462,1452,1441,1498
500,1359,1355,1349,1319,1349
1000,1345,1344,1334,1318,1349
1500,1338,1344,1330,1318,1339
2000,1310,1344,1330,1300,1339
2500,1310,1344,1330,1300,1330
3000,1310,1344,1330,1300,1330
3500,1305,1336,1324,1299,1330
4000,1305,1336,1324,1299,1325
4500,1305,1336,1324,1299,1325
5000,1305,1324,1324,1299,1325
5500,1305,1324,1324,1299,1325
6000,1305,1316,1324,1299,1325
6500,1297,1316,1324,1287,1325
7000,1297,1316,1324,1287,1325
7500,1282,1316,1324,1287,1325
8000,1282,1314,1324,1287,1325
8500,1282,1314,1324,1287,1325
9000,1282,1314,1324,1287,1325
9500,1282,1314,1324,1287,1316
10000,1282,1314,1324,1287,1295
10500,1282,1314,1324,1287,1294
11000,1282,1314,1324,1287,1294
11500,1282,1314,1324,1287,1294
12000,1282,1314,1324,1287,1291
12500,1282,1314,1324,1287,1284
13000,1282,1314,1324,1287,1284
13500,1282,1314,1320,1287,1280
14000,1282,1314,1320,1287,1280
14500,1282,1314,1320,1287,1280
15000,1282,1314,1320,1287,1280
15500,1282,1314,1320,1287,1280
16000,1282,1314,1320,1287,1280
16500,1282,1314,1320,1287,1266
17000,1282,1314,1320,1287,1266
17500,1282,1314,1320,1287,1266
18000,1282,1314,1320,1287,1262
18500,1282,1314,1320,1287,1260
19000,1282,1314,1320,1287,1260
19500,1282,1314,1320,1287,1260
20000,1282,1314,1320,1287,1260
20500,1282,1314,1320,1287,1260
21000,1282,1314,1320,1282,1260
21500,1282,1314,1320,1282,1260
22000,1282,1312,1320,1282,1260
22500,1282,1312,1320,1282,1260
23000,1282,1312,1320,1282,1260
23500,1277,1312,1320,1282,1260
24000,1277,1312,1320,1282,1260
24500,1277,1312,1320,1282,1260
25000,1277,1312,1320,1282,1260
25500,1277,1312,1320,1282,1260
26000,1277,1312,1320,1282,1260
26500,1277,1312,1320,1282,1260
27000,1277,1312,1320,1282,1260
27500,1277,1312,1320,1282,1260
28000,1277,1312,1320,1282,1260
28500,1277,1312,1320,1282,1260
29000,1277,1312,1320,1282,1260
29500,1277,1312,1320,1282,1260
30000,1277,1312,1320,1282,1260
30500,1277,1312,1320,1282,1260
31000,1277,1312,1320,1282,1260
31500,1277,1312,1320,1282,1260
32000,1277,1312,1320,1282,1260
32500,1277,1312,1320,1282,1260
33000,1277,1312,1320,1282,1260
33500,1277,1312,1320,1282,1260
34000,1277,1312,1320,1282,1260
34500,1277,1312,1320,1282,1260
35000,1277,1312,1320,1282,1260
35500,1277,1312,1320,1282,1260
36000,1277,1303,1320,1282,1260
36500,1277,1303,1320,1282,1260
37000,1277,1303,1320,1282,1260
37500,1277,1303,1320,1282,1260
38000,1277,1303,1320,1282,1260
38500,1277,1303,1320,1282,1260
39000,1277,1303,1320,1282,1260
39500,1277,1303,1320,1282,1260
40000,1277,1303,1320,1282,1260
40500,1277,1303,1320,1282,1260
41000,1277,1299,1320,1282,1260
41500,1277,1299,1320,1282,1260
42000,1277,1299,1320,1282,1260
42500,1277,1299,1320,1282,1260
43000,1277,1299,1320,1282,1260
43500,1277,1299,1320,1282,1260
44000,1277,1299,1320,1282,1260
44500,1277,1299,1320,1282,1260
45000,1277,1299,1320,1282,1260
45500,1277,1299,1320,1282,1260
46000,1277,1299,1320,1282,1260
46500,1277,1299,1320,1282,1260
47000,1277,1299,1320,1282,1260
47500,1277,1299,1320,1282,1260
48000,1277,1299,1320,1282,1260
48500,1277,1299,1320,1282,1260
49000,1277,1299,1320,1282,1260
49500,1277,1299,1320,1282,1260
50000,1277,1299,1320,1282,1260
50500,1277,1299,1320,1282,1260
51000,1277,1299,1320,1282,1260
51500,1277,1299,1320,1282,1260
52000,1277,1299,1320,1282,1260
52500,1277,1299,1320,1282,1260
53000,1277,1299,1320,1282,1260
53500,1277,1299,1320,1282,1260
54000,1277,1299,1320,1282,1260
54500,1277,1299,1320,1282,1260
55000,1277,1299,1320,1282,1260
55500,1277,1299,1320,1282,1260
56000,1277,1299,1320,1282,1260
56500,1277,1299,1320,1282,1260
57000,1277,1299,1320,1282,1260
57500,1277,1299,1320,1282,1260
58000,1277,1299,1320,1282,1260
58500,1277,1299,1320,1282,1260
59000,1277,1299,1320,1282,1260
59500,1277,1299,1320,1282,1260
60000,1277,1299,1320,1282,1260
60500,1277,1299,1320,1282,1260
61000,1277,1299,1320,1282,1260
61500,1277,1299,1320,1282,1260
62000,1277,1299,1320,1282,1260
62500,1277,1299,1320,1282,1260
63000,1277,1299,1320,1282,1260
63500,1277,1299,1320,1282,1260
64000,1277,1299,1320,1282,1260
64500,1277,1299,1320,1282,1260
65000,1277,1299,1320,1282,1260
65500,1277,1299,1320,1282,1260
66000,1277,1299,1320,1282,1260
66500,1277,1299,1320,1282,1260
67000,1277,1299,1320,1282,1260
67500,1277,1299,1320,1279,1260
68000,1277,1299,1320,1279,1260
68500,1277,1299,1320,1279,1260
69000,1277,1299,1320,1279,1260
69500,1277,1299,1320,1279,1260
70000,1277,1299,1320,1279,1260
70500,1277,1299,1320,1279,1260
71000,1277,1299,1320,1279,1260
71500,1277,1299,1320,1279,1260
72000,1277,1299,1320,1279,1260
72500,1277,1299,1320,1279,1260
73000,1277,1299,1320,1279,1260
73500,1277,1299,1320,1279,1260
74000,1277,1299,1320,1279,1260
74500,1277,1299,1320,1279,1260
