Selection,RW
Cross Over,UC
Mutation,SM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1435,1478,1468,1498,1488
500,1368,1415,1424,1397,1404
1000,1368,1408,1424,1396,1398
1500,1368,1408,1424,1396,1388
2000,1368,1408,1417,1381,1388
2500,1368,1399,1416,1354,1388
3000,1368,1396,1372,1354,1388
3500,1360,1390,1369,1354,1388
4000,1360,1388,1365,1348,1388
4500,1360,1371,1357,1348,1388
5000,1350,1371,1356,1348,1388
5500,1350,1371,1356,1348,1388
6000,1350,1371,1346,1347,1388
6500,1350,1367,1309,1327,1388
7000,1350,1367,1309,1327,1388
7500,1350,1367,1309,1323,1388
8000,1350,1367,1309,1321,1388
8500,1350,1338,1309,1321,1388
9000,1350,1338,1309,1312,1388
9500,1350,1338,1309,1312,1388
10000,1350,1328,1309,1312,1388
10500,1350,1328,1309,1309,1381
11000,1350,1328,1309,1302,1380
11500,1350,1328,1309,1294,1368
12000,1350,1328,1309,1294,1368
12500,1350,1327,1309,1294,1368
13000,1350,1327,1309,1294,1368
13500,1350,1327,1309,1294,1366
14000,1350,1327,1309,1294,1366
14500,1350,1325,1309,1294,1366
15000,1350,1325,1309,1294,1366
15500,1350,1325,1309,1294,1366
16000,1350,1325,1309,1294,1365
16500,1350,1325,1309,1294,1365
17000,1350,1325,1307,1294,1365
17500,1350,1325,1307,1294,1359
18000,1350,1325,1307,1292,1359
18500,1350,1325,1307,1290,1359
19000,1350,1322,1307,1290,1359
19500,1350,1297,1307,1290,1359
20000,1350,1267,1305,1290,1359
20500,1350,1267,1305,1288,1359
21000,1350,1267,1305,1285,1359
21500,1350,1267,1305,1285,1349
22000,1350,1267,1305,1285,1349
22500,1350,1267,1305,1285,1349
23000,1350,1267,1305,1285,1349
23500,1350,1267,1302,1285,1349
24000,1332,1267,1302,1285,1349
24500,1332,1267,1302,1285,1349
25000,1331,1267,1302,1285,1349
25500,1331,1267,1302,1285,1349
26000,1331,1267,1302,1285,1349
26500,1331,1267,1302,1285,1349
27000,1331,1267,1302,1285,1349
27500,1331,1267,1300,1285,1349
28000,1331,1267,1300,1285,1349
28500,1331,1267,1300,1285,1349
29000,1331,1267,1300,1285,1349
29500,1331,1267,1300,1285,1349
30000,1331,1267,1300,1285,1349
30500,1331,1267,1300,1285,1349
31000,1331,1267,1300,1285,1349
31500,1331,1267,1300,1285,1349
32000,1331,1267,1300,1285,1349
32500,1331,1267,1300,1285,1349
33000,1331,1267,1300,1285,1349
33500,1331,1267,1300,1285,1349
34000,1315,1267,1300,1285,1349
34500,1315,1267,1300,1285,1349
35000,1301,1267,1300,1285,1349
35500,1293,1267,1300,1285,1349
36000,1293,1267,1300,1285,1349
36500,1293,1267,1300,1285,1349
37000,1287,1267,1300,1285,1349
37500,1287,1267,1300,1285,1349
38000,1287,1267,1300,1285,1349
38500,1287,1267,1294,1285,1349
39000,1287,1267,1294,1285,1349
39500,1287,1267,1294,1285,1349
40000,1287,1267,1294,1285,1347
40500,1287,1267,1294,1285,1347
41000,1287,1267,1294,1285,1347
41500,1287,1267,1294,1285,1347
42000,1287,1267,1294,1285,1347
42500,1287,1267,1293,1285,1347
43000,1287,1267,1293,1285,1347
43500,1287,1267,1293,1285,1347
44000,1287,1267,1293,1285,1347
44500,1287,1267,1293,1285,1347
45000,1287,1267,1293,1285,1347
45500,1287,1267,1293,1285,1347
46000,1287,1267,1293,1285,1347
46500,1287,1267,1293,1285,1347
47000,1287,1267,1293,1285,1347
47500,1287,1267,1293,1285,1347
48000,1287,1267,1293,1285,1347
48500,1287,1267,1293,1285,1347
49000,1287,1267,1293,1285,1347
49500,1287,1267,1293,1285,1347
50000,1287,1267,1293,1285,1347
50500,1287,1267,1293,1285,1347
51000,1287,1267,1293,1285,1347
51500,1287,1267,1293,1285,1347
52000,1287,1267,1293,1285,1347
52500,1287,1267,1293,1285,1347
53000,1287,1267,1293,1285,1347
53500,1287,1267,1293,1285,1347
54000,1287,1267,1293,1285,1347
54500,1287,1267,1293,1285,1347
55000,1287,1267,1293,1285,1347
55500,1287,1267,1293,1285,1347
56000,1287,1267,1293,1285,1347
56500,1287,1267,1293,1285,1347
57000,1287,1267,1293,1285,1347
57500,1287,1267,1293,1285,1347
58000,1287,1267,1293,1285,1347
58500,1287,1267,1293,1285,1347
59000,1287,1267,1293,1285,1347
59500,1287,1267,1293,1285,1347
60000,1287,1267,1293,1285,1347
60500,1287,1267,1293,1285,1347
61000,1287,1267,1293,1285,1347
61500,1287,1267,1293,1285,1347
62000,1287,1267,1293,1285,1347
62500,1287,1267,1293,1285,1347
63000,1287,1267,1293,1285,1347
63500,1287,1267,1293,1285,1347
64000,1287,1267,1291,1283,1347
64500,1287,1267,1291,1283,1347
65000,1287,1267,1291,1283,1347
65500,1287,1267,1291,1259,1347
66000,1287,1267,1291,1259,1347
66500,1287,1267,1291,1259,1347
67000,1287,1267,1291,1259,1347
67500,1287,1267,1291,1259,1347
68000,1287,1267,1291,1259,1347
68500,1287,1267,1291,1259,1347
69000,1287,1267,1291,1259,1347
69500,1287,1267,1287,1259,1347
70000,1287,1267,1287,1259,1347
70500,1287,1267,1287,1259,1346
71000,1287,1267,1287,1259,1346
71500,1287,1267,1287,1259,1346
72000,1287,1267,1287,1259,1346
72500,1287,1267,1287,1259,1346
73000,1287,1267,1287,1259,1346
73500,1287,1267,1287,1259,1346
74000,1287,1263,1287,1259,1346
74500,1287,1261,1287,1259,1346
