Selection,T
Cross Over,DC
Mutation,DPSM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1389,1460,1453,1461,1415
500,1278,1349,1332,1300,1315
1000,1274,1309,1288,1289,1295
1500,1274,1304,1288,1288,1294
2000,1274,1301,1288,1288,1292
2500,1268,1296,1288,1288,1292
3000,1268,1292,1288,1281,1292
3500,1268,1288,1288,1280,1292
4000,1268,1288,1288,1280,1292
4500,1268,1288,1288,1269,1292
5000,1268,1288,1285,1269,1292
5500,1268,1278,1276,1269,1277
6000,1268,1278,1276,1269,1277
6500,1264,1278,1273,1254,1277
7000,1264,1278,1273,1251,1275
7500,1264,1278,1273,1251,1275
8000,1264,1278,1270,1251,1275
8500,1264,1278,1270,1251,1275
9000,1264,1264,1270,1251,1275
9500,1264,1264,1270,1251,1275
10000,1264,1264,1270,1251,1274
10500,1264,1263,1270,1251,1271
11000,1264,1263,1265,1251,1271
11500,1264,1263,1265,1251,1271
12000,1264,1260,1264,1251,1271
12500,1264,1260,1260,1251,1271
13000,1264,1260,1260,1251,1271
13500,1264,1260,1259,1251,1271
14000,1264,1260,1259,1251,1271
14500,1264,1260,1259,1251,1271
15000,1264,1260,1259,1251,1271
15500,1264,1260,1259,1251,1271
16000,1264,1260,1259,1251,1271
16500,1264,1260,1259,1251,1271
17000,1264,1260,1259,1251,1271
17500,1264,1260,1259,1251,1271
18000,1264,1260,1259,1251,1271
18500,1264,1260,1259,1251,1271
19000,1264,1260,1259,1251,1271
19500,1264,1260,1259,1251,1271
20000,1264,1260,1259,1251,1271
20500,1264,1260,1259,1251,1271
21000,1264,1260,1259,1251,1271
21500,1264,1260,1259,1251,1271
22000,1264,1260,1259,1251,1271
22500,1264,1260,1259,1251,1271
23000,1264,1260,1259,1251,1271
23500,1264,1260,1259,1251,1271
24000,1264,1260,1259,1251,1271
24500,1264,1260,1259,1251,1271
25000,1264,1260,1259,1251,1271
25500,1264,1260,1259,1251,1271
26000,1264,1260,1259,1251,1271
26500,1264,1260,1257,1251,1271
27000,1264,1260,1257,1251,1271
27500,1264,1260,1257,1251,1271
28000,1264,1260,1252,1251,1271
28500,1263,1260,1252,1251,1271
29000,1263,1260,1252,1251,1271
29500,1263,1260,1252,1251,1271
30000,1263,1260,1252,1251,1271
30500,1263,1260,1252,1251,1271
31000,1263,1260,1252,1251,1271
31500,1263,1260,1252,1251,1271
32000,1263,1260,1252,1251,1271
32500,1263,1260,1252,1251,1271
33000,1263,1260,1252,1251,1271
33500,1263,1260,1252,1251,1271
34000,1263,1260,1252,1251,1271
34500,1263,1260,1252,1251,1271
35000,1263,1260,1252,1251,1271
35500,1263,1260,1252,1251,1271
36000,1263,1260,1252,1251,1271
36500,1263,1260,1252,1251,1271
37000,1263,1260,1252,1251,1271
37500,1263,1260,1252,1251,1271
38000,1263,1260,1252,1251,1271
38500,1263,1260,1252,1251,1271
39000,1263,1260,1252,1251,1271
39500,1263,1260,1252,1251,1271
40000,1263,1260,1252,1251,1271
40500,1263,1260,1252,1251,1271
41000,1263,1260,1252,1251,1271
41500,1263,1260,1252,1251,1271
42000,1263,1260,1252,1251,1271
42500,1263,1260,1252,1251,1271
43000,1263,1260,1252,1251,1271
43500,1263,1260,1252,1251,1271
44000,1263,1260,1252,1251,1271
44500,1263,1260,1252,1251,1271
45000,1263,1260,1252,1251,1271
45500,1263,1260,1252,1251,1271
46000,1263,1260,1252,1251,1271
46500,1263,1260,1252,1251,1271
47000,1263,1260,1252,1251,1271
47500,1263,1260,1252,1251,1271
48000,1263,1260,1252,1251,1271
48500,1263,1260,1252,1251,1271
49000,1263,1260,1252,1251,1271
49500,1263,1260,1252,1251,1271
50000,1263,1260,1252,1251,1271
50500,1263,1260,1252,1251,1271
51000,1263,1260,1252,1251,1271
51500,1263,1260,1252,1251,1271
52000,1263,1260,1252,1251,1271
52500,1263,1260,1252,1251,1271
53000,1263,1260,1252,1251,1271
53500,1263,1260,1252,1251,1271
54000,1263,1260,1252,1251,1271
54500,1263,1260,1252,1251,1271
55000,1263,1260,1252,1251,1271
55500,1263,1260,1252,1251,1271
56000,1263,1260,1252,1251,1271
56500,1263,1260,1252,1251,1271
57000,1263,1260,1252,1251,1271
57500,1263,1260,1252,1251,1271
58000,1263,1260,1252,1251,1271
58500,1263,1260,1252,1251,1271
59000,1263,1260,1252,1251,1271
59500,1263,1260,1252,1251,1271
60000,1263,1260,1252,1251,1271
60500,1263,1260,1252,1251,1271
61000,1263,1260,1252,1251,1271
61500,1263,1260,1252,1251,1271
62000,1263,1260,1252,1251,1271
62500,1263,1260,1252,1251,1271
63000,1263,1260,1252,1251,1271
63500,1263,1260,1252,1251,1271
64000,1263,1260,1252,1251,1271
64500,1263,1260,1252,1251,1271
65000,1263,1260,1252,1251,1271
65500,1263,1260,1252,1251,1271
66000,1263,1260,1252,1251,1271
66500,1263,1260,1252,1251,1271
67000,1263,1260,1252,1251,1271
67500,1263,1260,1252,1251,1271
68000,1263,1260,1252,1251,1271
68500,1263,1260,1252,1251,1271
69000,1263,1260,1252,1251,1271
69500,1263,1260,1252,1251,1271
70000,1263,1260,1252,1251,1271
70500,1263,1260,1252,1251,1271
71000,1263,1260,1252,1251,1271
71500,1263,1260,1252,1251,1271
72000,1263,1260,1252,1251,1271
72500,1263,1260,1252,1251,1271
73000,1263,1260,1252,1251,1271
73500,1263,1260,1252,1251,1271
74000,1263,1260,1252,1251,1271
74500,1263,1260,1252,1251,1271
