Selection,T
Cross Over,DC
Mutation,IM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1429,1384,1457,1465,1431
500,1291,1281,1310,1318,1297
1000,1277,1274,1251,1309,1297
1500,1264,1264,1251,1301,1269
2000,1264,1264,1251,1301,1269
2500,1264,1264,1248,1298,1269
3000,1259,1263,1248,1257,1269
3500,1258,1261,1248,1243,1263
4000,1258,1261,1248,1243,1258
4500,1256,1261,1243,1242,1258
5000,1256,1261,1242,1242,1255
5500,1256,1261,1239,1242,1250
6000,1256,1261,1239,1235,1249
6500,1256,1261,1224,1235,1230
7000,1255,1260,1209,1235,1229
7500,1255,1260,1209,1235,1228
8000,1255,1260,1209,1228,1228
8500,1255,1256,1205,1221,1226
9000,1255,1256,1205,1221,1226
9500,1255,1256,1204,1221,1226
10000,1254,1256,1204,1216,1226
10500,1252,1256,1204,1212,1226
11000,1252,1256,1204,1212,1225
11500,1250,1256,1204,1212,1222
12000,1239,1254,1204,1212,1222
12500,1239,1253,1204,1212,1222
13000,1225,1247,1204,1212,1222
13500,1225,1246,1204,1212,1222
14000,1225,1246,1204,1209,1222
14500,1225,1244,1203,1209,1222
15000,1225,1244,1203,1203,1222
15500,1225,1244,1203,1203,1222
16000,1225,1244,1203,1203,1222
16500,1225,1240,1203,1203,1222
17000,1225,1239,1203,1203,1222
17500,1225,1239,1201,1203,1218
18000,1225,1229,1200,1203,1218
18500,1225,1228,1200,1203,1218
19000,1225,1212,1194,1203,1218
19500,1225,1212,1194,1203,1218
20000,1225,1212,1194,1203,1218
20500,1225,1206,1191,1203,1218
21000,1225,1200,1191,1203,1218
21500,1225,1196,1191,1203,1218
22000,1225,1195,1180,1203,1218
22500,1225,1195,1180,1203,1218
23000,1225,1194,1180,1203,1218
23500,1225,1194,1180,1203,1218
24000,1225,1192,1180,1203,1218
24500,1225,1192,1180,1203,1218
25000,1225,1192,1180,1203,1218
25500,1225,1192,1180,1203,1218
26000,1225,1192,1180,1203,1218
26500,1225,1192,1180,1203,1218
27000,1225,1192,1180,1203,1218
27500,1225,1192,1180,1203,1218
28000,1225,1192,1180,1203,1218
28500,1225,1192,1180,1203,1218
29000,1225,1192,1180,1203,1218
29500,1225,1192,1180,1203,1218
30000,1225,1192,1180,1203,1218
30500,1225,1192,1180,1203,1218
31000,1225,1192,1180,1203,1218
31500,1225,1192,1180,1203,1218
32000,1225,1192,1180,1203,1218
32500,1225,1192,1180,1203,1218
33000,1225,1192,1180,1203,1213
33500,1225,1192,1180,1203,1211
34000,1225,1192,1180,1203,1210
34500,1225,1192,1180,1203,1210
35000,1225,1192,1180,1203,1210
35500,1225,1192,1180,1203,1210
36000,1225,1192,1180,1203,1210
36500,1225,1192,1180,1203,1210
37000,1225,1192,1180,1203,1210
37500,1225,1192,1180,1203,1210
38000,1225,1192,1180,1203,1210
38500,1225,1192,1180,1203,1210
39000,1225,1192,1180,1203,1210
39500,1225,1192,1180,1203,1210
40000,1225,1192,1180,1203,1210
40500,1225,1192,1180,1203,1210
41000,1225,1192,1180,1203,1210
41500,1225,1192,1180,1203,1210
42000,1225,1192,1180,1203,1210
42500,1225,1192,1180,1203,1209
43000,1225,1192,1180,1203,1209
43500,1225,1192,1180,1203,1209
44000,1225,1192,1180,1203,1209
44500,1225,1192,1180,1203,1209
45000,1225,1192,1180,1203,1209
45500,1225,1192,1180,1203,1209
46000,1225,1192,1180,1203,1209
46500,1225,1192,1180,1203,1209
47000,1225,1192,1180,1203,1209
47500,1225,1192,1180,1203,1209
48000,1225,1192,1180,1203,1209
48500,1225,1192,1180,1203,1209
49000,1225,1192,1180,1203,1209
49500,1225,1192,1180,1203,1209
50000,1225,1192,1180,1203,1209
50500,1225,1192,1180,1203,1209
51000,1225,1192,1180,1203,1209
51500,1225,1192,1180,1203,1209
52000,1225,1192,1180,1203,1209
52500,1225,1192,1180,1203,1209
53000,1225,1192,1180,1203,1209
53500,1225,1192,1180,1203,1209
54000,1225,1192,1180,1203,1209
54500,1224,1192,1180,1203,1209
55000,1224,1192,1180,1203,1209
55500,1224,1192,1180,1203,1209
56000,1224,1192,1180,1203,1209
56500,1224,1192,1180,1203,1209
57000,1224,1192,1180,1203,1209
57500,1224,1192,1180,1203,1209
58000,1224,1192,1180,1203,1209
58500,1224,1192,1180,1203,1209
59000,1224,1192,1180,1203,1209
59500,1224,1192,1180,1203,1209
60000,1224,1192,1180,1203,1209
60500,1224,1192,1180,1203,1209
61000,1224,1192,1180,1203,1209
61500,1224,1192,1180,1203,1209
62000,1224,1192,1180,1203,1209
62500,1224,1192,1180,1203,1209
63000,1224,1192,1180,1203,1209
63500,1224,1192,1180,1203,1209
64000,1224,1192,1180,1203,1209
64500,1224,1192,1180,1203,1209
65000,1224,1192,1180,1203,1209
65500,1224,1192,1180,1203,1209
66000,1224,1192,1180,1203,1209
66500,1224,1192,1180,1203,1209
67000,1224,1192,1180,1203,1209
67500,1224,1192,1180,1203,1209
68000,1224,1192,1180,1203,1209
68500,1224,1192,1180,1203,1209
69000,1224,1192,1180,1203,1209
69500,1224,1192,1180,1203,1209
70000,1224,1192,1180,1203,1209
70500,1224,1192,1180,1203,1209
71000,1224,1192,1180,1203,1209
71500,1224,1192,1180,1203,1209
72000,1224,1192,1180,1203,1209
72500,1224,1192,1180,1203,1209
73000,1224,1192,1180,1203,1209
73500,1224,1192,1180,1203,1209
74000,1224,1192,1180,1203,1209
74500,1224,1192,1180,1203,1209
