Selection,T
Cross Over,DC
Mutation,RM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1416,1469,1419,1376,1499
500,1371,1399,1372,1349,1402
1000,1365,1399,1372,1349,1402
1500,1365,1399,1366,1349,1394
2000,1365,1399,1366,1349,1359
2500,1365,1399,1366,1349,1353
3000,1365,1399,1366,1349,1353
3500,1365,1399,1366,1349,1353
4000,1365,1380,1366,1349,1353
4500,1364,1380,1366,1349,1353
5000,1364,1380,1366,1349,1353
5500,1364,1378,1366,1339,1353
6000,1364,1376,1366,1339,1353
6500,1364,1376,1366,1339,1353
7000,1358,1376,1366,1339,1353
7500,1358,1376,1366,1339,1353
8000,1353,1376,1366,1339,1353
8500,1353,1376,1366,1339,1348
9000,1353,1371,1366,1339,1348
9500,1353,1371,1366,1339,1348
10000,1349,1371,1366,1339,1348
10500,1349,1371,1366,1339,1348
11000,1349,1371,1366,1339,1348
11500,1348,1371,1366,1339,1348
12000,1348,1371,1366,1339,1348
12500,1348,1371,1366,1339,1348
13000,1348,1371,1366,1339,1348
13500,1348,1371,1366,1339,1348
14000,1348,1371,1366,1339,1348
14500,1348,1371,1366,1339,1348
15000,1348,1371,1366,1339,1348
15500,1348,1371,1366,1339,1348
16000,1348,1367,1366,1339,1348
16500,1348,1367,1366,1339,1348
17000,1348,1367,1366,1339,1348
17500,1348,1367,1366,1336,1348
18000,1348,1367,1366,1336,1348
18500,1348,1358,1366,1336,1348
19000,1348,1358,1366,1336,1348
19500,1348,1358,1366,1336,1348
20000,1348,1358,1366,1336,1348
20500,1348,1358,1366,1336,1348
21000,1348,1358,1366,1336,1348
21500,1348,1358,1366,1336,1348
22000,1348,1358,1366,1336,1348
22500,1348,1358,1366,1336,1348
23000,1348,1358,1361,1336,1348
23500,1348,1358,1352,1336,1348
24000,1348,1358,1352,1336,1348
24500,1348,1358,1352,1336,1348
25000,1348,1358,1352,1336,1348
25500,1348,1358,1352,1336,1348
26000,1348,1358,1352,1336,1348
26500,1348,1358,1352,1336,1348
27000,1348,1358,1352,1336,1348
27500,1348,1358,1352,1336,1348
28000,1328,1358,1352,1336,1348
28500,1328,1358,1352,1336,1348
29000,1328,1358,1352,1336,1348
29500,1319,1358,1352,1336,1348
30000,1319,1358,1352,1336,1348
30500,1319,1358,1352,1336,1348
31000,1319,1358,1352,1336,1348
31500,1319,1358,1352,1336,1348
32000,1319,1358,1352,1336,1348
32500,1319,1358,1343,1336,1348
33000,1319,1358,1343,1336,1348
33500,1319,1358,1343,1336,1348
34000,1319,1358,1343,1336,1348
34500,1319,1358,1343,1336,1348
35000,1319,1358,1343,1336,1348
35500,1319,1358,1343,1336,1348
36000,1319,1358,1343,1336,1348
36500,1319,1358,1343,1336,1348
37000,1319,1358,1343,1336,1348
37500,1319,1358,1343,1336,1348
38000,1319,1358,1343,1336,1348
38500,1319,1358,1343,1336,1348
39000,1319,1358,1343,1336,1348
39500,1319,1358,1343,1336,1348
40000,1319,1358,1343,1336,1342
40500,1319,1358,1343,1336,1342
41000,1319,1358,1343,1336,1342
41500,1319,1358,1343,1336,1342
42000,1319,1358,1343,1336,1342
42500,1319,1358,1343,1336,1342
43000,1319,1358,1343,1336,1342
43500,1319,1358,1343,1336,1342
44000,1319,1358,1343,1336,1342
44500,1319,1358,1343,1336,1342
45000,1319,1358,1343,1336,1342
45500,1319,1358,1343,1336,1342
46000,1319,1358,1343,1336,1342
46500,1319,1358,1343,1336,1342
47000,1319,1358,1343,1336,1342
47500,1319,1358,1343,1336,1342
48000,1319,1358,1343,1336,1342
48500,1319,1358,1343,1336,1342
49000,1319,1358,1343,1336,1342
49500,1319,1358,1343,1336,1342
50000,1319,1351,1343,1336,1342
50500,1319,1351,1343,1336,1342
51000,1319,1351,1343,1336,1342
51500,1319,1351,1343,1336,1342
52000,1319,1351,1343,1336,1342
52500,1319,1351,1339,1336,1342
53000,1319,1351,1329,1336,1342
53500,1319,1351,1329,1336,1342
54000,1319,1351,1329,1336,1342
54500,1311,1351,1329,1336,1342
55000,1311,1351,1329,1336,1342
55500,1311,1351,1329,1336,1342
56000,1311,1351,1329,1336,1337
56500,1311,1351,1329,1336,1337
57000,1311,1351,1329,1308,1337
57500,1311,1351,1329,1308,1337
58000,1311,1351,1329,1308,1337
58500,1311,1351,1329,1308,1337
59000,1311,1351,1329,1308,1337
59500,1311,1351,1329,1308,1337
60000,1311,1351,1329,1308,1337
60500,1311,1351,1329,1308,1337
61000,1311,1351,1329,1308,1337
61500,1311,1351,1329,1308,1337
62000,1311,1351,1329,1308,1337
62500,1311,1351,1329,1308,1337
63000,1311,1351,1329,1308,1337
63500,1311,1351,1329,1308,1337
64000,1311,1351,1325,1308,1337
64500,1301,1351,1325,1308,1337
65000,1301,1351,1325,1308,1337
65500,1301,1351,1325,1308,1337
66000,1301,1351,1325,1308,1337
66500,1301,1351,1325,1308,1337
67000,1301,1351,1325,1308,1337
67500,1301,1351,1325,1308,1337
68000,1301,1351,1325,1308,1337
68500,1301,1351,1325,1308,1337
69000,1301,1351,1325,1308,1337
69500,1301,1351,1325,1308,1337
70000,1301,1351,1325,1308,1321
70500,1301,1351,1325,1308,1321
71000,1301,1351,1325,1308,1321
71500,1301,1351,1325,1308,1321
72000,1301,1351,1325,1308,1321
72500,1301,1351,1325,1308,1321
73000,1301,1351,1325,1308,1321
73500,1301,1351,1325,1308,1321
74000,1301,1351,1325,1308,1321
74500,1301,1351,1325,1308,1321
