Selection,T
Cross Over,DC
Mutation,SM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1425,1481,1461,1443,1444
500,1282,1259,1235,1241,1212
1000,1264,1237,1202,1226,1204
1500,1264,1202,1196,1221,1199
2000,1264,1202,1179,1211,1199
2500,1264,1199,1179,1192,1199
3000,1253,1199,1179,1191,1199
3500,1238,1199,1179,1189,1198
4000,1219,1192,1179,1189,1195
4500,1218,1188,1179,1188,1195
5000,1210,1188,1179,1188,1195
5500,1180,1188,1179,1184,1195
6000,1180,1188,1179,1184,1195
6500,1180,1187,1179,1184,1195
7000,1180,1187,1178,1184,1195
7500,1180,1187,1178,1184,1190
8000,1180,1187,1178,1184,1190
8500,1180,1187,1178,1184,1190
9000,1180,1187,1178,1184,1180
9500,1180,1187,1178,1184,1180
10000,1180,1187,1178,1184,1180
10500,1180,1187,1178,1184,1180
11000,1180,1187,1178,1184,1180
11500,1180,1187,1178,1184,1180
12000,1180,1187,1178,1184,1180
12500,1180,1187,1178,1184,1180
13000,1180,1187,1178,1184,1180
13500,1180,1187,1178,1184,1180
14000,1180,1187,1178,1184,1180
14500,1180,1187,1178,1184,1180
15000,1180,1187,1178,1184,1180
15500,1180,1187,1178,1184,1180
16000,1180,1187,1178,1184,1180
16500,1180,1187,1178,1184,1180
17000,1180,1187,1178,1184,1180
17500,1180,1187,1178,1184,1180
18000,1180,1187,1178,1184,1180
18500,1180,1187,1178,1184,1180
19000,1180,1187,1178,1184,1180
19500,1180,1187,1178,1184,1180
20000,1180,1187,1178,1184,1180
20500,1180,1187,1178,1184,1180
21000,1180,1187,1178,1184,1180
21500,1180,1187,1178,1184,1180
22000,1180,1187,1178,1184,1180
22500,1180,1187,1178,1184,1180
23000,1180,1187,1178,1184,1180
23500,1180,1187,1178,1184,1180
24000,1180,1187,1178,1184,1180
24500,1180,1187,1178,1184,1180
25000,1180,1187,1178,1184,1180
25500,1180,1185,1178,1184,1180
26000,1180,1185,1178,1179,1180
26500,1180,1185,1178,1175,1180
27000,1180,1185,1178,1175,1180
27500,1180,1185,1178,1175,1180
28000,1180,1185,1178,1175,1180
28500,1180,1185,1178,1175,1180
29000,1180,1185,1178,1175,1180
29500,1180,1185,1178,1175,1180
30000,1180,1185,1178,1175,1180
30500,1180,1185,1178,1175,1180
31000,1180,1185,1178,1173,1180
31500,1180,1185,1178,1173,1180
32000,1180,1185,1178,1173,1180
32500,1180,1185,1178,1173,1180
33000,1180,1185,1178,1173,1180
33500,1180,1185,1178,1173,1180
34000,1180,1185,1178,1173,1180
34500,1180,1185,1178,1173,1180
35000,1180,1185,1178,1173,1180
35500,1180,1185,1178,1173,1180
36000,1180,1185,1178,1173,1180
36500,1180,1185,1178,1173,1180
37000,1180,1185,1178,1173,1180
37500,1180,1185,1178,1173,1180
38000,1180,1185,1178,1173,1180
38500,1180,1185,1178,1173,1180
39000,1180,1185,1178,1173,1180
39500,1180,1185,1178,1173,1180
40000,1180,1185,1178,1173,1180
40500,1180,1185,1178,1173,1180
41000,1180,1185,1178,1173,1180
41500,1180,1185,1178,1173,1180
42000,1180,1185,1178,1173,1180
42500,1180,1185,1178,1173,1180
43000,1180,1185,1178,1173,1180
43500,1180,1185,1178,1173,1180
44000,1180,1185,1178,1173,1180
44500,1180,1185,1178,1173,1180
45000,1180,1185,1178,1173,1180
45500,1180,1185,1178,1173,1180
46000,1180,1185,1178,1173,1180
46500,1180,1185,1178,1173,1180
47000,1180,1185,1178,1173,1180
47500,1180,1185,1178,1173,1180
48000,1180,1185,1178,1173,1180
48500,1180,1185,1178,1173,1180
49000,1180,1185,1178,1173,1180
49500,1180,1185,1178,1173,1180
50000,1180,1185,1178,1173,1180
50500,1180,1185,1178,1173,1180
51000,1180,1185,1178,1173,1180
51500,1180,1185,1178,1173,1180
52000,1180,1185,1178,1173,1180
52500,1180,1184,1178,1173,1180
53000,1180,1183,1178,1173,1180
53500,1180,1182,1178,1173,1180
54000,1180,1182,1178,1173,1180
54500,1180,1182,1178,1173,1180
55000,1180,1182,1178,1173,1180
55500,1180,1182,1178,1173,1180
56000,1180,1180,1178,1173,1180
56500,1180,1180,1178,1173,1180
57000,1180,1180,1178,1173,1180
57500,1180,1180,1178,1173,1180
58000,1180,1180,1178,1173,1180
58500,1180,1180,1178,1173,1180
59000,1180,1180,1178,1173,1180
59500,1180,1180,1178,1173,1180
60000,1180,1180,1178,1173,1180
60500,1180,1180,1178,1173,1180
61000,1180,1178,1178,1173,1180
61500,1180,1178,1178,1173,1180
62000,1180,1178,1178,1173,1180
62500,1180,1178,1178,1173,1180
63000,1180,1178,1178,1173,1180
63500,1180,1178,1178,1173,1180
64000,1180,1178,1178,1173,1180
64500,1180,1178,1178,1173,1180
65000,1180,1178,1178,1173,1180
65500,1180,1178,1178,1173,1180
66000,1180,1178,1178,1173,1180
66500,1180,1178,1178,1173,1180
67000,1180,1178,1178,1173,1180
67500,1180,1178,1178,1173,1180
68000,1180,1178,1178,1173,1180
68500,1180,1178,1178,1173,1180
69000,1180,1178,1178,1173,1180
69500,1180,1178,1178,1173,1180
70000,1180,1178,1178,1173,1180
70500,1180,1178,1178,1173,1180
71000,1180,1178,1178,1173,1180
71500,1180,1178,1178,1173,1180
72000,1180,1178,1178,1173,1180
72500,1180,1178,1178,1173,1180
73000,1180,1178,1178,1173,1180
73500,1180,1178,1178,1173,1180
74000,1180,1178,1178,1173,1180
74500,1180,1178,1178,1173,1180
