Selection,T
Cross Over,DC
Mutation,SPSM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1402,1447,1489,1428,1450
500,1326,1302,1296,1301,1292
1000,1299,1299,1294,1301,1291
1500,1278,1297,1294,1279,1288
2000,1272,1287,1289,1266,1288
2500,1267,1287,1289,1265,1288
3000,1267,1284,1289,1265,1288
3500,1264,1284,1289,1265,1288
4000,1264,1284,1289,1255,1288
4500,1264,1284,1289,1255,1287
5000,1264,1284,1289,1250,1286
5500,1264,1284,1289,1239,1286
6000,1264,1284,1289,1239,1286
6500,1264,1284,1289,1239,1286
7000,1264,1284,1289,1239,1286
7500,1264,1284,1289,1239,1286
8000,1264,1284,1289,1239,1286
8500,1264,1284,1289,1239,1286
9000,1264,1284,1289,1238,1286
9500,1264,1284,1289,1237,1286
10000,1264,1284,1289,1237,1286
10500,1264,1284,1289,1237,1286
11000,1263,1279,1289,1237,1286
11500,1263,1279,1289,1237,1286
12000,1263,1279,1289,1237,1280
12500,1263,1279,1282,1237,1280
13000,1263,1279,1282,1237,1280
13500,1263,1279,1282,1237,1280
14000,1263,1279,1282,1237,1280
14500,1247,1279,1282,1237,1280
15000,1247,1279,1282,1237,1280
15500,1247,1279,1282,1237,1280
16000,1247,1279,1282,1237,1280
16500,1247,1279,1282,1237,1280
17000,1247,1279,1282,1237,1275
17500,1247,1279,1282,1237,1275
18000,1247,1279,1282,1237,1275
18500,1247,1279,1282,1237,1275
19000,1247,1279,1282,1237,1275
19500,1247,1279,1282,1237,1275
20000,1247,1279,1282,1237,1275
20500,1247,1279,1282,1237,1275
21000,1247,1279,1282,1237,1275
21500,1246,1279,1282,1237,1275
22000,1246,1279,1282,1237,1275
22500,1246,1279,1279,1237,1275
23000,1246,1279,1279,1237,1275
23500,1246,1279,1279,1237,1275
24000,1246,1279,1279,1237,1275
24500,1246,1279,1279,1237,1275
25000,1246,1279,1279,1237,1275
25500,1246,1279,1279,1237,1275
26000,1246,1279,1279,1237,1275
26500,1246,1279,1279,1237,1275
27000,1246,1279,1279,1237,1275
27500,1246,1279,1279,1237,1275
28000,1246,1279,1279,1237,1275
28500,1246,1279,1279,1237,1275
29000,1246,1279,1279,1237,1275
29500,1246,1279,1279,1237,1275
30000,1246,1279,1279,1237,1275
30500,1246,1279,1275,1237,1275
31000,1246,1279,1275,1237,1275
31500,1246,1279,1275,1237,1256
32000,1246,1279,1275,1237,1244
32500,1246,1279,1275,1237,1244
33000,1246,1279,1275,1237,1240
33500,1246,1279,1275,1237,1240
34000,1246,1279,1275,1237,1237
34500,1246,1279,1275,1237,1237
35000,1246,1279,1275,1237,1237
35500,1246,1279,1275,1237,1236
36000,1246,1279,1263,1237,1236
36500,1246,1279,1249,1237,1236
37000,1246,1279,1249,1237,1236
37500,1246,1279,1249,1237,1236
38000,1246,1279,1249,1237,1236
38500,1246,1279,1249,1237,1236
39000,1246,1279,1244,1237,1236
39500,1246,1279,1244,1237,1236
40000,1246,1279,1244,1237,1236
40500,1246,1279,1244,1237,1236
41000,1246,1279,1243,1237,1236
41500,1246,1279,1243,1237,1236
42000,1246,1279,1243,1237,1236
42500,1246,1279,1243,1237,1236
43000,1246,1279,1243,1237,1236
43500,1246,1279,1243,1237,1236
44000,1246,1279,1243,1237,1236
44500,1246,1279,1243,1237,1236
45000,1246,1279,1243,1237,1236
45500,1246,1276,1243,1237,1236
46000,1246,1276,1243,1237,1236
46500,1246,1276,1243,1237,1236
47000,1246,1275,1242,1237,1236
47500,1246,1275,1242,1237,1236
48000,1246,1275,1242,1237,1236
48500,1246,1275,1238,1237,1236
49000,1246,1275,1238,1237,1236
49500,1246,1275,1238,1237,1236
50000,1246,1275,1238,1237,1236
50500,1246,1275,1238,1237,1236
51000,1246,1275,1238,1237,1236
51500,1246,1275,1238,1237,1236
52000,1246,1275,1238,1237,1236
52500,1246,1275,1238,1237,1236
53000,1246,1275,1238,1237,1236
53500,1246,1275,1238,1237,1236
54000,1246,1275,1238,1237,1236
54500,1246,1275,1238,1237,1236
55000,1246,1275,1238,1237,1236
55500,1246,1275,1238,1237,1236
56000,1246,1275,1238,1237,1236
56500,1246,1275,1238,1237,1236
57000,1246,1275,1238,1237,1236
57500,1246,1275,1238,1237,1236
58000,1246,1275,1238,1237,1236
58500,1246,1275,1238,1237,1236
59000,1246,1275,1238,1237,1236
59500,1246,1275,1235,1237,1236
60000,1246,1275,1235,1237,1236
60500,1246,1275,1235,1237,1236
61000,1246,1275,1235,1237,1236
61500,1245,1275,1235,1237,1236
62000,1245,1275,1235,1237,1236
62500,1245,1275,1235,1237,1236
63000,1242,1275,1235,1237,1236
63500,1242,1275,1233,1237,1236
64000,1242,1275,1233,1237,1236
64500,1242,1275,1233,1237,1236
65000,1242,1275,1233,1237,1236
65500,1242,1275,1233,1237,1236
66000,1242,1275,1233,1237,1236
66500,1242,1275,1233,1237,1236
67000,1242,1275,1233,1237,1236
67500,1242,1275,1233,1237,1236
68000,1242,1275,1233,1237,1236
68500,1242,1275,1233,1237,1236
69000,1242,1275,1233,1237,1236
69500,1242,1275,1233,1237,1236
70000,1242,1275,1233,1237,1236
70500,1242,1275,1233,1237,1236
71000,1242,1275,1233,1237,1236
71500,1242,1275,1233,1237,1236
72000,1242,1275,1233,1237,1236
72500,1242,1275,1233,1237,1236
73000,1242,1275,1233,1237,1236
73500,1242,1275,1233,1237,1236
74000,1242,1275,1233,1237,1236
74500,1242,1275,1233,1237,1236
