Selection,T
Cross Over,DPC2
Mutation,DPSM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1438,1460,1436,1432,1433
500,1279,1359,1277,1268,1285
1000,1278,1337,1277,1268,1257
1500,1272,1335,1277,1267,1257
2000,1272,1315,1262,1267,1257
2500,1272,1301,1262,1267,1257
3000,1259,1293,1262,1238,1257
3500,1256,1293,1261,1236,1257
4000,1256,1293,1261,1236,1257
4500,1252,1293,1261,1236,1257
5000,1252,1288,1261,1236,1257
5500,1252,1288,1261,1236,1257
6000,1252,1288,1261,1236,1257
6500,1252,1288,1261,1236,1257
7000,1252,1288,1261,1236,1257
7500,1252,1288,1261,1236,1257
8000,1252,1288,1261,1236,1257
8500,1252,1288,1261,1236,1257
9000,1252,1274,1261,1236,1257
9500,1252,1262,1261,1236,1257
10000,1252,1262,1261,1233,1257
10500,1252,1262,1261,1225,1246
11000,1252,1262,1261,1225,1246
11500,1251,1262,1261,1225,1246
12000,1251,1262,1261,1220,1246
12500,1251,1262,1261,1220,1246
13000,1251,1262,1261,1220,1246
13500,1251,1262,1261,1220,1246
14000,1251,1262,1261,1220,1246
14500,1251,1262,1261,1220,1246
15000,1251,1262,1261,1220,1246
15500,1251,1262,1261,1220,1246
16000,1251,1262,1261,1220,1246
16500,1251,1262,1261,1220,1246
17000,1251,1262,1261,1220,1246
17500,1251,1262,1261,1220,1246
18000,1251,1262,1261,1220,1246
18500,1251,1262,1261,1220,1246
19000,1251,1262,1261,1220,1246
19500,1251,1262,1261,1220,1246
20000,1251,1262,1261,1220,1246
20500,1251,1262,1261,1220,1246
21000,1251,1261,1261,1220,1246
21500,1251,1260,1261,1220,1246
22000,1251,1260,1261,1220,1246
22500,1251,1260,1261,1220,1246
23000,1251,1260,1261,1220,1246
23500,1251,1260,1261,1220,1246
24000,1251,1260,1261,1220,1246
24500,1251,1260,1261,1220,1246
