Selection,T
Cross Over,DPC2
Mutation,IM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1400,1454,1477,1425,1439
500,1287,1313,1241,1291,1311
1000,1287,1269,1241,1269,1256
1500,1287,1268,1241,1269,1236
2000,1287,1268,1241,1269,1236
2500,1284,1268,1241,1269,1235
3000,1284,1243,1241,1269,1235
3500,1284,1243,1241,1269,1235
4000,1284,1243,1241,1269,1235
4500,1284,1243,1241,1269,1235
5000,1284,1243,1241,1269,1235
5500,1284,1243,1239,1269,1235
6000,1284,1243,1239,1269,1235
6500,1284,1243,1239,1263,1235
7000,1284,1243,1239,1263,1215
7500,1284,1243,1239,1263,1215
8000,1284,1243,1239,1261,1215
8500,1284,1243,1239,1253,1215
9000,1284,1243,1239,1242,1215
9500,1284,1243,1239,1240,1215
10000,1284,1243,1239,1240,1215
10500,1284,1243,1239,1240,1215
11000,1284,1243,1239,1240,1215
11500,1284,1243,1239,1240,1215
12000,1284,1243,1239,1240,1211
12500,1284,1243,1239,1240,1211
13000,1284,1243,1239,1240,1211
13500,1284,1243,1239,1240,1211
14000,1284,1243,1239,1240,1211
14500,1284,1243,1235,1240,1211
15000,1284,1243,1235,1240,1211
15500,1284,1243,1235,1240,1211
16000,1284,1243,1235,1240,1211
16500,1284,1243,1235,1240,1208
17000,1284,1243,1235,1240,1208
17500,1284,1243,1235,1240,1208
18000,1284,1243,1235,1240,1208
18500,1284,1243,1235,1240,1208
19000,1284,1243,1235,1240,1208
19500,1284,1243,1235,1240,1208
20000,1284,1243,1235,1240,1208
20500,1284,1243,1235,1240,1208
21000,1284,1243,1235,1240,1208
21500,1284,1243,1235,1240,1208
22000,1284,1243,1235,1240,1208
22500,1284,1243,1235,1240,1208
23000,1284,1243,1235,1240,1208
23500,1284,1243,1235,1240,1208
24000,1284,1243,1235,1240,1208
24500,1284,1243,1235,1240,1208
25000,1284,1239,1235,1240,1208
25500,1284,1239,1235,1240,1208
26000,1284,1237,1235,1240,1203
26500,1284,1237,1235,1240,1203
27000,1284,1237,1235,1240,1203
27500,1284,1237,1235,1240,1203
28000,1284,1237,1235,1240,1203
28500,1284,1237,1235,1240,1203
29000,1284,1237,1235,1240,1203
29500,1284,1237,1235,1240,1203
30000,1284,1237,1235,1240,1203
30500,1284,1237,1235,1240,1203
31000,1284,1237,1235,1240,1203
31500,1284,1237,1235,1240,1203
32000,1284,1237,1235,1240,1203
32500,1284,1237,1235,1240,1203
33000,1284,1237,1235,1240,1203
33500,1284,1237,1235,1240,1203
34000,1284,1236,1235,1240,1203
34500,1275,1236,1235,1240,1203
35000,1263,1236,1235,1240,1203
35500,1258,1236,1235,1240,1203
36000,1258,1236,1235,1240,1203
36500,1250,1236,1235,1240,1203
37000,1246,1236,1235,1240,1203
37500,1246,1236,1235,1240,1203
38000,1246,1236,1235,1240,1203
38500,1246,1236,1235,1240,1203
39000,1246,1236,1235,1240,1203
39500,1246,1236,1235,1240,1203
40000,1246,1236,1235,1240,1203
40500,1246,1236,1235,1239,1203
41000,1246,1236,1235,1239,1203
41500,1246,1236,1235,1239,1203
42000,1246,1236,1235,1239,1203
42500,1246,1236,1235,1239,1203
43000,1246,1236,1235,1239,1203
43500,1246,1236,1235,1239,1203
44000,1246,1236,1235,1239,1203
44500,1246,1236,1235,1239,1203
45000,1246,1236,1235,1239,1203
45500,1246,1236,1235,1239,1203
46000,1246,1236,1235,1239,1203
46500,1246,1236,1235,1239,1203
47000,1246,1236,1235,1239,1203
47500,1246,1236,1235,1239,1203
48000,1246,1236,1235,1239,1203
48500,1246,1236,1235,1239,1203
49000,1246,1236,1235,1239,1203
49500,1246,1236,1235,1239,1203
50000,1246,1236,1235,1239,1203
50500,1246,1236,1235,1239,1203
51000,1246,1236,1235,1239,1203
51500,1246,1236,1235,1239,1203
52000,1246,1236,1235,1239,1203
52500,1246,1236,1235,1239,1203
53000,1246,1236,1235,1239,1203
53500,1246,1236,1235,1239,1203
54000,1241,1236,1235,1239,1199
54500,1241,1236,1235,1239,1199
55000,1241,1236,1235,1239,1199
55500,1240,1236,1235,1239,1199
56000,1233,1236,1235,1239,1199
56500,1233,1236,1235,1239,1199
57000,1233,1236,1235,1239,1199
57500,1218,1236,1235,1239,1199
58000,1218,1236,1235,1239,1199
58500,1218,1236,1235,1239,1199
59000,1218,1236,1235,1239,1195
59500,1213,1236,1235,1239,1195
60000,1213,1236,1235,1239,1195
60500,1213,1236,1235,1239,1195
61000,1213,1236,1235,1239,1195
61500,1213,1236,1235,1239,1195
62000,1213,1236,1235,1239,1195
62500,1213,1236,1235,1239,1194
63000,1213,1236,1235,1239,1192
63500,1213,1236,1235,1239,1192
64000,1213,1236,1235,1239,1192
64500,1213,1236,1235,1239,1192
65000,1213,1236,1235,1239,1190
65500,1213,1236,1235,1239,1190
66000,1213,1236,1235,1239,1190
66500,1213,1236,1235,1239,1190
67000,1213,1236,1235,1239,1190
67500,1213,1236,1235,1238,1190
68000,1213,1236,1235,1238,1190
68500,1213,1236,1235,1238,1190
69000,1213,1236,1235,1238,1190
69500,1213,1236,1235,1238,1189
70000,1213,1236,1235,1238,1189
70500,1213,1236,1235,1238,1189
71000,1213,1236,1235,1238,1189
71500,1213,1236,1235,1238,1189
72000,1213,1236,1235,1238,1189
72500,1213,1236,1235,1238,1189
73000,1213,1236,1235,1238,1188
73500,1213,1236,1235,1238,1188
74000,1213,1236,1235,1238,1188
74500,1213,1236,1235,1238,1188
