Selection,T
Cross Over,DPC2
Mutation,RM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1477,1436,1470,1447,1449
500,1295,1326,1337,1307,1332
1000,1295,1326,1337,1307,1332
1500,1295,1326,1335,1307,1332
2000,1295,1326,1335,1307,1332
2500,1295,1326,1335,1307,1332
3000,1295,1326,1326,1297,1329
3500,1295,1326,1326,1297,1329
4000,1295,1326,1326,1297,1329
4500,1292,1326,1320,1297,1329
5000,1292,1326,1320,1297,1324
5500,1292,1318,1293,1297,1324
6000,1292,1274,1293,1297,1324
6500,1292,1274,1293,1297,1324
7000,1292,1274,1293,1297,1324
7500,1292,1274,1293,1297,1324
8000,1292,1274,1293,1297,1324
8500,1292,1274,1293,1297,1324
9000,1292,1274,1293,1297,1324
9500,1292,1274,1293,1297,1324
10000,1292,1274,1293,1297,1324
10500,1292,1274,1293,1297,1324
11000,1292,1274,1293,1297,1324
11500,1292,1274,1293,1297,1324
12000,1292,1274,1293,1297,1324
12500,1292,1274,1293,1297,1324
13000,1292,1274,1293,1297,1324
13500,1292,1274,1293,1297,1307
14000,1292,1274,1293,1297,1289
14500,1292,1274,1293,1297,1289
15000,1292,1274,1293,1297,1289
15500,1292,1274,1293,1297,1289
16000,1292,1274,1293,1297,1289
16500,1292,1274,1293,1297,1289
17000,1292,1274,1293,1297,1289
17500,1292,1274,1293,1297,1289
18000,1292,1274,1293,1297,1289
18500,1292,1274,1293,1297,1289
19000,1292,1274,1293,1297,1289
19500,1292,1274,1293,1297,1289
20000,1292,1274,1293,1297,1289
20500,1292,1274,1293,1297,1289
21000,1292,1274,1293,1297,1289
21500,1292,1274,1293,1297,1289
22000,1292,1274,1293,1297,1289
22500,1292,1274,1293,1297,1289
23000,1292,1274,1293,1297,1289
23500,1292,1274,1293,1297,1289
24000,1292,1274,1293,1297,1289
24500,1292,1274,1293,1297,1289
25000,1292,1274,1293,1297,1289
25500,1292,1274,1293,1297,1289
26000,1292,1274,1293,1297,1289
26500,1292,1274,1293,1297,1289
27000,1292,1274,1293,1297,1289
27500,1292,1274,1293,1297,1289
28000,1292,1274,1293,1297,1289
28500,1292,1274,1293,1297,1289
29000,1292,1274,1293,1297,1289
29500,1292,1274,1293,1297,1289
30000,1292,1274,1293,1297,1289
30500,1292,1274,1293,1297,1289
31000,1292,1274,1293,1297,1289
31500,1292,1274,1293,1297,1289
32000,1292,1274,1293,1297,1289
32500,1292,1274,1293,1297,1289
33000,1292,1274,1293,1297,1289
33500,1292,1274,1293,1297,1289
34000,1292,1274,1293,1297,1289
34500,1292,1274,1293,1283,1289
35000,1292,1274,1293,1273,1289
35500,1292,1274,1293,1270,1289
36000,1292,1274,1293,1270,1289
36500,1292,1274,1293,1270,1289
37000,1292,1274,1293,1270,1289
37500,1292,1274,1293,1270,1289
38000,1292,1274,1293,1261,1289
38500,1292,1274,1293,1261,1289
39000,1292,1274,1293,1261,1289
39500,1292,1274,1293,1261,1289
40000,1292,1274,1293,1257,1289
40500,1292,1274,1293,1257,1289
41000,1292,1274,1293,1257,1289
41500,1292,1274,1293,1257,1289
42000,1292,1274,1293,1257,1289
42500,1292,1274,1293,1257,1289
43000,1292,1274,1293,1257,1289
43500,1292,1274,1293,1257,1289
44000,1292,1274,1293,1257,1289
44500,1292,1274,1293,1257,1289
45000,1292,1274,1293,1257,1289
45500,1292,1274,1293,1257,1289
46000,1292,1274,1293,1257,1289
46500,1292,1274,1293,1257,1289
47000,1292,1274,1293,1257,1289
47500,1292,1274,1293,1257,1289
48000,1292,1274,1293,1257,1289
48500,1292,1274,1293,1257,1289
49000,1292,1274,1293,1257,1289
49500,1292,1274,1293,1257,1289
50000,1292,1274,1293,1257,1289
50500,1292,1274,1293,1257,1289
51000,1292,1274,1293,1257,1289
51500,1292,1274,1293,1257,1289
52000,1292,1274,1293,1257,1289
52500,1292,1274,1293,1257,1289
53000,1292,1274,1293,1257,1289
53500,1292,1274,1293,1257,1289
54000,1292,1274,1293,1257,1289
54500,1292,1274,1293,1257,1289
55000,1292,1274,1293,1257,1289
55500,1292,1274,1293,1257,1289
56000,1292,1274,1293,1257,1289
56500,1292,1274,1293,1257,1289
57000,1292,1274,1293,1257,1289
57500,1292,1274,1293,1257,1289
58000,1292,1274,1293,1257,1289
58500,1292,1274,1293,1257,1289
59000,1292,1274,1293,1257,1289
59500,1292,1274,1293,1257,1289
60000,1292,1274,1293,1257,1289
60500,1292,1274,1293,1257,1289
61000,1292,1274,1293,1257,1289
61500,1292,1274,1293,1257,1289
62000,1292,1274,1293,1257,1289
62500,1292,1274,1293,1257,1289
63000,1292,1274,1293,1257,1289
63500,1292,1274,1293,1257,1289
64000,1292,1274,1293,1257,1289
64500,1292,1274,1293,1257,1289
65000,1292,1274,1293,1257,1289
65500,1292,1274,1293,1257,1289
66000,1292,1274,1293,1257,1289
66500,1292,1274,1293,1257,1269
67000,1292,1274,1293,1257,1269
67500,1292,1274,1293,1257,1269
68000,1292,1274,1293,1257,1269
68500,1292,1274,1293,1257,1269
69000,1292,1274,1293,1257,1269
69500,1292,1274,1293,1257,1269
70000,1292,1274,1293,1257,1269
70500,1292,1274,1293,1257,1269
71000,1292,1274,1293,1257,1269
71500,1292,1274,1293,1257,1269
72000,1292,1274,1293,1257,1269
72500,1292,1274,1293,1257,1269
73000,1292,1274,1293,1257,1269
73500,1292,1274,1293,1257,1269
74000,1292,1274,1293,1257,1269
74500,1292,1274,1293,1257,1269
