Selection,T
Cross Over,DPC2
Mutation,SM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1425,1429,1443,1425,1368
500,1267,1204,1258,1249,1270
1000,1258,1204,1211,1190,1270
1500,1257,1204,1206,1189,1237
2000,1192,1204,1206,1189,1223
2500,1190,1204,1206,1189,1223
3000,1190,1204,1201,1189,1212
3500,1184,1204,1201,1189,1212
4000,1184,1204,1201,1189,1212
4500,1184,1204,1201,1189,1212
5000,1184,1204,1201,1189,1189
5500,1184,1204,1201,1189,1189
6000,1184,1204,1191,1189,1189
6500,1184,1204,1191,1189,1189
7000,1178,1204,1191,1189,1189
7500,1178,1204,1191,1189,1189
8000,1178,1204,1191,1189,1189
8500,1178,1204,1191,1189,1189
9000,1178,1204,1190,1189,1189
9500,1178,1204,1190,1189,1189
10000,1178,1204,1190,1189,1189
10500,1178,1204,1190,1189,1189
11000,1178,1204,1190,1189,1189
11500,1178,1204,1190,1184,1189
12000,1178,1204,1190,1184,1189
12500,1178,1204,1190,1184,1189
13000,1178,1204,1190,1184,1189
13500,1178,1204,1190,1184,1189
14000,1178,1204,1186,1184,1189
14500,1178,1204,1186,1184,1189
15000,1178,1204,1186,1184,1189
15500,1178,1203,1186,1184,1189
16000,1178,1203,1186,1184,1189
16500,1178,1203,1186,1184,1189
17000,1178,1203,1186,1184,1189
17500,1178,1203,1186,1184,1189
18000,1178,1203,1186,1184,1189
18500,1178,1203,1186,1184,1189
19000,1178,1203,1186,1184,1189
19500,1178,1203,1186,1184,1189
20000,1178,1203,1186,1184,1189
20500,1178,1203,1186,1184,1189
21000,1178,1203,1186,1184,1189
21500,1178,1203,1186,1184,1189
22000,1178,1203,1186,1184,1189
22500,1178,1203,1186,1184,1189
23000,1178,1203,1186,1184,1189
23500,1178,1203,1186,1184,1189
24000,1178,1203,1186,1184,1189
24500,1178,1203,1186,1184,1189
25000,1178,1203,1186,1184,1189
25500,1178,1203,1186,1184,1189
26000,1178,1203,1184,1184,1189
26500,1178,1203,1184,1184,1189
27000,1178,1203,1184,1184,1189
27500,1178,1203,1184,1184,1189
28000,1178,1203,1184,1184,1189
28500,1178,1203,1184,1184,1189
29000,1178,1203,1184,1184,1189
29500,1178,1203,1184,1184,1189
30000,1178,1203,1184,1184,1189
30500,1178,1203,1184,1184,1189
31000,1178,1203,1184,1184,1189
31500,1178,1203,1184,1184,1189
32000,1178,1203,1184,1184,1189
32500,1178,1203,1184,1184,1189
33000,1178,1203,1184,1184,1189
33500,1178,1203,1184,1184,1189
34000,1178,1203,1184,1184,1189
34500,1178,1203,1184,1184,1189
35000,1178,1203,1184,1184,1189
35500,1178,1203,1184,1184,1189
36000,1178,1203,1184,1184,1189
36500,1178,1203,1184,1184,1189
37000,1178,1203,1184,1184,1189
37500,1178,1203,1184,1184,1189
38000,1178,1203,1184,1184,1189
38500,1178,1203,1184,1184,1189
39000,1178,1203,1184,1184,1189
39500,1178,1203,1184,1184,1189
40000,1178,1203,1184,1184,1189
40500,1178,1203,1184,1184,1189
41000,1178,1203,1184,1184,1189
41500,1178,1203,1184,1184,1189
42000,1178,1203,1184,1184,1189
42500,1178,1203,1184,1184,1189
43000,1178,1203,1184,1184,1189
43500,1178,1203,1184,1184,1189
44000,1178,1203,1184,1184,1189
44500,1178,1203,1184,1184,1189
45000,1178,1203,1184,1184,1189
45500,1178,1203,1184,1184,1189
46000,1178,1203,1184,1184,1189
46500,1178,1203,1184,1184,1189
47000,1178,1203,1184,1184,1189
47500,1178,1203,1184,1184,1189
48000,1178,1203,1184,1184,1189
48500,1178,1203,1184,1184,1189
49000,1178,1203,1184,1184,1189
49500,1178,1203,1184,1184,1189
50000,1178,1203,1178,1184,1189
50500,1178,1203,1178,1184,1189
51000,1178,1203,1178,1184,1189
51500,1178,1203,1178,1184,1189
52000,1178,1203,1178,1184,1189
52500,1178,1203,1178,1184,1189
53000,1178,1203,1178,1184,1189
53500,1178,1203,1178,1184,1189
54000,1178,1203,1178,1184,1189
54500,1178,1203,1178,1184,1189
55000,1178,1203,1178,1184,1189
55500,1178,1203,1178,1184,1189
56000,1178,1203,1178,1184,1189
56500,1178,1203,1178,1184,1189
57000,1178,1203,1178,1184,1189
57500,1178,1203,1178,1184,1189
58000,1178,1203,1178,1184,1185
58500,1178,1203,1178,1184,1185
59000,1178,1203,1178,1184,1185
59500,1178,1203,1178,1184,1185
60000,1178,1203,1178,1184,1185
60500,1178,1203,1178,1184,1185
61000,1178,1203,1178,1184,1185
61500,1178,1203,1178,1184,1185
62000,1178,1203,1178,1184,1185
62500,1178,1203,1178,1184,1185
63000,1178,1203,1178,1184,1185
63500,1178,1203,1178,1184,1185
64000,1178,1203,1178,1184,1185
64500,1178,1203,1178,1184,1180
65000,1178,1203,1178,1184,1180
65500,1178,1203,1178,1184,1180
66000,1178,1203,1178,1184,1180
66500,1178,1203,1178,1184,1180
67000,1178,1203,1178,1184,1180
67500,1178,1203,1178,1184,1180
68000,1178,1203,1178,1184,1180
68500,1178,1203,1178,1184,1180
69000,1178,1203,1178,1184,1180
69500,1178,1203,1178,1184,1180
70000,1178,1203,1178,1184,1180
70500,1178,1203,1178,1184,1180
71000,1178,1203,1178,1184,1180
71500,1178,1203,1178,1184,1180
72000,1178,1203,1178,1184,1180
72500,1178,1203,1178,1184,1180
73000,1178,1203,1178,1184,1180
73500,1178,1203,1178,1184,1180
74000,1178,1203,1178,1184,1180
74500,1178,1203,1178,1184,1180
