Selection,T
Cross Over,DPC2
Mutation,SPSM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1425,1473,1464,1437,1462
500,1263,1311,1316,1248,1292
1000,1263,1305,1292,1244,1292
1500,1263,1305,1292,1244,1286
2000,1254,1305,1292,1244,1258
2500,1254,1305,1290,1244,1245
3000,1254,1305,1290,1244,1245
3500,1254,1296,1290,1244,1245
4000,1242,1296,1290,1244,1245
4500,1239,1296,1290,1244,1245
5000,1239,1296,1290,1244,1245
5500,1239,1296,1288,1244,1245
6000,1239,1296,1288,1244,1245
6500,1239,1296,1288,1244,1245
7000,1236,1296,1288,1244,1245
7500,1236,1296,1288,1244,1245
8000,1236,1281,1288,1244,1245
8500,1236,1232,1288,1244,1245
9000,1236,1232,1288,1244,1245
9500,1236,1232,1288,1244,1245
10000,1236,1232,1282,1244,1245
10500,1236,1232,1282,1244,1223
11000,1236,1232,1282,1244,1223
11500,1236,1224,1282,1244,1222
12000,1236,1224,1282,1244,1211
12500,1236,1222,1282,1244,1211
13000,1236,1222,1282,1244,1211
13500,1236,1222,1282,1244,1211
14000,1236,1222,1282,1244,1211
14500,1236,1222,1282,1244,1211
15000,1236,1222,1282,1244,1211
15500,1236,1222,1282,1244,1211
16000,1236,1222,1282,1244,1211
16500,1236,1222,1282,1244,1211
17000,1236,1222,1282,1244,1211
17500,1236,1222,1282,1244,1211
18000,1236,1222,1282,1244,1211
18500,1236,1222,1282,1244,1211
19000,1236,1222,1282,1244,1211
19500,1236,1222,1282,1244,1211
20000,1236,1222,1282,1244,1211
20500,1236,1222,1282,1244,1211
21000,1236,1222,1282,1244,1211
21500,1236,1222,1282,1241,1211
22000,1236,1222,1282,1241,1211
22500,1236,1222,1282,1224,1211
23000,1236,1222,1282,1219,1211
23500,1236,1222,1282,1219,1211
24000,1236,1222,1282,1219,1211
24500,1236,1222,1282,1218,1211
25000,1236,1222,1282,1218,1211
25500,1236,1222,1282,1218,1211
26000,1236,1222,1282,1218,1211
26500,1236,1222,1282,1218,1211
27000,1236,1222,1282,1218,1211
27500,1236,1222,1282,1218,1211
28000,1236,1222,1282,1218,1211
28500,1236,1222,1282,1218,1211
29000,1236,1222,1282,1218,1211
29500,1236,1222,1282,1218,1211
30000,1236,1222,1282,1218,1211
30500,1236,1222,1282,1218,1211
31000,1236,1222,1282,1218,1211
31500,1236,1222,1282,1218,1211
32000,1236,1222,1282,1218,1211
32500,1236,1222,1282,1218,1211
33000,1236,1217,1282,1218,1211
33500,1236,1217,1282,1218,1211
34000,1236,1217,1282,1218,1211
34500,1236,1217,1282,1218,1211
35000,1236,1214,1282,1218,1211
35500,1236,1214,1282,1218,1211
36000,1236,1214,1282,1218,1211
36500,1236,1214,1282,1218,1211
37000,1236,1214,1282,1218,1211
37500,1236,1214,1282,1218,1211
38000,1236,1214,1282,1218,1211
38500,1236,1214,1282,1218,1211
39000,1236,1214,1282,1218,1211
39500,1236,1214,1282,1218,1211
40000,1236,1214,1282,1218,1211
40500,1236,1214,1282,1218,1211
41000,1236,1214,1282,1218,1211
41500,1236,1214,1282,1218,1211
42000,1236,1214,1282,1218,1211
42500,1236,1214,1282,1218,1211
43000,1236,1214,1282,1218,1211
43500,1236,1214,1282,1218,1211
44000,1236,1214,1282,1218,1211
44500,1236,1214,1282,1218,1211
45000,1236,1214,1282,1218,1211
45500,1236,1214,1282,1218,1211
46000,1236,1214,1282,1218,1211
46500,1236,1214,1282,1218,1211
47000,1236,1214,1282,1218,1211
47500,1236,1214,1282,1218,1211
48000,1236,1214,1282,1218,1211
48500,1236,1214,1282,1218,1211
49000,1236,1214,1282,1218,1211
49500,1236,1214,1282,1218,1211
50000,1236,1214,1282,1218,1211
50500,1236,1214,1282,1218,1211
51000,1236,1214,1282,1218,1211
51500,1236,1214,1282,1218,1211
52000,1236,1214,1282,1218,1211
52500,1236,1214,1282,1218,1211
53000,1236,1214,1282,1218,1211
53500,1236,1214,1282,1218,1211
54000,1236,1206,1282,1218,1211
54500,1236,1206,1282,1218,1211
55000,1236,1206,1282,1218,1211
55500,1236,1206,1282,1218,1211
56000,1236,1206,1282,1218,1211
56500,1236,1206,1282,1218,1211
57000,1236,1206,1282,1218,1211
57500,1236,1206,1282,1218,1211
58000,1236,1206,1282,1218,1211
58500,1236,1206,1282,1218,1211
59000,1236,1206,1282,1218,1211
59500,1236,1206,1282,1218,1211
60000,1236,1206,1282,1218,1211
60500,1236,1206,1282,1218,1211
61000,1236,1206,1282,1218,1211
61500,1236,1206,1282,1218,1211
62000,1236,1206,1282,1218,1211
62500,1236,1206,1282,1218,1211
63000,1236,1206,1282,1218,1211
63500,1236,1206,1282,1218,1211
64000,1236,1206,1282,1218,1211
64500,1236,1206,1282,1218,1211
65000,1236,1206,1282,1218,1211
65500,1236,1206,1282,1218,1211
66000,1236,1206,1282,1218,1211
66500,1236,1206,1282,1218,1211
67000,1236,1206,1282,1218,1211
67500,1236,1206,1282,1218,1211
68000,1236,1206,1282,1218,1211
68500,1236,1206,1282,1218,1211
69000,1236,1206,1282,1218,1211
69500,1236,1206,1282,1218,1211
70000,1236,1206,1282,1218,1211
70500,1236,1206,1282,1218,1211
71000,1236,1206,1282,1218,1211
71500,1236,1206,1282,1218,1211
72000,1236,1206,1282,1218,1211
72500,1236,1206,1282,1218,1211
73000,1236,1206,1282,1218,1211
73500,1236,1206,1282,1218,1211
74000,1236,1206,1282,1218,1211
74500,1236,1206,1282,1218,1211
