Selection,T
Cross Over,DPC
Mutation,DPSM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1406,1451,1413,1440,1476
500,1303,1303,1299,1300,1318
1000,1303,1298,1299,1300,1315
1500,1280,1293,1298,1280,1315
2000,1273,1293,1298,1271,1314
2500,1273,1293,1298,1269,1314
3000,1273,1293,1297,1269,1314
3500,1273,1293,1297,1269,1311
4000,1273,1293,1297,1269,1283
4500,1273,1289,1297,1269,1280
5000,1273,1289,1297,1269,1280
5500,1273,1288,1292,1269,1272
6000,1273,1288,1292,1269,1272
6500,1273,1288,1292,1269,1272
7000,1273,1288,1292,1269,1272
7500,1270,1288,1292,1269,1272
8000,1270,1288,1292,1269,1272
8500,1270,1288,1292,1269,1272
9000,1270,1285,1292,1269,1267
9500,1270,1272,1292,1269,1267
10000,1270,1261,1286,1269,1267
10500,1270,1254,1286,1269,1267
11000,1270,1254,1286,1269,1255
11500,1270,1254,1286,1269,1255
12000,1270,1254,1282,1269,1255
12500,1270,1254,1282,1269,1255
13000,1270,1254,1282,1269,1255
13500,1270,1254,1282,1269,1255
14000,1270,1254,1282,1269,1255
14500,1270,1254,1282,1269,1255
15000,1270,1254,1282,1269,1255
15500,1270,1254,1282,1269,1255
16000,1270,1254,1282,1269,1255
16500,1270,1254,1282,1269,1255
17000,1270,1254,1282,1261,1255
17500,1270,1254,1282,1259,1252
18000,1270,1254,1282,1259,1252
18500,1270,1254,1282,1259,1252
19000,1270,1254,1282,1259,1252
19500,1270,1254,1282,1259,1252
20000,1270,1254,1282,1259,1248
20500,1270,1254,1282,1259,1248
21000,1270,1254,1282,1259,1248
21500,1270,1254,1282,1259,1248
22000,1270,1254,1282,1259,1248
22500,1270,1254,1282,1259,1248
23000,1270,1254,1282,1259,1248
23500,1270,1254,1282,1259,1248
24000,1270,1254,1282,1259,1248
24500,1270,1254,1282,1259,1248
25000,1270,1254,1282,1259,1248
25500,1270,1254,1282,1259,1248
26000,1270,1254,1282,1259,1248
26500,1270,1254,1282,1259,1242
27000,1270,1254,1282,1259,1232
27500,1270,1254,1282,1259,1232
28000,1270,1254,1282,1259,1232
28500,1270,1254,1282,1259,1232
29000,1270,1254,1282,1259,1232
29500,1270,1254,1282,1259,1232
30000,1270,1254,1282,1259,1232
30500,1270,1254,1282,1253,1232
31000,1270,1247,1282,1253,1232
31500,1270,1247,1282,1253,1232
32000,1270,1247,1282,1253,1232
32500,1270,1247,1282,1253,1232
33000,1270,1247,1282,1253,1232
33500,1270,1247,1282,1253,1232
34000,1270,1247,1282,1253,1232
34500,1270,1247,1282,1253,1232
35000,1270,1247,1282,1253,1232
35500,1270,1247,1282,1253,1232
36000,1270,1247,1282,1253,1232
36500,1270,1245,1282,1253,1232
37000,1270,1245,1282,1251,1232
37500,1270,1239,1270,1251,1232
38000,1270,1239,1270,1251,1232
38500,1270,1239,1270,1251,1232
39000,1270,1239,1270,1251,1232
39500,1270,1239,1270,1251,1232
40000,1270,1239,1270,1251,1232
40500,1270,1239,1270,1251,1232
41000,1270,1239,1270,1251,1232
41500,1270,1238,1270,1251,1232
42000,1270,1238,1270,1251,1232
42500,1270,1238,1270,1251,1232
43000,1270,1238,1270,1251,1232
43500,1270,1238,1270,1251,1232
44000,1270,1238,1270,1245,1232
44500,1270,1238,1270,1241,1232
45000,1270,1238,1270,1241,1232
45500,1270,1238,1270,1241,1232
46000,1270,1236,1270,1241,1232
46500,1270,1236,1270,1241,1232
47000,1270,1236,1270,1241,1232
47500,1270,1236,1270,1241,1232
48000,1270,1236,1270,1241,1232
48500,1270,1236,1270,1241,1232
49000,1270,1236,1270,1241,1232
49500,1270,1236,1270,1241,1232
50000,1270,1236,1270,1241,1232
50500,1270,1236,1269,1241,1232
51000,1270,1236,1269,1241,1232
51500,1270,1236,1269,1241,1232
52000,1270,1236,1269,1241,1232
52500,1270,1236,1269,1241,1232
53000,1270,1236,1269,1241,1232
53500,1270,1236,1269,1241,1232
54000,1270,1236,1269,1241,1232
54500,1270,1236,1269,1241,1232
55000,1270,1236,1269,1241,1232
55500,1270,1236,1269,1241,1232
56000,1270,1236,1269,1241,1232
56500,1270,1236,1269,1241,1232
57000,1270,1236,1269,1241,1232
57500,1270,1236,1269,1241,1232
58000,1270,1236,1269,1241,1232
58500,1270,1236,1269,1241,1232
59000,1270,1236,1269,1241,1232
59500,1270,1236,1269,1241,1232
60000,1270,1236,1269,1241,1232
60500,1270,1236,1269,1241,1232
61000,1270,1236,1269,1241,1232
61500,1270,1236,1269,1241,1232
62000,1270,1236,1269,1241,1232
62500,1270,1236,1269,1241,1232
63000,1270,1236,1269,1241,1232
63500,1270,1236,1269,1241,1232
64000,1270,1236,1269,1241,1232
64500,1270,1236,1269,1241,1232
65000,1270,1236,1269,1241,1232
65500,1270,1236,1269,1241,1232
66000,1270,1236,1269,1241,1232
66500,1270,1236,1269,1241,1232
67000,1270,1236,1269,1241,1232
67500,1270,1236,1269,1241,1232
68000,1270,1236,1269,1241,1232
68500,1270,1236,1269,1241,1232
69000,1270,1236,1269,1241,1232
69500,1270,1236,1269,1241,1232
70000,1270,1236,1269,1241,1232
70500,1270,1236,1269,1241,1232
71000,1270,1236,1269,1241,1232
71500,1270,1236,1269,1241,1232
72000,1270,1236,1269,1241,1232
72500,1270,1236,1269,1241,1232
73000,1270,1236,1269,1241,1232
73500,1270,1236,1269,1241,1232
74000,1270,1236,1269,1241,1232
74500,1270,1236,1269,1241,1232
