Selection,T
Cross Over,DPC
Mutation,IM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1472,1449,1506,1480,1435
500,1306,1342,1321,1276,1293
1000,1302,1330,1272,1276,1257
1500,1279,1300,1272,1276,1252
2000,1249,1300,1272,1276,1252
2500,1231,1300,1269,1276,1252
3000,1231,1298,1269,1276,1252
3500,1231,1298,1269,1276,1244
4000,1231,1298,1269,1276,1244
4500,1231,1298,1267,1276,1244
5000,1231,1298,1267,1276,1244
5500,1231,1298,1267,1273,1244
6000,1231,1298,1266,1273,1244
6500,1231,1298,1266,1273,1244
7000,1231,1298,1266,1273,1244
7500,1231,1298,1266,1273,1244
8000,1231,1298,1266,1273,1244
8500,1231,1298,1266,1273,1244
9000,1231,1298,1266,1273,1244
9500,1231,1298,1266,1273,1244
10000,1231,1293,1266,1273,1244
10500,1231,1278,1266,1273,1244
11000,1231,1253,1266,1273,1244
11500,1231,1250,1266,1273,1244
12000,1229,1248,1266,1273,1244
12500,1229,1247,1230,1273,1244
13000,1229,1242,1230,1273,1244
13500,1229,1232,1230,1273,1244
14000,1229,1232,1230,1273,1244
14500,1229,1232,1230,1273,1244
15000,1229,1232,1230,1273,1244
15500,1229,1232,1230,1273,1244
16000,1229,1232,1230,1273,1244
16500,1229,1232,1230,1273,1244
17000,1229,1232,1230,1273,1244
17500,1229,1232,1230,1273,1244
18000,1229,1232,1230,1273,1244
18500,1229,1232,1230,1273,1244
19000,1229,1232,1230,1273,1244
19500,1229,1232,1230,1273,1244
20000,1229,1232,1230,1273,1244
20500,1229,1232,1230,1273,1244
21000,1229,1232,1230,1273,1244
21500,1229,1232,1230,1273,1244
22000,1221,1232,1230,1273,1244
22500,1221,1232,1230,1273,1244
23000,1221,1232,1229,1273,1244
23500,1221,1232,1229,1273,1244
24000,1221,1231,1229,1273,1244
24500,1221,1231,1229,1273,1244
25000,1221,1223,1226,1273,1244
25500,1221,1223,1226,1271,1244
26000,1221,1209,1226,1261,1244
26500,1221,1209,1226,1251,1244
27000,1221,1209,1226,1251,1244
27500,1221,1209,1226,1251,1244
28000,1221,1209,1226,1251,1244
28500,1221,1209,1226,1251,1243
29000,1221,1209,1226,1251,1243
29500,1221,1209,1226,1251,1243
30000,1221,1209,1226,1251,1243
30500,1221,1209,1226,1251,1243
31000,1221,1209,1226,1251,1243
31500,1221,1209,1226,1251,1243
32000,1221,1209,1226,1249,1243
32500,1221,1209,1226,1226,1243
33000,1221,1209,1226,1226,1243
33500,1221,1209,1224,1226,1243
34000,1221,1209,1224,1226,1243
34500,1221,1209,1224,1226,1243
35000,1221,1209,1224,1226,1243
35500,1221,1209,1224,1226,1243
36000,1221,1209,1222,1226,1243
36500,1221,1209,1222,1226,1243
37000,1221,1209,1222,1226,1243
37500,1221,1209,1222,1225,1243
38000,1221,1209,1222,1225,1243
38500,1221,1209,1222,1225,1243
39000,1221,1209,1222,1225,1243
39500,1221,1209,1222,1225,1243
40000,1221,1209,1222,1225,1243
40500,1221,1209,1222,1225,1243
41000,1221,1209,1222,1225,1243
41500,1221,1209,1222,1225,1243
42000,1221,1209,1222,1225,1243
42500,1221,1209,1222,1225,1243
43000,1221,1209,1222,1225,1243
43500,1221,1209,1222,1225,1243
44000,1221,1209,1222,1225,1243
44500,1221,1209,1222,1225,1243
45000,1221,1209,1222,1225,1243
45500,1221,1209,1222,1225,1243
46000,1221,1209,1219,1225,1243
46500,1221,1209,1219,1225,1243
47000,1221,1209,1219,1225,1243
47500,1221,1209,1219,1225,1243
48000,1221,1209,1219,1225,1243
48500,1221,1209,1219,1225,1243
49000,1221,1209,1219,1225,1243
49500,1221,1209,1219,1225,1243
50000,1221,1209,1219,1225,1216
50500,1221,1209,1219,1225,1216
51000,1221,1209,1219,1225,1216
51500,1221,1209,1219,1225,1216
52000,1221,1209,1219,1225,1216
52500,1221,1209,1219,1225,1216
53000,1221,1209,1219,1225,1216
53500,1221,1209,1219,1225,1216
54000,1221,1209,1219,1225,1216
54500,1221,1209,1219,1225,1216
55000,1221,1209,1219,1225,1216
55500,1221,1209,1219,1225,1216
56000,1221,1209,1219,1225,1216
56500,1221,1209,1219,1225,1216
57000,1221,1209,1219,1225,1216
57500,1221,1209,1219,1225,1216
58000,1221,1209,1219,1225,1216
58500,1221,1209,1219,1225,1216
59000,1221,1209,1219,1225,1216
59500,1221,1209,1219,1224,1216
60000,1221,1209,1219,1221,1216
60500,1221,1209,1219,1217,1216
61000,1221,1209,1219,1217,1216
61500,1221,1209,1219,1217,1216
62000,1221,1209,1219,1217,1216
62500,1221,1209,1219,1217,1216
63000,1221,1209,1219,1214,1216
63500,1221,1209,1219,1214,1216
64000,1221,1209,1219,1212,1216
64500,1221,1209,1219,1212,1216
65000,1221,1209,1219,1212,1216
65500,1221,1209,1219,1212,1216
66000,1221,1209,1219,1212,1216
66500,1221,1209,1219,1212,1216
67000,1221,1209,1219,1212,1216
67500,1221,1209,1219,1212,1216
68000,1221,1209,1219,1212,1216
68500,1221,1209,1219,1212,1216
69000,1221,1209,1219,1208,1216
69500,1221,1209,1219,1208,1216
70000,1221,1209,1219,1208,1216
70500,1221,1209,1219,1208,1216
71000,1221,1209,1219,1208,1216
71500,1221,1209,1219,1208,1216
72000,1221,1209,1219,1208,1216
72500,1221,1209,1219,1208,1216
73000,1221,1209,1219,1208,1216
73500,1221,1209,1219,1208,1216
74000,1221,1209,1219,1208,1216
74500,1221,1209,1219,1208,1216
