Selection,T
Cross Over,DPC
Mutation,RM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1454,1417,1436,1459,1467
500,1328,1336,1333,1316,1301
1000,1304,1336,1315,1316,1301
1500,1303,1336,1315,1312,1301
2000,1300,1336,1315,1311,1301
2500,1282,1336,1315,1311,1301
3000,1282,1336,1315,1300,1301
3500,1282,1335,1315,1300,1301
4000,1282,1335,1315,1300,1301
4500,1282,1335,1315,1300,1301
5000,1282,1335,1315,1300,1301
5500,1282,1335,1315,1300,1301
6000,1282,1322,1315,1300,1301
6500,1282,1322,1315,1300,1301
7000,1282,1322,1315,1300,1301
7500,1282,1322,1315,1300,1301
8000,1282,1322,1315,1300,1301
8500,1282,1322,1315,1300,1301
9000,1282,1322,1315,1300,1292
9500,1282,1322,1315,1300,1292
10000,1282,1322,1315,1300,1292
10500,1282,1322,1315,1300,1292
11000,1282,1322,1315,1300,1292
11500,1282,1322,1315,1300,1292
12000,1282,1322,1315,1300,1292
12500,1282,1322,1315,1300,1292
13000,1282,1322,1315,1300,1292
13500,1282,1322,1315,1300,1292
14000,1282,1322,1315,1300,1292
14500,1282,1322,1315,1300,1292
15000,1282,1322,1315,1300,1292
15500,1282,1322,1315,1300,1292
16000,1282,1322,1315,1300,1292
16500,1282,1322,1315,1300,1292
17000,1282,1322,1315,1300,1292
17500,1282,1322,1315,1300,1292
18000,1282,1322,1315,1300,1292
18500,1282,1322,1315,1300,1292
19000,1282,1322,1315,1300,1292
19500,1282,1322,1315,1300,1292
20000,1282,1322,1315,1300,1292
20500,1282,1322,1315,1300,1292
21000,1282,1322,1315,1300,1292
21500,1282,1322,1315,1300,1292
22000,1282,1322,1315,1300,1292
22500,1282,1322,1315,1300,1292
23000,1282,1322,1315,1300,1292
23500,1282,1322,1315,1300,1292
24000,1282,1322,1315,1300,1292
24500,1282,1322,1315,1300,1292
25000,1282,1322,1315,1300,1292
25500,1282,1322,1315,1300,1292
26000,1282,1322,1315,1300,1292
26500,1282,1322,1315,1300,1292
27000,1282,1322,1315,1300,1292
27500,1282,1322,1315,1300,1292
28000,1282,1322,1315,1300,1292
28500,1282,1322,1315,1300,1292
29000,1282,1322,1315,1300,1292
29500,1282,1322,1315,1300,1292
30000,1282,1322,1315,1300,1292
30500,1282,1322,1315,1300,1292
31000,1282,1322,1315,1300,1292
31500,1282,1322,1315,1300,1292
32000,1282,1322,1315,1300,1292
32500,1282,1322,1315,1300,1292
33000,1282,1322,1315,1300,1292
33500,1282,1322,1315,1300,1292
34000,1282,1322,1315,1300,1292
34500,1282,1322,1315,1300,1292
35000,1282,1322,1315,1300,1292
35500,1282,1322,1315,1300,1292
36000,1282,1322,1315,1300,1292
36500,1282,1322,1315,1300,1292
37000,1282,1322,1315,1300,1292
37500,1282,1322,1315,1300,1290
38000,1282,1322,1315,1300,1290
38500,1282,1322,1315,1300,1290
39000,1282,1322,1315,1300,1290
39500,1282,1322,1315,1300,1290
40000,1282,1322,1315,1300,1290
40500,1282,1322,1315,1300,1290
41000,1282,1297,1315,1300,1290
41500,1282,1297,1315,1300,1290
42000,1282,1297,1315,1300,1290
42500,1282,1297,1315,1300,1290
43000,1282,1297,1315,1300,1290
43500,1282,1296,1315,1300,1290
44000,1282,1296,1315,1300,1283
44500,1282,1296,1315,1300,1283
45000,1282,1296,1315,1300,1283
45500,1282,1296,1315,1300,1283
46000,1282,1296,1315,1300,1283
46500,1282,1296,1315,1300,1283
47000,1282,1285,1315,1300,1283
47500,1282,1285,1315,1300,1283
48000,1282,1285,1315,1300,1283
48500,1282,1285,1315,1300,1283
49000,1282,1285,1315,1300,1283
49500,1282,1285,1315,1300,1283
50000,1282,1285,1315,1300,1283
50500,1282,1285,1315,1300,1283
51000,1282,1285,1315,1300,1283
51500,1282,1285,1315,1300,1283
52000,1282,1285,1315,1300,1283
52500,1282,1285,1315,1300,1283
53000,1282,1285,1315,1300,1283
53500,1282,1285,1315,1300,1283
54000,1282,1285,1315,1300,1283
54500,1282,1285,1315,1300,1283
55000,1282,1285,1315,1300,1283
55500,1282,1285,1315,1300,1283
56000,1282,1285,1315,1300,1283
56500,1282,1285,1315,1300,1283
57000,1282,1285,1315,1300,1283
57500,1282,1285,1315,1300,1283
58000,1282,1285,1315,1300,1283
58500,1282,1285,1315,1300,1283
59000,1282,1285,1315,1300,1283
59500,1282,1285,1315,1300,1283
60000,1282,1285,1315,1300,1283
60500,1282,1285,1315,1300,1283
61000,1282,1285,1315,1300,1283
61500,1282,1285,1315,1300,1283
62000,1282,1285,1315,1300,1283
62500,1282,1285,1315,1300,1283
63000,1282,1285,1315,1300,1283
63500,1282,1285,1315,1300,1283
64000,1282,1285,1315,1300,1283
64500,1282,1285,1315,1300,1283
65000,1282,1285,1315,1300,1283
65500,1282,1285,1315,1300,1283
66000,1282,1285,1315,1300,1283
66500,1282,1285,1315,1300,1283
67000,1282,1285,1315,1300,1283
67500,1282,1285,1315,1300,1283
68000,1282,1285,1315,1300,1283
68500,1282,1285,1315,1300,1283
69000,1282,1285,1315,1300,1283
69500,1282,1285,1315,1300,1283
70000,1282,1285,1315,1300,1283
70500,1282,1285,1315,1300,1283
71000,1282,1285,1315,1300,1283
71500,1282,1285,1315,1300,1283
72000,1282,1285,1315,1300,1283
72500,1282,1285,1315,1300,1283
73000,1282,1285,1315,1300,1283
73500,1282,1285,1315,1300,1283
74000,1282,1285,1315,1300,1283
74500,1282,1285,1315,1300,1283
