Selection,T
Cross Over,DPC
Mutation,SM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1453,1438,1443,1401,1426
500,1227,1295,1254,1250,1235
1000,1206,1295,1254,1250,1235
1500,1206,1295,1254,1213,1235
2000,1206,1263,1254,1201,1235
2500,1206,1255,1254,1201,1235
3000,1206,1255,1254,1201,1219
3500,1206,1255,1254,1201,1211
4000,1206,1230,1254,1201,1208
4500,1206,1224,1254,1201,1204
5000,1206,1224,1250,1201,1199
5500,1206,1207,1250,1201,1199
6000,1206,1203,1250,1201,1199
6500,1206,1202,1248,1201,1199
7000,1206,1202,1248,1199,1199
7500,1206,1202,1248,1199,1199
8000,1206,1200,1248,1199,1199
8500,1205,1200,1248,1199,1199
9000,1205,1200,1248,1193,1199
9500,1201,1200,1248,1193,1199
10000,1201,1200,1248,1193,1199
10500,1201,1200,1248,1193,1199
11000,1201,1200,1248,1193,1199
11500,1201,1200,1248,1193,1199
12000,1201,1200,1248,1193,1199
12500,1198,1200,1248,1193,1199
13000,1198,1200,1248,1193,1199
13500,1198,1199,1248,1193,1199
14000,1198,1199,1248,1193,1199
14500,1198,1199,1248,1193,1199
15000,1198,1199,1248,1184,1199
15500,1198,1199,1248,1183,1199
16000,1198,1199,1248,1183,1199
16500,1198,1199,1248,1183,1199
17000,1198,1199,1248,1182,1199
17500,1198,1199,1248,1182,1199
18000,1198,1199,1248,1182,1199
18500,1198,1199,1248,1182,1199
19000,1198,1199,1248,1182,1199
19500,1198,1199,1248,1182,1199
20000,1198,1199,1248,1182,1199
20500,1198,1193,1248,1182,1199
21000,1198,1188,1248,1182,1199
21500,1198,1187,1247,1182,1199
22000,1198,1187,1247,1182,1199
22500,1198,1187,1247,1182,1199
23000,1198,1187,1247,1182,1199
23500,1198,1187,1247,1182,1199
24000,1198,1187,1247,1182,1199
24500,1198,1187,1247,1182,1199
25000,1198,1187,1247,1182,1199
25500,1198,1187,1247,1182,1199
26000,1198,1187,1247,1182,1199
26500,1198,1187,1247,1182,1199
27000,1198,1187,1247,1182,1199
27500,1198,1187,1247,1182,1199
28000,1198,1187,1247,1182,1199
28500,1198,1187,1247,1182,1199
29000,1198,1187,1247,1182,1194
29500,1198,1187,1247,1182,1192
30000,1198,1187,1247,1182,1192
30500,1198,1187,1247,1182,1192
31000,1198,1185,1247,1182,1192
31500,1198,1185,1247,1182,1192
32000,1198,1185,1247,1182,1192
32500,1198,1185,1247,1182,1192
33000,1198,1185,1247,1182,1192
33500,1198,1185,1247,1182,1192
34000,1198,1185,1247,1182,1192
34500,1198,1185,1247,1182,1192
35000,1198,1185,1247,1182,1192
35500,1198,1185,1231,1182,1192
36000,1198,1185,1231,1182,1192
36500,1198,1185,1225,1182,1192
37000,1198,1185,1225,1182,1192
37500,1198,1185,1225,1182,1192
38000,1198,1185,1225,1182,1192
38500,1198,1185,1225,1182,1192
39000,1198,1185,1225,1182,1192
39500,1198,1185,1225,1182,1192
40000,1198,1185,1225,1182,1192
40500,1198,1185,1225,1182,1192
41000,1198,1185,1225,1182,1192
41500,1198,1185,1225,1182,1192
42000,1198,1185,1225,1180,1192
42500,1198,1185,1225,1180,1192
43000,1198,1185,1225,1180,1192
43500,1198,1185,1225,1180,1192
44000,1198,1185,1225,1180,1192
44500,1198,1185,1225,1180,1192
45000,1198,1185,1225,1180,1192
45500,1198,1185,1225,1180,1192
46000,1198,1185,1225,1180,1192
46500,1198,1185,1225,1180,1192
47000,1198,1185,1225,1180,1192
47500,1198,1185,1224,1180,1192
48000,1198,1185,1224,1180,1192
48500,1198,1185,1224,1180,1192
49000,1198,1185,1224,1180,1192
49500,1198,1185,1224,1180,1192
50000,1198,1185,1224,1180,1192
50500,1198,1185,1224,1180,1192
51000,1198,1185,1224,1180,1192
51500,1198,1185,1224,1180,1192
52000,1198,1185,1224,1180,1192
52500,1198,1185,1224,1180,1192
53000,1198,1185,1224,1180,1192
53500,1198,1185,1224,1180,1192
54000,1198,1185,1224,1180,1192
54500,1198,1185,1224,1180,1192
55000,1198,1185,1224,1180,1192
55500,1198,1185,1224,1180,1192
56000,1198,1185,1224,1180,1192
56500,1198,1185,1224,1180,1192
57000,1198,1185,1224,1180,1192
57500,1198,1185,1224,1180,1192
58000,1198,1185,1224,1180,1192
58500,1198,1185,1224,1180,1192
59000,1198,1185,1224,1180,1192
59500,1198,1185,1224,1180,1192
60000,1198,1185,1224,1180,1192
60500,1198,1185,1224,1180,1192
61000,1198,1185,1224,1180,1192
61500,1198,1185,1224,1180,1192
62000,1198,1185,1224,1180,1192
62500,1198,1185,1224,1180,1192
63000,1198,1185,1224,1180,1192
63500,1198,1185,1224,1180,1192
64000,1198,1185,1224,1180,1192
64500,1198,1185,1224,1180,1192
65000,1198,1185,1224,1180,1192
65500,1198,1185,1224,1180,1192
66000,1198,1185,1224,1180,1192
66500,1198,1185,1224,1180,1192
67000,1198,1185,1224,1180,1192
67500,1198,1185,1224,1180,1192
68000,1198,1185,1224,1180,1192
68500,1198,1185,1224,1180,1192
69000,1198,1185,1224,1180,1192
69500,1198,1185,1224,1180,1192
70000,1198,1183,1224,1180,1192
70500,1198,1183,1224,1180,1192
71000,1198,1183,1224,1180,1192
71500,1198,1183,1224,1180,1192
72000,1198,1183,1224,1180,1192
72500,1198,1183,1224,1180,1192
73000,1198,1183,1224,1180,1192
73500,1198,1183,1224,1180,1192
74000,1198,1183,1224,1180,1192
74500,1198,1183,1224,1180,1192
