Selection,T
Cross Over,DPC
Mutation,SPSM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1434,1426,1400,1385,1426
500,1253,1344,1291,1286,1256
1000,1249,1327,1254,1282,1256
1500,1249,1327,1254,1282,1256
2000,1248,1279,1254,1282,1256
2500,1246,1279,1254,1268,1256
3000,1246,1279,1254,1265,1254
3500,1246,1277,1254,1265,1249
4000,1246,1277,1254,1265,1249
4500,1246,1260,1252,1265,1239
5000,1246,1260,1252,1265,1239
5500,1246,1260,1252,1265,1233
6000,1246,1260,1252,1265,1233
6500,1246,1260,1252,1265,1233
7000,1246,1260,1252,1265,1233
7500,1246,1260,1249,1265,1233
8000,1246,1260,1249,1265,1233
8500,1246,1257,1249,1265,1233
9000,1246,1257,1249,1265,1233
9500,1246,1255,1249,1265,1233
10000,1246,1255,1249,1265,1233
10500,1246,1255,1249,1265,1233
11000,1246,1255,1249,1265,1233
11500,1246,1255,1249,1265,1233
12000,1246,1255,1249,1265,1233
12500,1246,1254,1249,1265,1233
13000,1246,1253,1245,1265,1233
13500,1246,1253,1245,1265,1233
14000,1246,1253,1245,1265,1233
14500,1246,1253,1245,1265,1233
15000,1246,1253,1245,1265,1233
15500,1246,1253,1236,1265,1233
16000,1246,1253,1236,1265,1233
16500,1246,1253,1236,1265,1233
17000,1246,1253,1236,1265,1233
17500,1246,1253,1236,1265,1230
18000,1246,1253,1236,1265,1230
18500,1246,1253,1236,1265,1230
19000,1246,1253,1231,1265,1230
19500,1246,1253,1225,1265,1230
20000,1246,1253,1225,1265,1230
20500,1246,1253,1225,1265,1230
21000,1246,1253,1225,1265,1230
21500,1246,1253,1225,1265,1230
22000,1246,1253,1225,1265,1230
22500,1246,1253,1225,1265,1230
23000,1246,1253,1225,1265,1230
23500,1246,1253,1225,1265,1230
24000,1246,1253,1225,1265,1230
24500,1246,1253,1225,1265,1230
25000,1246,1253,1225,1265,1230
25500,1246,1253,1225,1265,1230
26000,1246,1253,1225,1265,1230
26500,1246,1253,1225,1265,1230
27000,1246,1253,1225,1265,1230
27500,1246,1253,1223,1265,1230
28000,1246,1253,1223,1265,1230
28500,1246,1253,1223,1265,1230
29000,1246,1253,1223,1265,1230
29500,1246,1253,1223,1265,1230
30000,1246,1253,1223,1265,1230
30500,1246,1253,1223,1265,1230
31000,1246,1253,1223,1265,1230
31500,1246,1253,1223,1265,1230
32000,1246,1253,1223,1265,1230
32500,1246,1253,1223,1265,1230
33000,1246,1253,1223,1265,1230
33500,1246,1253,1223,1265,1230
34000,1246,1253,1223,1265,1230
34500,1246,1253,1223,1265,1230
35000,1246,1253,1223,1265,1230
35500,1232,1253,1223,1265,1230
36000,1232,1253,1223,1265,1230
36500,1232,1253,1223,1265,1230
37000,1232,1253,1223,1265,1230
37500,1232,1253,1223,1265,1230
38000,1232,1253,1223,1265,1230
38500,1229,1253,1223,1265,1230
39000,1229,1253,1223,1265,1230
39500,1229,1253,1223,1265,1230
40000,1229,1253,1223,1265,1230
40500,1229,1253,1223,1265,1230
41000,1229,1253,1223,1265,1230
41500,1229,1253,1223,1264,1230
42000,1229,1253,1223,1233,1230
42500,1229,1253,1223,1233,1230
43000,1229,1253,1223,1233,1230
43500,1229,1253,1223,1233,1230
44000,1229,1253,1223,1229,1230
44500,1229,1253,1223,1229,1230
45000,1229,1253,1223,1229,1230
45500,1229,1253,1223,1229,1230
46000,1229,1253,1223,1229,1230
46500,1229,1253,1223,1229,1230
47000,1229,1253,1223,1229,1230
47500,1229,1253,1223,1229,1230
48000,1229,1253,1223,1229,1230
48500,1229,1253,1223,1229,1230
49000,1229,1253,1223,1229,1230
49500,1229,1253,1223,1229,1230
50000,1229,1253,1223,1229,1230
50500,1229,1253,1223,1229,1230
51000,1229,1253,1223,1229,1230
51500,1229,1253,1223,1229,1230
52000,1229,1253,1223,1229,1230
52500,1229,1253,1223,1229,1230
53000,1226,1253,1223,1229,1230
53500,1226,1253,1223,1229,1230
54000,1226,1253,1223,1229,1230
54500,1226,1253,1223,1229,1230
55000,1226,1253,1223,1229,1230
55500,1226,1253,1223,1229,1230
56000,1226,1253,1223,1229,1230
56500,1226,1253,1223,1226,1230
57000,1226,1253,1223,1226,1230
57500,1226,1253,1223,1226,1230
58000,1226,1253,1223,1226,1230
58500,1226,1253,1223,1226,1230
59000,1226,1253,1223,1226,1230
59500,1226,1253,1223,1226,1230
60000,1226,1253,1223,1226,1230
60500,1226,1253,1223,1226,1230
61000,1226,1253,1223,1226,1230
61500,1226,1253,1223,1224,1230
62000,1226,1253,1223,1224,1230
62500,1226,1253,1223,1224,1228
63000,1226,1253,1223,1224,1228
63500,1226,1253,1223,1224,1228
64000,1226,1253,1223,1224,1228
64500,1226,1253,1223,1224,1228
65000,1226,1253,1223,1224,1228
65500,1226,1253,1223,1224,1228
66000,1226,1253,1223,1224,1228
66500,1226,1253,1223,1224,1228
67000,1226,1253,1223,1224,1228
67500,1226,1253,1223,1224,1228
68000,1226,1253,1223,1224,1228
68500,1226,1253,1223,1224,1228
69000,1226,1253,1223,1224,1228
69500,1226,1253,1223,1224,1228
70000,1226,1253,1223,1224,1228
70500,1226,1253,1223,1224,1228
71000,1226,1253,1223,1224,1228
71500,1226,1253,1223,1224,1228
72000,1226,1253,1223,1224,1228
72500,1226,1253,1223,1224,1228
73000,1226,1253,1223,1224,1228
73500,1226,1253,1223,1224,1228
74000,1226,1253,1223,1224,1228
74500,1226,1253,1223,1224,1228
