Selection,T
Cross Over,OC
Mutation,DPSM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1365,1389,1445,1399,1419
500,1243,1244,1256,1272,1255
1000,1243,1241,1256,1272,1249
1500,1243,1241,1256,1261,1249
2000,1243,1241,1256,1259,1249
2500,1243,1235,1256,1249,1247
3000,1243,1235,1256,1249,1247
3500,1243,1235,1256,1249,1247
4000,1243,1235,1256,1249,1247
4500,1243,1235,1256,1249,1247
5000,1243,1235,1256,1226,1247
5500,1243,1235,1256,1225,1247
6000,1243,1235,1256,1225,1247
6500,1243,1235,1256,1225,1247
7000,1243,1235,1256,1225,1247
7500,1243,1235,1256,1225,1247
8000,1243,1235,1256,1225,1247
8500,1243,1235,1256,1225,1247
9000,1243,1235,1256,1225,1247
9500,1243,1235,1256,1225,1247
10000,1243,1235,1256,1225,1247
10500,1243,1235,1256,1225,1247
11000,1243,1235,1256,1225,1247
11500,1243,1235,1256,1225,1247
12000,1243,1235,1256,1225,1240
12500,1243,1235,1256,1225,1238
13000,1243,1235,1256,1225,1238
13500,1243,1235,1256,1225,1238
14000,1243,1235,1256,1225,1238
14500,1243,1227,1256,1225,1238
15000,1243,1222,1256,1225,1238
15500,1243,1222,1256,1225,1238
16000,1243,1222,1256,1225,1238
16500,1243,1222,1256,1225,1238
17000,1243,1222,1256,1225,1238
17500,1243,1222,1256,1225,1238
18000,1243,1222,1256,1225,1238
18500,1243,1222,1256,1225,1238
19000,1243,1222,1256,1225,1238
19500,1243,1222,1256,1225,1238
20000,1243,1222,1256,1225,1230
20500,1243,1222,1256,1225,1230
21000,1243,1222,1256,1225,1230
21500,1243,1222,1256,1225,1230
22000,1243,1222,1256,1225,1230
22500,1243,1222,1256,1225,1230
23000,1243,1222,1256,1225,1230
23500,1243,1222,1256,1225,1230
24000,1243,1222,1256,1225,1230
24500,1243,1222,1256,1225,1230
25000,1243,1222,1256,1225,1230
25500,1243,1222,1256,1225,1230
26000,1243,1222,1256,1225,1230
26500,1243,1222,1256,1225,1230
27000,1243,1222,1256,1225,1230
27500,1243,1222,1256,1225,1230
28000,1243,1222,1256,1225,1230
28500,1243,1222,1256,1225,1230
29000,1243,1222,1256,1225,1230
29500,1243,1222,1256,1225,1230
30000,1243,1222,1256,1225,1230
30500,1243,1222,1256,1225,1230
31000,1243,1222,1256,1225,1230
31500,1243,1222,1256,1225,1230
32000,1243,1222,1256,1225,1230
32500,1243,1222,1256,1225,1230
33000,1243,1222,1256,1225,1230
33500,1243,1222,1256,1225,1230
34000,1243,1222,1256,1225,1230
34500,1243,1222,1256,1225,1230
35000,1243,1222,1256,1225,1230
35500,1243,1222,1256,1225,1230
36000,1243,1222,1232,1225,1230
36500,1243,1222,1232,1225,1230
37000,1243,1222,1232,1225,1230
37500,1243,1222,1232,1225,1230
38000,1243,1222,1232,1225,1230
38500,1243,1222,1232,1225,1230
39000,1243,1222,1232,1225,1230
39500,1243,1222,1232,1225,1230
40000,1243,1222,1232,1225,1230
40500,1243,1222,1232,1225,1230
41000,1243,1222,1232,1225,1230
41500,1243,1222,1232,1225,1230
42000,1243,1222,1232,1225,1230
42500,1243,1222,1232,1225,1230
43000,1243,1222,1232,1225,1230
43500,1243,1222,1232,1225,1230
44000,1243,1222,1232,1225,1230
44500,1243,1222,1232,1225,1230
45000,1243,1222,1232,1225,1230
45500,1243,1222,1232,1225,1230
46000,1243,1222,1232,1225,1230
46500,1243,1222,1232,1225,1230
47000,1243,1222,1232,1225,1230
47500,1243,1222,1232,1225,1230
48000,1243,1222,1232,1225,1230
48500,1243,1222,1232,1225,1230
49000,1243,1222,1232,1225,1230
49500,1243,1222,1232,1225,1230
50000,1243,1222,1232,1225,1230
50500,1243,1222,1232,1220,1230
51000,1243,1222,1232,1220,1230
51500,1243,1222,1232,1216,1230
52000,1243,1222,1232,1216,1230
52500,1243,1222,1232,1216,1230
53000,1243,1222,1232,1215,1230
53500,1243,1222,1232,1215,1230
54000,1243,1222,1232,1215,1230
54500,1243,1222,1232,1215,1230
55000,1243,1222,1232,1215,1230
55500,1243,1222,1232,1215,1230
56000,1243,1222,1232,1215,1229
56500,1243,1222,1232,1215,1229
57000,1243,1222,1232,1215,1229
57500,1243,1222,1232,1215,1229
58000,1243,1222,1232,1215,1229
58500,1243,1222,1232,1215,1229
59000,1243,1222,1232,1215,1229
59500,1243,1222,1232,1215,1229
60000,1243,1222,1232,1215,1229
60500,1243,1222,1232,1215,1229
61000,1243,1222,1232,1215,1229
61500,1243,1222,1232,1215,1229
62000,1243,1222,1232,1215,1229
62500,1243,1222,1232,1215,1229
63000,1243,1222,1232,1215,1229
63500,1243,1222,1232,1215,1229
64000,1243,1222,1232,1215,1229
64500,1243,1222,1232,1215,1229
65000,1243,1222,1232,1215,1229
65500,1243,1222,1232,1215,1229
66000,1243,1222,1232,1215,1229
66500,1243,1222,1232,1215,1229
67000,1243,1222,1232,1215,1229
67500,1243,1222,1232,1215,1229
68000,1243,1222,1232,1215,1229
68500,1243,1222,1232,1215,1229
69000,1243,1222,1232,1215,1229
69500,1243,1222,1232,1215,1229
70000,1243,1222,1232,1215,1229
70500,1243,1222,1232,1215,1229
71000,1243,1222,1232,1215,1229
71500,1243,1222,1232,1215,1229
72000,1243,1222,1232,1215,1229
72500,1243,1222,1232,1215,1229
73000,1243,1222,1232,1215,1229
73500,1243,1222,1232,1215,1229
74000,1243,1222,1232,1215,1229
74500,1243,1222,1232,1215,1229
