Selection,T
Cross Over,OC
Mutation,IM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1403,1382,1453,1348,1462
500,1316,1283,1291,1238,1286
1000,1316,1270,1291,1238,1281
1500,1312,1270,1291,1238,1281
2000,1296,1270,1289,1238,1281
2500,1288,1270,1289,1238,1263
3000,1264,1270,1280,1238,1263
3500,1264,1270,1280,1238,1263
4000,1252,1270,1280,1238,1263
4500,1252,1270,1280,1238,1263
5000,1252,1270,1280,1238,1263
5500,1252,1270,1280,1221,1259
6000,1252,1270,1280,1221,1248
6500,1252,1270,1280,1221,1248
7000,1252,1270,1280,1221,1248
7500,1252,1270,1280,1221,1248
8000,1252,1270,1280,1221,1248
8500,1252,1270,1280,1221,1243
9000,1252,1270,1280,1221,1243
9500,1252,1270,1280,1221,1243
10000,1252,1270,1280,1221,1243
10500,1252,1270,1280,1221,1243
11000,1252,1270,1280,1221,1243
11500,1252,1270,1280,1221,1243
12000,1252,1270,1280,1221,1243
12500,1252,1270,1280,1221,1243
13000,1252,1270,1280,1221,1243
13500,1252,1270,1280,1221,1243
14000,1252,1270,1280,1221,1243
14500,1252,1270,1280,1221,1243
15000,1252,1270,1280,1221,1243
15500,1252,1270,1280,1221,1243
16000,1252,1270,1280,1221,1243
16500,1252,1270,1280,1221,1243
17000,1252,1270,1280,1221,1243
17500,1252,1270,1280,1221,1243
18000,1252,1270,1280,1221,1243
18500,1252,1270,1280,1216,1243
19000,1252,1270,1280,1208,1243
19500,1252,1270,1280,1208,1243
20000,1243,1270,1280,1208,1243
20500,1243,1270,1280,1208,1243
21000,1243,1270,1280,1208,1243
21500,1242,1270,1280,1208,1243
22000,1242,1270,1280,1208,1243
22500,1242,1270,1280,1208,1243
23000,1242,1270,1280,1208,1243
23500,1242,1270,1280,1208,1243
24000,1242,1270,1280,1208,1243
24500,1242,1270,1280,1208,1243
25000,1242,1270,1280,1208,1243
25500,1242,1270,1280,1208,1243
26000,1242,1270,1280,1208,1243
26500,1242,1270,1280,1208,1243
27000,1242,1270,1280,1208,1243
27500,1242,1270,1280,1208,1243
28000,1242,1270,1280,1208,1243
28500,1242,1270,1280,1208,1243
29000,1242,1270,1280,1208,1243
29500,1242,1270,1280,1208,1243
30000,1242,1270,1280,1208,1243
30500,1242,1270,1280,1208,1243
31000,1242,1270,1280,1208,1243
31500,1242,1270,1280,1208,1243
32000,1242,1270,1280,1208,1243
32500,1242,1270,1280,1208,1243
33000,1242,1270,1280,1208,1243
33500,1242,1270,1280,1208,1243
34000,1242,1270,1280,1208,1243
34500,1242,1270,1280,1208,1243
35000,1242,1270,1280,1208,1243
35500,1242,1270,1280,1208,1243
36000,1242,1270,1280,1208,1243
36500,1242,1270,1280,1208,1243
37000,1242,1270,1280,1208,1243
37500,1242,1270,1280,1208,1243
38000,1242,1270,1280,1208,1243
38500,1242,1270,1280,1208,1243
39000,1242,1270,1280,1208,1243
39500,1242,1270,1280,1208,1243
40000,1242,1270,1280,1208,1243
40500,1242,1270,1280,1208,1243
41000,1242,1270,1280,1208,1243
41500,1242,1270,1280,1208,1243
42000,1242,1270,1280,1208,1243
42500,1242,1270,1280,1208,1243
43000,1242,1270,1280,1208,1243
43500,1242,1270,1280,1208,1243
44000,1242,1270,1280,1208,1243
44500,1242,1270,1280,1208,1243
45000,1242,1270,1280,1208,1243
45500,1242,1270,1280,1208,1243
46000,1242,1270,1280,1208,1243
46500,1242,1270,1280,1208,1243
47000,1242,1270,1280,1208,1243
47500,1242,1270,1280,1208,1243
48000,1242,1270,1280,1208,1243
48500,1242,1270,1280,1208,1243
49000,1242,1270,1280,1208,1243
49500,1242,1270,1280,1208,1234
50000,1242,1270,1280,1208,1234
50500,1242,1270,1280,1208,1234
51000,1242,1270,1280,1208,1234
51500,1242,1270,1280,1208,1234
52000,1242,1270,1280,1208,1234
52500,1242,1270,1280,1208,1234
53000,1242,1270,1280,1208,1234
53500,1242,1270,1280,1208,1234
54000,1242,1270,1280,1208,1234
54500,1242,1270,1280,1208,1234
55000,1242,1270,1280,1208,1234
55500,1242,1270,1280,1208,1234
56000,1242,1270,1280,1208,1234
56500,1242,1270,1280,1208,1234
57000,1242,1270,1280,1208,1234
57500,1242,1270,1280,1208,1234
58000,1242,1270,1280,1208,1234
58500,1242,1270,1280,1208,1234
59000,1242,1270,1280,1208,1234
59500,1242,1270,1280,1208,1234
60000,1242,1270,1280,1208,1234
60500,1242,1270,1280,1208,1234
61000,1242,1270,1279,1208,1234
61500,1242,1270,1279,1208,1234
62000,1242,1270,1279,1208,1234
62500,1242,1270,1279,1208,1234
63000,1242,1270,1279,1208,1234
63500,1242,1270,1279,1208,1234
64000,1242,1270,1279,1208,1234
64500,1242,1270,1279,1208,1234
65000,1242,1270,1270,1208,1234
65500,1242,1270,1270,1208,1234
66000,1242,1270,1270,1208,1234
66500,1242,1270,1270,1208,1234
67000,1242,1270,1270,1208,1234
67500,1242,1270,1270,1208,1234
68000,1242,1270,1265,1208,1234
68500,1242,1270,1265,1208,1234
69000,1242,1270,1265,1208,1234
69500,1242,1270,1265,1208,1234
70000,1242,1270,1265,1208,1234
70500,1242,1270,1265,1208,1234
71000,1242,1270,1265,1208,1234
71500,1242,1270,1265,1208,1234
72000,1242,1270,1265,1208,1234
72500,1242,1270,1265,1208,1234
73000,1242,1270,1265,1208,1234
73500,1242,1270,1265,1208,1234
74000,1242,1270,1265,1208,1234
74500,1242,1270,1265,1208,1234
