Selection,T
Cross Over,OC
Mutation,RM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1442,1438,1456,1384,1465
500,1325,1282,1342,1339,1342
1000,1325,1282,1259,1339,1342
1500,1325,1280,1259,1317,1342
2000,1325,1274,1259,1302,1342
2500,1291,1243,1255,1280,1342
3000,1291,1243,1254,1280,1342
3500,1291,1243,1239,1280,1342
4000,1291,1243,1239,1280,1342
4500,1286,1243,1239,1280,1342
5000,1278,1243,1239,1280,1342
5500,1268,1243,1239,1280,1342
6000,1265,1243,1239,1280,1342
6500,1265,1243,1239,1280,1342
7000,1265,1243,1239,1280,1342
7500,1265,1243,1239,1280,1342
8000,1265,1243,1239,1280,1342
8500,1265,1243,1239,1280,1342
9000,1265,1243,1239,1280,1342
9500,1265,1243,1239,1280,1342
10000,1265,1243,1239,1280,1342
10500,1265,1243,1234,1280,1342
11000,1264,1243,1234,1280,1342
11500,1264,1243,1234,1280,1342
12000,1264,1243,1234,1280,1342
12500,1264,1243,1234,1280,1342
13000,1264,1243,1231,1280,1342
13500,1264,1243,1230,1280,1342
14000,1264,1243,1230,1280,1342
14500,1264,1243,1227,1280,1342
15000,1264,1243,1227,1280,1342
15500,1264,1243,1227,1280,1342
16000,1264,1243,1227,1280,1342
16500,1264,1243,1227,1280,1342
17000,1264,1243,1227,1280,1342
17500,1264,1243,1227,1280,1342
18000,1264,1243,1227,1280,1342
18500,1264,1243,1227,1280,1342
19000,1264,1243,1227,1280,1342
19500,1264,1243,1227,1280,1342
20000,1264,1243,1227,1280,1342
20500,1264,1243,1227,1280,1342
21000,1263,1243,1227,1280,1342
21500,1263,1243,1227,1280,1342
22000,1263,1243,1227,1280,1342
22500,1263,1243,1227,1280,1342
23000,1263,1243,1227,1280,1342
23500,1263,1243,1227,1280,1342
24000,1263,1243,1227,1280,1342
24500,1263,1243,1227,1280,1342
25000,1263,1243,1227,1280,1342
25500,1263,1243,1227,1280,1342
26000,1263,1243,1227,1280,1342
26500,1263,1243,1227,1280,1342
27000,1263,1243,1227,1280,1342
27500,1263,1243,1227,1280,1342
28000,1263,1243,1227,1280,1342
28500,1263,1243,1227,1280,1342
29000,1263,1243,1227,1280,1342
29500,1263,1243,1227,1280,1342
30000,1263,1243,1227,1280,1342
30500,1263,1243,1227,1280,1342
31000,1263,1243,1227,1280,1342
31500,1263,1243,1227,1280,1342
32000,1263,1243,1227,1280,1342
32500,1263,1243,1227,1280,1342
33000,1263,1243,1227,1280,1342
33500,1263,1243,1227,1280,1342
34000,1263,1243,1227,1280,1342
34500,1263,1243,1227,1280,1342
35000,1263,1243,1227,1280,1342
35500,1263,1243,1227,1280,1342
36000,1263,1243,1227,1280,1342
36500,1263,1243,1227,1280,1342
37000,1263,1243,1227,1280,1342
37500,1263,1232,1227,1280,1342
38000,1263,1232,1227,1280,1342
38500,1263,1232,1227,1280,1342
39000,1263,1232,1227,1280,1342
39500,1263,1232,1227,1280,1342
40000,1263,1232,1227,1280,1342
40500,1263,1232,1226,1280,1342
41000,1263,1232,1226,1280,1342
41500,1263,1232,1226,1262,1342
42000,1263,1232,1226,1262,1342
42500,1263,1232,1226,1262,1342
43000,1263,1232,1226,1262,1342
43500,1263,1232,1226,1262,1342
44000,1263,1232,1226,1262,1342
44500,1263,1232,1226,1262,1342
45000,1263,1232,1226,1262,1342
45500,1263,1232,1226,1262,1342
46000,1263,1232,1226,1262,1342
46500,1263,1232,1226,1262,1342
47000,1263,1232,1226,1262,1342
47500,1263,1232,1226,1262,1342
48000,1263,1232,1226,1262,1342
48500,1263,1232,1226,1262,1342
49000,1263,1229,1226,1262,1342
49500,1263,1229,1226,1262,1328
50000,1263,1229,1226,1262,1320
50500,1263,1229,1226,1262,1320
51000,1263,1229,1226,1262,1318
51500,1263,1229,1226,1262,1318
52000,1263,1226,1226,1262,1318
52500,1263,1226,1226,1262,1318
53000,1263,1226,1226,1262,1318
53500,1263,1226,1226,1262,1318
54000,1263,1226,1226,1262,1318
54500,1263,1226,1226,1262,1318
55000,1263,1226,1226,1262,1318
55500,1263,1226,1226,1262,1318
56000,1263,1226,1226,1262,1318
56500,1263,1226,1226,1262,1318
57000,1263,1226,1226,1262,1318
57500,1263,1226,1226,1262,1318
58000,1263,1226,1226,1262,1315
58500,1263,1223,1226,1262,1315
59000,1263,1223,1226,1262,1315
59500,1263,1223,1226,1262,1315
60000,1263,1223,1226,1262,1315
60500,1263,1223,1226,1262,1315
61000,1263,1223,1226,1262,1315
61500,1263,1223,1224,1262,1315
62000,1263,1223,1224,1262,1315
62500,1263,1223,1224,1262,1315
63000,1263,1223,1224,1262,1315
63500,1263,1223,1224,1262,1315
64000,1263,1223,1224,1262,1315
64500,1263,1223,1224,1262,1315
65000,1263,1223,1224,1262,1315
65500,1263,1223,1224,1262,1309
66000,1263,1223,1224,1262,1309
66500,1263,1223,1224,1262,1309
67000,1263,1223,1224,1262,1309
67500,1263,1223,1224,1262,1309
68000,1263,1223,1224,1262,1309
68500,1263,1223,1224,1262,1309
69000,1263,1223,1223,1262,1309
69500,1263,1223,1223,1262,1309
70000,1263,1223,1223,1262,1309
70500,1263,1223,1223,1262,1309
71000,1263,1223,1223,1262,1309
71500,1263,1223,1223,1262,1309
72000,1263,1223,1223,1262,1309
72500,1263,1223,1223,1262,1309
73000,1263,1223,1223,1262,1309
73500,1263,1223,1223,1262,1309
74000,1263,1223,1223,1262,1309
74500,1263,1223,1223,1262,1309
