Selection,T,,,,
Cross Over,OC,,,,
Mutation,SM,,,,
Cross Over Rate,1,,,,
Mutation Rate,1,,,,
Population Size,24,,,,
Generation Size,75000,,,,
Number Of Runs,5,,,,
,,,,,
,,,,,
,,,,,
Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1386,1459,1429,1358,1416
500,1247,1242,1280,1262,1258
1000,1225,1236,1223,1260,1244
1500,1225,1236,1211,1260,1244
2000,1225,1236,1211,1260,1244
2500,1225,1223,1211,1260,1223
3000,1225,1223,1211,1260,1223
3500,1225,1223,1211,1260,1206
4000,1225,1223,1211,1260,1206
4500,1225,1223,1211,1260,1197
5000,1225,1223,1211,1239,1197
5500,1225,1223,1211,1235,1197
6000,1218,1223,1211,1235,1197
6500,1218,1223,1211,1234,1197
7000,1218,1223,1211,1234,1197
7500,1218,1223,1211,1220,1197
8000,1218,1223,1211,1220,1197
8500,1218,1223,1211,1220,1197
9000,1218,1223,1211,1220,1197
9500,1218,1223,1211,1220,1197
10000,1218,1223,1211,1220,1190
10500,1218,1223,1211,1220,1190
11000,1218,1222,1211,1220,1190
11500,1209,1222,1211,1220,1190
12000,1209,1222,1211,1220,1190
12500,1209,1222,1211,1220,1190
13000,1209,1222,1211,1220,1190
13500,1205,1222,1211,1220,1190
14000,1205,1222,1211,1220,1190
14500,1190,1209,1211,1220,1190
15000,1190,1202,1211,1220,1190
15500,1190,1202,1211,1220,1190
16000,1190,1202,1211,1220,1190
16500,1190,1202,1211,1220,1190
17000,1190,1202,1211,1220,1190
17500,1190,1202,1211,1211,1190
18000,1190,1202,1211,1206,1190
18500,1190,1202,1211,1206,1190
19000,1187,1202,1211,1206,1190
19500,1187,1202,1211,1206,1190
20000,1182,1202,1211,1206,1190
20500,1182,1190,1211,1206,1190
21000,1182,1190,1211,1206,1190
21500,1182,1190,1211,1206,1190
22000,1182,1190,1211,1206,1190
22500,1177,1190,1211,1206,1190
23000,1177,1190,1211,1206,1190
23500,1177,1190,1211,1204,1190
24000,1177,1190,1211,1204,1190
24500,1177,1190,1211,1204,1190
25000,1177,1190,1211,1204,1190
25500,1177,1190,1211,1204,1190
26000,1177,1190,1211,1204,1190
26500,1177,1190,1211,1204,1190
27000,1177,1190,1211,1204,1190
27500,1177,1190,1211,1204,1190
28000,1177,1190,1211,1204,1190
28500,1177,1190,1211,1204,1190
29000,1177,1190,1211,1204,1190
29500,1177,1190,1211,1204,1190
30000,1177,1190,1211,1204,1190
30500,1177,1190,1211,1204,1190
31000,1177,1190,1211,1204,1190
31500,1177,1190,1211,1204,1190
32000,1177,1190,1211,1203,1190
32500,1177,1190,1211,1203,1190
33000,1177,1190,1211,1200,1190
33500,1177,1190,1211,1199,1190
34000,1177,1190,1211,1199,1190
34500,1177,1190,1211,1199,1190
35000,1177,1190,1211,1199,1190
35500,1177,1190,1211,1199,1190
36000,1177,1190,1211,1199,1190
36500,1177,1190,1211,1199,1190
37000,1177,1190,1211,1199,1190
37500,1177,1190,1211,1199,1190
38000,1177,1190,1211,1199,1190
38500,1177,1190,1210,1199,1190
39000,1177,1190,1209,1199,1190
39500,1177,1190,1209,1199,1190
40000,1177,1190,1209,1199,1190
40500,1177,1190,1209,1199,1190
41000,1177,1190,1209,1199,1190
41500,1177,1190,1209,1192,1190
42000,1177,1190,1209,1192,1190
42500,1177,1190,1209,1192,1190
43000,1177,1190,1209,1192,1190
43500,1177,1190,1209,1192,1190
44000,1177,1190,1209,1192,1190
44500,1177,1190,1209,1187,1190
45000,1177,1190,1209,1187,1190
45500,1177,1189,1209,1187,1190
46000,1177,1189,1209,1187,1190
46500,1177,1188,1209,1187,1190
47000,1177,1188,1209,1187,1190
47500,1177,1185,1209,1187,1190
48000,1177,1185,1209,1187,1190
48500,1177,1185,1209,1185,1190
49000,1177,1185,1209,1185,1190
49500,1177,1185,1209,1185,1190
50000,1177,1185,1209,1185,1190
50500,1177,1185,1209,1185,1190
51000,1177,1185,1209,1184,1190
51500,1177,1185,1209,1184,1190
52000,1177,1185,1209,1184,1190
52500,1177,1185,1209,1184,1190
53000,1177,1180,1209,1179,1190
53500,1177,1180,1209,1179,1190
54000,1177,1180,1209,1179,1190
54500,1177,1180,1209,1179,1190
55000,1177,1180,1209,1179,1190
55500,1177,1180,1209,1179,1190
56000,1177,1180,1209,1179,1190
56500,1177,1180,1209,1179,1190
57000,1176,1180,1209,1179,1190
57500,1176,1180,1209,1179,1190
58000,1176,1180,1209,1179,1190
58500,1176,1180,1209,1179,1190
59000,1174,1180,1209,1179,1190
59500,1174,1180,1209,1179,1190
60000,1174,1180,1209,1179,1190
60500,1174,1180,1209,1179,1190
61000,1174,1180,1209,1179,1190
61500,1174,1180,1209,1179,1190
62000,1174,1180,1209,1179,1190
62500,1174,1180,1209,1179,1190
63000,1174,1180,1209,1179,1190
63500,1174,1180,1209,1179,1190
64000,1174,1180,1209,1179,1190
64500,1174,1180,1209,1179,1190
65000,1174,1180,1209,1179,1190
65500,1174,1180,1209,1179,1190
66000,1174,1180,1209,1179,1190
66500,1174,1180,1209,1179,1190
67000,1174,1180,1209,1179,1190
67500,1174,1180,1209,1179,1190
