Selection,T
Cross Over,OC
Mutation,SPSM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1424,1434,1375,1412,1405
500,1302,1251,1282,1246,1296
1000,1298,1251,1255,1236,1280
1500,1297,1241,1243,1236,1280
2000,1269,1238,1243,1236,1280
2500,1267,1238,1243,1235,1280
3000,1267,1227,1243,1235,1280
3500,1267,1215,1243,1216,1260
4000,1266,1213,1243,1213,1260
4500,1240,1202,1243,1213,1260
5000,1231,1201,1243,1213,1260
5500,1231,1201,1243,1213,1260
6000,1231,1195,1243,1213,1260
6500,1231,1195,1243,1213,1260
7000,1231,1195,1243,1213,1260
7500,1231,1195,1243,1213,1260
8000,1231,1195,1243,1213,1260
8500,1231,1195,1243,1213,1260
9000,1231,1195,1243,1213,1260
9500,1231,1195,1243,1213,1260
10000,1231,1195,1243,1213,1260
10500,1231,1195,1243,1213,1260
11000,1231,1195,1243,1213,1260
11500,1231,1195,1243,1213,1260
12000,1231,1195,1243,1213,1260
12500,1231,1195,1243,1213,1260
13000,1231,1195,1243,1213,1260
13500,1231,1195,1243,1213,1260
14000,1231,1195,1242,1213,1260
14500,1231,1195,1242,1213,1260
15000,1231,1195,1242,1213,1260
15500,1231,1195,1242,1213,1260
16000,1231,1195,1242,1213,1260
16500,1231,1195,1242,1213,1260
17000,1231,1195,1242,1213,1260
17500,1231,1195,1242,1213,1260
18000,1231,1195,1242,1213,1260
18500,1231,1195,1242,1213,1260
19000,1231,1195,1242,1213,1260
19500,1231,1195,1242,1213,1260
20000,1231,1195,1242,1213,1260
20500,1231,1195,1242,1213,1260
21000,1231,1195,1242,1213,1246
21500,1231,1195,1242,1213,1246
22000,1231,1195,1242,1213,1246
22500,1231,1195,1242,1213,1246
23000,1223,1195,1242,1213,1246
23500,1223,1195,1242,1213,1246
24000,1223,1195,1242,1213,1241
24500,1223,1195,1242,1213,1241
25000,1223,1195,1242,1213,1241
25500,1223,1195,1242,1213,1241
26000,1223,1195,1242,1213,1241
26500,1223,1195,1242,1213,1241
27000,1223,1195,1242,1213,1241
27500,1223,1195,1242,1213,1241
28000,1223,1195,1242,1213,1241
28500,1223,1195,1242,1213,1241
29000,1223,1195,1242,1213,1241
29500,1223,1195,1242,1213,1241
30000,1223,1195,1242,1213,1241
30500,1223,1195,1242,1213,1241
31000,1223,1195,1242,1213,1241
31500,1223,1195,1242,1213,1241
32000,1223,1195,1242,1213,1241
32500,1223,1195,1242,1213,1241
33000,1223,1195,1240,1213,1241
33500,1223,1195,1240,1213,1241
34000,1223,1195,1240,1213,1241
34500,1223,1195,1238,1213,1241
35000,1223,1195,1237,1213,1241
35500,1223,1195,1237,1213,1241
36000,1223,1195,1237,1213,1241
36500,1223,1195,1234,1213,1241
37000,1223,1195,1234,1213,1241
37500,1223,1195,1234,1213,1241
38000,1223,1195,1234,1213,1241
38500,1223,1195,1234,1213,1241
39000,1223,1195,1234,1213,1241
39500,1223,1195,1234,1213,1241
40000,1223,1195,1234,1213,1241
40500,1223,1195,1234,1213,1241
41000,1223,1195,1234,1213,1241
41500,1223,1195,1234,1213,1241
42000,1223,1195,1234,1213,1241
42500,1223,1195,1234,1213,1241
43000,1223,1195,1234,1213,1241
43500,1223,1195,1234,1213,1241
44000,1223,1195,1234,1213,1241
44500,1223,1195,1234,1213,1241
45000,1223,1195,1234,1213,1241
45500,1223,1195,1234,1213,1241
46000,1223,1195,1234,1213,1241
46500,1223,1195,1234,1213,1241
47000,1223,1195,1234,1213,1241
47500,1223,1195,1234,1213,1241
48000,1223,1195,1234,1213,1241
48500,1223,1195,1234,1213,1241
49000,1223,1195,1234,1213,1241
49500,1223,1195,1234,1213,1241
50000,1223,1195,1234,1213,1241
50500,1223,1195,1234,1213,1241
51000,1223,1195,1234,1213,1241
51500,1223,1195,1234,1213,1241
52000,1223,1195,1234,1213,1241
52500,1223,1195,1234,1213,1241
53000,1223,1195,1234,1213,1241
53500,1223,1195,1234,1213,1241
54000,1223,1195,1234,1213,1241
54500,1223,1194,1234,1213,1241
55000,1223,1194,1234,1213,1241
55500,1223,1194,1234,1213,1241
56000,1223,1194,1234,1213,1241
56500,1223,1194,1234,1213,1241
57000,1223,1194,1234,1213,1241
57500,1223,1194,1234,1213,1241
58000,1223,1194,1234,1213,1241
58500,1223,1194,1234,1213,1241
59000,1223,1194,1234,1213,1241
59500,1223,1194,1234,1213,1241
60000,1223,1194,1234,1213,1241
60500,1223,1194,1234,1213,1241
61000,1223,1194,1234,1213,1241
61500,1223,1194,1234,1213,1241
62000,1223,1194,1234,1213,1241
62500,1223,1194,1234,1213,1241
63000,1223,1194,1234,1213,1241
63500,1223,1194,1234,1213,1241
64000,1223,1194,1234,1213,1241
64500,1223,1194,1234,1213,1241
65000,1223,1194,1234,1213,1241
65500,1223,1194,1234,1213,1241
66000,1223,1194,1234,1213,1241
66500,1223,1194,1234,1213,1241
67000,1223,1194,1234,1213,1241
67500,1223,1194,1234,1213,1241
68000,1223,1194,1234,1213,1241
68500,1223,1194,1234,1213,1241
69000,1223,1194,1234,1213,1241
69500,1223,1194,1234,1213,1241
70000,1223,1194,1234,1213,1241
70500,1223,1194,1234,1213,1241
71000,1223,1194,1234,1213,1241
71500,1223,1194,1234,1213,1241
72000,1223,1194,1234,1213,1241
72500,1223,1194,1234,1213,1241
73000,1223,1194,1234,1213,1241
73500,1223,1194,1234,1213,1241
74000,1223,1194,1234,1213,1241
74500,1223,1194,1234,1213,1241
