Selection,T
Cross Over,RIC
Mutation,DPSM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1429,1440,1421,1470,1428
500,1367,1342,1366,1355,1353
1000,1366,1342,1359,1355,1353
1500,1366,1342,1359,1355,1353
2000,1366,1342,1359,1355,1353
2500,1359,1342,1356,1355,1345
3000,1359,1342,1356,1355,1340
3500,1359,1342,1351,1355,1340
4000,1359,1342,1348,1355,1340
4500,1358,1342,1348,1355,1340
5000,1353,1342,1348,1355,1340
5500,1349,1342,1348,1355,1340
6000,1349,1342,1348,1355,1340
6500,1349,1342,1348,1355,1340
7000,1349,1342,1348,1355,1340
7500,1349,1342,1348,1351,1340
8000,1349,1342,1348,1351,1340
8500,1349,1342,1348,1351,1340
9000,1349,1342,1348,1351,1333
9500,1349,1342,1348,1351,1333
10000,1349,1342,1341,1351,1333
10500,1349,1342,1341,1351,1333
11000,1349,1342,1341,1351,1333
11500,1334,1342,1341,1351,1333
12000,1334,1342,1341,1351,1333
12500,1334,1342,1341,1351,1333
13000,1334,1342,1341,1351,1330
13500,1334,1342,1341,1345,1330
14000,1334,1342,1341,1345,1330
14500,1334,1335,1341,1310,1330
15000,1334,1335,1341,1310,1330
15500,1334,1335,1341,1310,1330
16000,1334,1335,1341,1310,1330
16500,1334,1335,1341,1310,1330
17000,1334,1335,1341,1310,1330
17500,1334,1335,1341,1310,1330
18000,1334,1335,1341,1310,1330
18500,1334,1335,1341,1310,1330
19000,1334,1335,1341,1310,1330
19500,1334,1335,1341,1310,1330
20000,1334,1335,1341,1310,1330
20500,1334,1335,1341,1310,1330
21000,1334,1335,1341,1310,1330
21500,1334,1334,1341,1310,1330
22000,1334,1334,1341,1310,1330
22500,1334,1334,1341,1310,1330
23000,1334,1334,1341,1310,1330
23500,1334,1317,1341,1310,1330
24000,1334,1317,1341,1310,1330
24500,1334,1317,1337,1310,1330
25000,1334,1317,1337,1310,1330
25500,1334,1317,1337,1310,1330
26000,1334,1317,1337,1310,1330
26500,1334,1317,1337,1310,1330
27000,1334,1317,1337,1310,1330
27500,1334,1317,1337,1310,1330
28000,1334,1317,1337,1310,1330
28500,1334,1317,1337,1310,1330
29000,1334,1317,1337,1310,1330
29500,1333,1317,1337,1310,1330
30000,1333,1317,1337,1310,1330
30500,1333,1317,1327,1310,1330
31000,1333,1317,1327,1310,1330
31500,1333,1317,1327,1310,1330
32000,1333,1317,1327,1310,1330
32500,1333,1317,1327,1310,1330
33000,1333,1317,1327,1310,1330
33500,1333,1317,1327,1310,1330
34000,1333,1317,1327,1310,1330
34500,1333,1317,1327,1310,1330
35000,1333,1317,1327,1310,1330
35500,1333,1317,1327,1310,1330
36000,1333,1317,1327,1310,1330
36500,1333,1317,1327,1310,1330
37000,1333,1317,1327,1310,1330
37500,1333,1317,1327,1310,1330
38000,1333,1317,1327,1310,1330
38500,1333,1317,1327,1310,1330
39000,1333,1317,1327,1310,1330
39500,1333,1317,1327,1310,1330
40000,1333,1317,1327,1310,1330
