Selection,T
Cross Over,RIC
Mutation,IM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1470,1470,1443,1461,1466
500,1377,1359,1360,1373,1366
1000,1373,1359,1335,1372,1342
1500,1353,1359,1335,1372,1342
2000,1353,1359,1335,1351,1342
2500,1351,1352,1335,1351,1342
3000,1351,1352,1332,1342,1342
3500,1351,1352,1332,1342,1342
4000,1351,1352,1332,1342,1342
4500,1351,1339,1332,1342,1342
5000,1351,1339,1332,1342,1342
5500,1351,1339,1332,1342,1342
6000,1351,1339,1332,1342,1342
6500,1351,1339,1332,1342,1342
7000,1351,1339,1332,1342,1342
7500,1351,1339,1332,1342,1342
8000,1351,1339,1332,1342,1342
8500,1351,1339,1332,1342,1342
9000,1351,1339,1332,1342,1342
9500,1351,1339,1332,1342,1342
10000,1351,1339,1332,1342,1342
10500,1318,1339,1332,1342,1342
11000,1318,1339,1332,1342,1342
11500,1318,1339,1332,1342,1342
12000,1318,1339,1332,1342,1342
12500,1318,1324,1332,1342,1342
13000,1318,1324,1332,1342,1342
13500,1318,1324,1332,1342,1342
14000,1318,1324,1332,1342,1342
14500,1318,1324,1332,1342,1342
15000,1318,1324,1332,1342,1342
15500,1318,1324,1332,1342,1342
16000,1318,1324,1332,1342,1342
16500,1318,1324,1332,1342,1342
17000,1318,1324,1332,1342,1342
17500,1318,1324,1332,1342,1342
18000,1318,1324,1332,1342,1342
18500,1318,1324,1332,1342,1342
19000,1318,1324,1332,1342,1342
19500,1318,1324,1332,1342,1342
20000,1318,1324,1332,1342,1342
20500,1318,1324,1332,1342,1342
21000,1318,1324,1332,1342,1342
21500,1318,1320,1332,1342,1342
22000,1318,1320,1332,1342,1342
22500,1318,1320,1332,1342,1342
23000,1318,1320,1332,1342,1342
23500,1318,1320,1332,1342,1342
24000,1318,1320,1332,1342,1342
24500,1318,1320,1332,1342,1342
25000,1318,1320,1332,1342,1342
25500,1318,1320,1332,1342,1342
26000,1318,1320,1332,1342,1342
26500,1318,1320,1332,1342,1342
27000,1318,1320,1332,1342,1342
27500,1318,1320,1332,1342,1342
28000,1318,1320,1332,1342,1342
28500,1318,1320,1332,1342,1342
29000,1318,1320,1332,1342,1342
29500,1318,1320,1332,1342,1342
30000,1318,1320,1332,1342,1342
30500,1318,1320,1332,1342,1342
31000,1318,1320,1332,1342,1342
31500,1318,1320,1332,1342,1342
32000,1318,1320,1332,1342,1342
32500,1318,1320,1332,1342,1342
33000,1318,1320,1332,1342,1342
33500,1318,1320,1332,1342,1342
34000,1318,1320,1332,1342,1342
34500,1318,1320,1332,1342,1342
35000,1318,1320,1332,1342,1342
35500,1318,1320,1332,1338,1342
36000,1318,1320,1332,1338,1342
36500,1318,1320,1332,1338,1342
37000,1318,1320,1332,1338,1342
37500,1318,1320,1332,1338,1342
38000,1318,1320,1332,1338,1342
38500,1318,1320,1332,1338,1342
39000,1318,1320,1332,1338,1342
39500,1318,1320,1332,1338,1342
40000,1318,1320,1332,1338,1342
40500,1318,1320,1332,1338,1342
41000,1318,1320,1332,1338,1342
41500,1318,1320,1332,1338,1342
42000,1318,1320,1332,1338,1342
42500,1318,1320,1332,1338,1342
43000,1318,1320,1332,1338,1339
43500,1318,1320,1332,1338,1339
44000,1318,1320,1332,1338,1339
44500,1318,1320,1332,1338,1339
45000,1318,1320,1332,1338,1339
45500,1318,1320,1332,1338,1339
46000,1318,1320,1332,1338,1339
46500,1318,1320,1323,1338,1339
47000,1318,1320,1323,1333,1339
47500,1318,1320,1323,1333,1339
48000,1318,1320,1323,1333,1339
48500,1318,1320,1323,1333,1339
49000,1318,1320,1323,1333,1339
49500,1318,1320,1323,1333,1339
50000,1318,1320,1323,1333,1339
50500,1318,1320,1323,1333,1339
51000,1318,1320,1323,1333,1337
51500,1318,1320,1323,1333,1337
52000,1318,1320,1323,1333,1337
52500,1318,1320,1323,1333,1337
53000,1318,1320,1323,1333,1335
53500,1318,1320,1323,1333,1335
54000,1318,1320,1323,1333,1335
54500,1318,1320,1323,1333,1335
55000,1318,1320,1323,1333,1335
55500,1318,1320,1323,1333,1335
56000,1318,1320,1323,1333,1335
56500,1318,1320,1323,1333,1335
57000,1318,1320,1323,1333,1335
57500,1318,1320,1323,1333,1335
58000,1318,1320,1323,1333,1335
58500,1318,1320,1323,1333,1335
59000,1318,1320,1323,1333,1335
59500,1318,1320,1323,1333,1335
60000,1318,1320,1323,1333,1335
60500,1318,1320,1323,1333,1335
61000,1318,1320,1323,1333,1335
61500,1318,1320,1323,1333,1335
62000,1318,1320,1323,1333,1335
62500,1318,1320,1323,1333,1314
63000,1318,1320,1323,1333,1314
63500,1318,1320,1323,1333,1314
64000,1318,1320,1323,1333,1314
64500,1318,1320,1323,1333,1314
65000,1318,1320,1323,1333,1314
65500,1318,1320,1323,1333,1314
66000,1318,1320,1323,1333,1314
66500,1318,1320,1323,1333,1314
67000,1318,1320,1323,1333,1314
67500,1318,1320,1323,1333,1314
68000,1318,1320,1323,1333,1314
68500,1318,1320,1323,1333,1314
69000,1318,1320,1323,1333,1314
69500,1318,1320,1323,1333,1314
70000,1318,1320,1323,1333,1314
70500,1318,1320,1323,1333,1314
71000,1318,1320,1323,1333,1314
71500,1318,1320,1323,1333,1314
72000,1318,1320,1323,1333,1314
72500,1318,1320,1323,1333,1314
73000,1318,1320,1323,1333,1314
73500,1318,1320,1323,1323,1314
74000,1318,1320,1323,1323,1314
74500,1318,1320,1323,1323,1314
