Selection,T
Cross Over,RIC
Mutation,RM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1470,1407,1475,1489,1467
500,1349,1358,1383,1331,1364
1000,1349,1336,1371,1331,1360
1500,1349,1336,1347,1331,1360
2000,1323,1336,1344,1331,1343
2500,1323,1336,1344,1331,1343
3000,1323,1336,1344,1331,1343
3500,1323,1336,1344,1331,1343
4000,1323,1336,1344,1331,1343
4500,1323,1336,1344,1331,1343
5000,1323,1336,1344,1331,1343
5500,1323,1336,1344,1331,1333
6000,1323,1336,1340,1331,1333
6500,1323,1336,1340,1331,1333
7000,1323,1336,1324,1331,1333
7500,1323,1336,1324,1331,1333
8000,1323,1336,1324,1331,1333
8500,1323,1336,1324,1331,1333
9000,1323,1336,1324,1331,1333
9500,1323,1336,1324,1331,1333
10000,1323,1336,1324,1331,1333
10500,1323,1336,1324,1331,1333
11000,1323,1321,1324,1331,1333
11500,1323,1321,1324,1331,1333
12000,1323,1321,1324,1331,1333
12500,1323,1321,1324,1331,1333
13000,1323,1321,1324,1331,1333
13500,1323,1321,1324,1331,1333
14000,1323,1321,1324,1331,1333
14500,1323,1321,1324,1331,1333
15000,1323,1321,1324,1331,1333
15500,1323,1321,1324,1331,1333
16000,1323,1321,1324,1331,1333
16500,1323,1321,1324,1331,1333
17000,1323,1321,1324,1331,1333
17500,1323,1321,1324,1331,1333
18000,1323,1321,1324,1331,1333
18500,1323,1321,1324,1331,1333
19000,1323,1321,1324,1331,1333
19500,1323,1321,1324,1331,1333
20000,1323,1321,1324,1331,1333
20500,1323,1321,1324,1331,1333
21000,1323,1321,1324,1331,1333
21500,1323,1321,1324,1331,1331
22000,1323,1321,1324,1331,1331
22500,1323,1321,1324,1331,1331
23000,1323,1321,1324,1322,1331
23500,1323,1321,1324,1322,1331
24000,1323,1321,1324,1322,1331
24500,1323,1321,1324,1322,1331
25000,1323,1321,1324,1322,1331
25500,1323,1321,1324,1322,1331
26000,1323,1321,1324,1322,1331
26500,1323,1321,1324,1322,1331
27000,1323,1321,1324,1322,1331
27500,1323,1321,1324,1322,1331
28000,1323,1321,1324,1322,1331
28500,1323,1321,1324,1322,1331
29000,1323,1321,1324,1322,1331
29500,1323,1321,1324,1322,1331
30000,1323,1321,1324,1322,1331
30500,1323,1321,1324,1322,1331
31000,1323,1321,1324,1322,1331
31500,1323,1321,1324,1322,1331
32000,1323,1321,1324,1322,1331
32500,1323,1321,1324,1322,1331
33000,1323,1321,1324,1322,1331
33500,1323,1321,1324,1322,1331
34000,1323,1321,1324,1322,1324
34500,1323,1321,1324,1322,1324
35000,1323,1321,1324,1322,1324
35500,1323,1321,1324,1322,1324
36000,1323,1321,1324,1322,1324
36500,1323,1321,1324,1322,1324
37000,1323,1321,1324,1322,1324
37500,1323,1321,1324,1322,1324
38000,1323,1321,1324,1322,1324
38500,1323,1321,1324,1322,1324
39000,1323,1321,1324,1322,1324
39500,1323,1321,1324,1322,1324
40000,1323,1321,1324,1322,1324
40500,1323,1321,1324,1322,1324
41000,1323,1321,1324,1322,1324
41500,1323,1321,1324,1322,1324
42000,1323,1321,1324,1322,1324
42500,1323,1321,1316,1322,1324
43000,1323,1321,1316,1322,1324
43500,1323,1321,1316,1322,1324
44000,1323,1321,1316,1322,1324
44500,1323,1321,1316,1322,1324
45000,1323,1321,1316,1322,1324
45500,1323,1321,1316,1322,1324
46000,1323,1321,1316,1322,1324
46500,1323,1321,1316,1322,1324
47000,1323,1321,1316,1322,1324
47500,1323,1321,1316,1322,1324
48000,1323,1321,1316,1322,1324
48500,1323,1321,1316,1322,1324
49000,1323,1321,1316,1322,1324
49500,1323,1321,1316,1322,1324
50000,1323,1321,1316,1322,1324
50500,1323,1321,1316,1322,1324
51000,1323,1321,1316,1322,1324
51500,1323,1321,1316,1322,1324
52000,1323,1321,1316,1322,1324
52500,1323,1321,1316,1322,1324
53000,1323,1321,1316,1322,1324
53500,1323,1321,1316,1322,1324
54000,1323,1321,1316,1322,1324
54500,1323,1321,1316,1322,1324
55000,1323,1321,1316,1322,1324
55500,1323,1321,1316,1322,1324
56000,1323,1321,1316,1322,1324
56500,1323,1321,1316,1322,1324
57000,1323,1321,1316,1322,1324
57500,1323,1321,1316,1322,1324
58000,1323,1321,1316,1322,1324
58500,1323,1321,1316,1322,1324
59000,1323,1321,1316,1322,1324
59500,1323,1321,1316,1322,1324
60000,1323,1321,1316,1322,1324
60500,1323,1321,1316,1322,1324
61000,1323,1321,1316,1322,1324
61500,1323,1321,1316,1322,1324
62000,1323,1321,1316,1322,1324
62500,1323,1321,1316,1322,1324
63000,1323,1321,1316,1322,1324
63500,1323,1321,1316,1322,1324
64000,1323,1321,1316,1322,1324
64500,1323,1321,1316,1322,1324
65000,1323,1321,1316,1322,1324
65500,1323,1321,1316,1322,1324
66000,1323,1321,1316,1322,1324
66500,1323,1321,1316,1322,1324
67000,1323,1321,1316,1322,1324
67500,1323,1321,1316,1322,1324
68000,1323,1321,1316,1322,1324
68500,1323,1321,1316,1322,1324
69000,1323,1321,1316,1322,1324
69500,1323,1321,1316,1322,1324
70000,1323,1321,1316,1322,1324
70500,1323,1321,1316,1322,1324
71000,1323,1321,1316,1322,1324
71500,1323,1321,1316,1322,1324
72000,1323,1321,1316,1322,1324
72500,1323,1321,1316,1322,1324
73000,1323,1321,1316,1322,1324
73500,1323,1321,1316,1322,1324
74000,1323,1321,1316,1322,1324
74500,1323,1321,1316,1322,1324
