Selection,T
Cross Over,RIC
Mutation,SM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1451,1441,1423,1459,1428
500,1374,1382,1385,1347,1375
1000,1363,1369,1368,1347,1375
1500,1363,1364,1368,1347,1371
2000,1363,1346,1358,1347,1345
2500,1363,1346,1358,1347,1345
3000,1363,1346,1349,1347,1345
3500,1363,1346,1333,1347,1345
4000,1363,1346,1333,1347,1345
4500,1363,1346,1332,1347,1345
5000,1363,1346,1332,1347,1345
5500,1340,1346,1332,1347,1345
6000,1340,1346,1332,1347,1345
6500,1340,1346,1332,1347,1328
7000,1340,1346,1332,1347,1328
7500,1325,1346,1332,1347,1328
8000,1325,1346,1332,1347,1328
8500,1325,1346,1332,1347,1328
9000,1325,1346,1332,1347,1328
9500,1325,1346,1332,1347,1328
10000,1325,1346,1332,1347,1328
10500,1325,1346,1332,1347,1328
11000,1325,1346,1332,1347,1328
11500,1325,1346,1332,1347,1328
12000,1325,1346,1332,1347,1328
12500,1325,1334,1332,1344,1328
13000,1325,1334,1332,1344,1328
13500,1325,1334,1332,1344,1328
14000,1325,1334,1332,1344,1328
14500,1325,1334,1332,1344,1328
15000,1325,1334,1332,1344,1328
15500,1325,1334,1332,1320,1328
16000,1325,1334,1332,1320,1328
16500,1325,1334,1332,1320,1328
17000,1325,1334,1332,1320,1328
17500,1325,1334,1332,1320,1328
18000,1325,1334,1332,1320,1328
18500,1325,1334,1332,1320,1328
19000,1325,1334,1332,1320,1328
19500,1325,1334,1332,1320,1328
20000,1325,1334,1332,1320,1328
20500,1325,1334,1332,1320,1328
21000,1325,1334,1332,1320,1328
21500,1325,1334,1332,1320,1328
22000,1325,1334,1332,1320,1328
22500,1325,1334,1332,1320,1328
23000,1325,1334,1332,1320,1328
23500,1325,1334,1332,1320,1328
24000,1325,1334,1332,1320,1328
24500,1325,1334,1332,1320,1328
25000,1325,1334,1332,1320,1328
25500,1325,1334,1332,1320,1328
26000,1325,1334,1332,1320,1328
26500,1325,1334,1332,1320,1328
27000,1325,1334,1332,1320,1328
27500,1325,1334,1332,1320,1328
28000,1325,1334,1332,1320,1328
28500,1325,1334,1332,1320,1328
29000,1325,1334,1332,1320,1328
29500,1325,1334,1332,1320,1328
30000,1325,1334,1332,1320,1328
30500,1325,1334,1332,1320,1328
31000,1325,1334,1332,1320,1328
31500,1325,1334,1332,1320,1328
32000,1325,1334,1332,1320,1328
32500,1325,1334,1332,1320,1328
33000,1325,1334,1332,1320,1328
33500,1325,1334,1332,1320,1328
34000,1325,1334,1332,1320,1328
34500,1325,1334,1332,1320,1328
35000,1325,1334,1332,1320,1328
35500,1325,1334,1332,1320,1328
36000,1324,1334,1332,1320,1328
36500,1324,1334,1332,1320,1328
37000,1324,1334,1332,1320,1328
37500,1324,1334,1332,1320,1328
38000,1324,1334,1332,1320,1328
38500,1324,1334,1332,1320,1328
39000,1324,1334,1332,1320,1328
39500,1324,1334,1332,1320,1328
40000,1324,1334,1332,1320,1328
40500,1324,1334,1332,1320,1328
41000,1324,1334,1332,1320,1328
41500,1324,1334,1332,1320,1328
42000,1324,1334,1332,1320,1328
42500,1324,1334,1332,1320,1328
43000,1303,1334,1332,1320,1328
43500,1303,1334,1332,1320,1328
44000,1303,1334,1332,1320,1328
44500,1303,1334,1332,1320,1328
45000,1303,1334,1332,1320,1328
45500,1303,1334,1332,1320,1320
46000,1303,1334,1332,1320,1320
46500,1303,1334,1332,1320,1320
47000,1303,1334,1332,1320,1320
47500,1303,1334,1332,1320,1320
48000,1303,1334,1332,1320,1320
48500,1303,1334,1332,1320,1320
49000,1303,1334,1332,1320,1320
49500,1303,1334,1332,1320,1320
50000,1303,1334,1332,1320,1320
50500,1303,1334,1332,1320,1320
51000,1303,1334,1332,1320,1320
51500,1303,1334,1332,1320,1320
52000,1303,1334,1332,1320,1320
52500,1303,1334,1332,1320,1320
53000,1303,1334,1332,1320,1320
53500,1303,1334,1332,1320,1320
54000,1303,1334,1331,1320,1320
54500,1303,1334,1331,1320,1320
55000,1303,1334,1331,1320,1320
55500,1303,1334,1331,1320,1320
56000,1303,1334,1331,1320,1320
56500,1303,1334,1331,1320,1320
57000,1303,1334,1331,1320,1320
57500,1303,1334,1331,1320,1320
58000,1303,1334,1331,1320,1320
58500,1303,1334,1331,1320,1320
59000,1303,1334,1331,1320,1320
59500,1303,1334,1331,1320,1320
60000,1303,1334,1331,1320,1320
60500,1303,1334,1331,1320,1320
61000,1303,1334,1331,1320,1320
61500,1303,1334,1331,1320,1320
62000,1303,1334,1331,1320,1320
62500,1303,1334,1331,1320,1320
63000,1303,1334,1331,1320,1320
63500,1303,1334,1331,1320,1320
64000,1303,1334,1331,1320,1320
64500,1303,1334,1331,1320,1320
65000,1303,1334,1331,1320,1320
65500,1303,1334,1331,1320,1320
66000,1303,1334,1331,1320,1320
66500,1303,1334,1331,1318,1320
67000,1303,1334,1331,1318,1320
67500,1303,1334,1331,1318,1320
68000,1303,1334,1331,1318,1320
68500,1303,1320,1331,1315,1320
69000,1303,1320,1331,1315,1320
69500,1303,1320,1331,1315,1320
70000,1303,1320,1331,1315,1320
70500,1303,1320,1331,1315,1320
71000,1303,1320,1331,1315,1320
71500,1303,1320,1331,1315,1320
72000,1303,1320,1331,1315,1320
72500,1303,1320,1331,1315,1320
73000,1303,1320,1331,1315,1320
73500,1303,1320,1331,1315,1320
74000,1303,1320,1331,1315,1320
74500,1303,1320,1331,1315,1320
