Selection,T
Cross Over,RIUC
Mutation,DPSM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1413,1464,1440,1479,1429
500,1352,1374,1357,1383,1390
1000,1352,1374,1357,1366,1368
1500,1352,1362,1357,1363,1367
2000,1316,1362,1357,1363,1361
2500,1316,1362,1357,1363,1359
3000,1316,1344,1357,1361,1349
3500,1316,1344,1357,1360,1349
4000,1316,1344,1357,1349,1349
4500,1316,1344,1357,1349,1349
5000,1316,1344,1357,1349,1349
5500,1316,1344,1357,1349,1349
6000,1316,1344,1357,1349,1343
6500,1316,1344,1357,1349,1342
7000,1316,1344,1355,1349,1342
7500,1316,1344,1355,1349,1342
8000,1316,1344,1355,1349,1342
8500,1316,1344,1355,1349,1342
9000,1316,1344,1355,1349,1342
9500,1316,1344,1355,1349,1342
10000,1316,1344,1338,1349,1342
10500,1316,1344,1323,1349,1342
11000,1316,1337,1323,1349,1342
11500,1316,1337,1323,1339,1342
12000,1316,1337,1323,1339,1342
12500,1316,1337,1323,1339,1342
13000,1316,1337,1323,1339,1342
13500,1316,1337,1323,1339,1342
14000,1316,1337,1323,1339,1342
14500,1316,1337,1323,1339,1342
15000,1316,1337,1323,1339,1342
15500,1316,1337,1323,1339,1342
16000,1316,1337,1323,1339,1342
16500,1316,1337,1323,1339,1342
17000,1316,1337,1323,1339,1342
17500,1316,1337,1323,1339,1342
18000,1316,1337,1323,1339,1342
18500,1316,1337,1323,1339,1342
19000,1316,1337,1323,1339,1342
19500,1316,1337,1323,1339,1342
20000,1316,1337,1323,1339,1342
20500,1316,1337,1323,1333,1342
21000,1316,1337,1315,1333,1342
21500,1316,1337,1315,1333,1342
22000,1316,1337,1315,1333,1342
22500,1316,1337,1315,1333,1342
23000,1316,1337,1315,1333,1342
23500,1316,1337,1315,1333,1342
24000,1316,1337,1315,1333,1342
24500,1316,1337,1315,1333,1338
25000,1316,1337,1315,1333,1338
25500,1316,1337,1315,1333,1338
26000,1316,1337,1315,1333,1338
26500,1316,1337,1315,1333,1338
27000,1316,1337,1315,1333,1338
27500,1316,1337,1315,1333,1338
28000,1316,1337,1315,1333,1338
28500,1316,1337,1315,1333,1338
29000,1316,1337,1315,1333,1338
29500,1316,1337,1315,1333,1338
30000,1316,1337,1315,1333,1338
30500,1316,1337,1315,1333,1338
31000,1316,1337,1315,1333,1338
31500,1316,1337,1315,1333,1338
32000,1316,1337,1315,1333,1338
32500,1316,1337,1315,1333,1338
33000,1316,1337,1315,1333,1338
33500,1316,1337,1315,1333,1338
34000,1316,1337,1315,1333,1338
34500,1316,1337,1315,1333,1338
35000,1316,1337,1315,1333,1338
35500,1316,1337,1315,1333,1338
36000,1316,1337,1315,1333,1338
36500,1316,1337,1315,1333,1338
37000,1316,1337,1315,1333,1338
37500,1316,1337,1315,1331,1338
38000,1316,1337,1315,1331,1333
38500,1316,1337,1315,1331,1333
39000,1316,1337,1315,1331,1333
39500,1316,1337,1315,1331,1330
40000,1316,1337,1315,1331,1330
40500,1316,1337,1315,1331,1330
41000,1316,1337,1315,1331,1330
41500,1316,1337,1315,1331,1330
42000,1316,1337,1315,1331,1330
42500,1316,1337,1315,1331,1330
43000,1316,1337,1315,1331,1330
43500,1316,1337,1315,1331,1330
44000,1316,1337,1315,1331,1330
44500,1316,1337,1315,1331,1330
45000,1316,1325,1315,1331,1330
45500,1316,1325,1315,1331,1330
46000,1316,1325,1315,1331,1330
46500,1316,1325,1315,1331,1330
47000,1316,1325,1315,1331,1330
47500,1316,1325,1315,1331,1330
48000,1316,1325,1315,1331,1330
48500,1316,1325,1315,1331,1330
49000,1316,1325,1315,1331,1330
49500,1316,1325,1315,1331,1330
50000,1316,1325,1315,1331,1330
50500,1316,1325,1315,1331,1330
51000,1316,1325,1315,1331,1330
51500,1316,1325,1315,1331,1330
52000,1316,1325,1315,1331,1330
52500,1316,1325,1315,1331,1330
53000,1316,1325,1315,1331,1330
53500,1316,1325,1315,1331,1330
54000,1316,1325,1315,1331,1330
54500,1316,1325,1315,1331,1330
55000,1316,1325,1315,1331,1330
55500,1316,1325,1315,1331,1330
56000,1316,1325,1315,1331,1330
56500,1316,1325,1315,1331,1330
57000,1316,1325,1315,1331,1330
57500,1316,1325,1315,1331,1330
58000,1316,1325,1315,1331,1330
58500,1316,1325,1315,1331,1324
59000,1316,1325,1315,1331,1324
59500,1316,1325,1315,1331,1324
60000,1316,1325,1315,1331,1324
60500,1316,1325,1315,1331,1324
61000,1316,1325,1315,1331,1324
61500,1316,1325,1315,1324,1324
62000,1316,1325,1315,1324,1324
62500,1316,1325,1315,1324,1324
63000,1316,1325,1315,1324,1324
63500,1316,1325,1315,1324,1324
64000,1316,1325,1315,1324,1324
64500,1316,1325,1315,1324,1324
65000,1316,1325,1315,1324,1324
65500,1316,1325,1315,1324,1324
66000,1316,1325,1315,1324,1324
66500,1316,1325,1315,1324,1324
67000,1316,1325,1315,1324,1324
67500,1316,1325,1315,1324,1324
68000,1316,1325,1315,1324,1324
68500,1316,1325,1315,1324,1324
69000,1316,1325,1315,1324,1324
69500,1316,1325,1315,1324,1324
70000,1316,1325,1315,1324,1324
70500,1316,1325,1315,1324,1324
71000,1316,1325,1315,1324,1324
71500,1316,1325,1315,1324,1324
72000,1316,1325,1315,1324,1324
72500,1316,1325,1315,1324,1324
73000,1316,1325,1315,1324,1324
73500,1316,1325,1315,1324,1324
74000,1316,1325,1315,1324,1324
74500,1316,1325,1315,1324,1324
