Selection,T
Cross Over,RIUC
Mutation,IM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1499,1488,1411,1442,1455
500,1347,1356,1374,1369,1355
1000,1346,1356,1357,1357,1355
1500,1346,1352,1357,1354,1355
2000,1346,1352,1357,1353,1355
2500,1346,1352,1357,1353,1307
3000,1346,1352,1357,1353,1307
3500,1346,1352,1357,1353,1307
4000,1346,1352,1357,1353,1307
4500,1346,1352,1357,1353,1307
5000,1346,1352,1322,1353,1307
5500,1346,1352,1322,1353,1307
6000,1346,1352,1322,1353,1307
6500,1346,1338,1322,1348,1307
7000,1346,1338,1322,1348,1307
7500,1346,1338,1322,1348,1307
8000,1346,1338,1322,1348,1307
8500,1346,1338,1322,1348,1307
9000,1346,1338,1322,1348,1307
9500,1346,1338,1322,1348,1307
10000,1346,1338,1322,1348,1307
10500,1344,1338,1322,1348,1307
11000,1344,1338,1322,1336,1307
11500,1344,1338,1322,1336,1307
12000,1344,1338,1322,1336,1307
12500,1344,1338,1322,1336,1307
13000,1344,1338,1322,1336,1307
13500,1344,1338,1322,1336,1307
14000,1344,1338,1322,1336,1307
14500,1312,1338,1322,1327,1307
15000,1312,1338,1322,1327,1307
15500,1312,1338,1322,1327,1307
16000,1312,1338,1322,1327,1307
16500,1312,1338,1322,1327,1307
17000,1312,1338,1322,1327,1307
17500,1312,1338,1322,1327,1307
18000,1312,1338,1322,1327,1307
18500,1312,1338,1322,1327,1307
19000,1312,1338,1322,1327,1307
19500,1312,1338,1322,1327,1307
20000,1312,1338,1322,1327,1307
20500,1312,1338,1322,1327,1307
21000,1312,1338,1322,1327,1307
21500,1312,1338,1322,1327,1307
22000,1312,1338,1322,1327,1307
22500,1312,1338,1322,1327,1307
23000,1312,1338,1322,1327,1307
23500,1312,1338,1322,1327,1307
24000,1312,1338,1322,1327,1307
24500,1312,1338,1322,1327,1307
25000,1312,1338,1322,1327,1307
25500,1312,1338,1322,1327,1307
26000,1312,1338,1322,1327,1307
26500,1312,1338,1322,1327,1307
27000,1312,1338,1322,1306,1307
27500,1312,1338,1322,1306,1307
28000,1312,1338,1322,1306,1307
28500,1312,1338,1322,1306,1307
29000,1312,1338,1322,1306,1307
29500,1312,1338,1322,1306,1307
30000,1312,1333,1322,1306,1307
30500,1312,1333,1320,1306,1307
31000,1312,1333,1320,1306,1307
31500,1312,1333,1320,1306,1307
32000,1312,1333,1320,1306,1307
32500,1312,1333,1320,1306,1307
33000,1312,1333,1320,1306,1307
33500,1312,1333,1320,1306,1307
34000,1312,1333,1320,1306,1307
34500,1312,1333,1320,1306,1307
35000,1312,1333,1320,1306,1307
35500,1312,1333,1320,1306,1307
36000,1312,1333,1320,1306,1307
36500,1312,1333,1320,1306,1307
37000,1312,1333,1320,1306,1307
37500,1312,1333,1320,1306,1307
38000,1312,1333,1320,1306,1307
38500,1312,1333,1320,1306,1307
39000,1312,1333,1320,1306,1307
39500,1312,1332,1320,1306,1307
40000,1312,1332,1320,1306,1307
40500,1312,1332,1320,1306,1307
41000,1312,1317,1320,1306,1307
41500,1312,1317,1320,1306,1307
42000,1312,1317,1320,1306,1307
42500,1312,1317,1320,1306,1307
43000,1312,1317,1320,1306,1307
43500,1312,1317,1320,1306,1307
44000,1312,1317,1320,1306,1307
44500,1312,1317,1320,1306,1307
45000,1312,1317,1320,1306,1307
45500,1312,1317,1320,1306,1307
46000,1312,1317,1320,1306,1307
46500,1312,1317,1320,1306,1307
47000,1312,1317,1320,1306,1307
47500,1312,1317,1320,1306,1307
48000,1312,1317,1320,1306,1307
48500,1312,1317,1320,1306,1307
49000,1312,1317,1320,1306,1307
49500,1312,1317,1320,1306,1307
50000,1312,1317,1320,1306,1307
50500,1312,1317,1320,1306,1307
51000,1312,1317,1320,1306,1307
51500,1312,1317,1320,1306,1307
52000,1312,1317,1320,1306,1307
52500,1312,1317,1320,1306,1307
53000,1312,1317,1320,1306,1307
53500,1312,1317,1320,1306,1307
54000,1312,1317,1320,1306,1307
54500,1312,1317,1320,1306,1307
55000,1312,1317,1320,1306,1307
55500,1312,1317,1320,1306,1307
56000,1312,1317,1320,1306,1307
56500,1312,1317,1320,1306,1307
57000,1312,1317,1320,1306,1307
57500,1312,1317,1320,1306,1307
58000,1312,1317,1320,1306,1307
58500,1312,1317,1320,1306,1307
59000,1312,1317,1320,1306,1307
59500,1312,1317,1320,1306,1307
60000,1312,1317,1320,1306,1307
60500,1312,1317,1320,1306,1307
61000,1312,1317,1320,1306,1307
61500,1312,1317,1320,1306,1307
62000,1312,1317,1320,1306,1307
62500,1312,1317,1320,1306,1307
63000,1312,1317,1320,1306,1307
63500,1312,1317,1320,1306,1307
64000,1312,1317,1320,1306,1307
64500,1312,1317,1320,1306,1307
65000,1312,1317,1320,1306,1307
65500,1312,1317,1320,1306,1307
66000,1312,1317,1320,1306,1307
66500,1312,1317,1320,1306,1307
67000,1312,1317,1320,1306,1307
67500,1312,1317,1320,1306,1307
68000,1312,1317,1320,1306,1307
68500,1312,1317,1320,1306,1307
69000,1312,1317,1320,1306,1307
69500,1312,1317,1320,1306,1307
70000,1312,1317,1320,1306,1307
70500,1312,1317,1320,1306,1307
71000,1312,1317,1320,1306,1307
71500,1312,1317,1320,1306,1307
72000,1292,1317,1320,1306,1307
72500,1292,1317,1320,1306,1307
73000,1292,1317,1320,1306,1307
73500,1292,1317,1320,1306,1307
74000,1292,1317,1320,1306,1307
74500,1292,1317,1320,1306,1307
