Selection,T
Cross Over,RIUC
Mutation,RM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1480,1478,1430,1437,1448
500,1357,1362,1372,1351,1347
1000,1357,1346,1345,1342,1347
1500,1357,1346,1345,1342,1347
2000,1357,1346,1331,1342,1347
2500,1357,1346,1331,1342,1347
3000,1357,1331,1331,1342,1347
3500,1354,1331,1331,1342,1347
4000,1354,1331,1331,1342,1347
4500,1354,1331,1331,1342,1347
5000,1354,1331,1331,1341,1347
5500,1354,1331,1331,1336,1347
6000,1354,1331,1331,1336,1345
6500,1351,1313,1331,1336,1345
7000,1351,1313,1331,1336,1345
7500,1351,1313,1331,1336,1345
8000,1351,1313,1331,1322,1345
8500,1351,1313,1331,1322,1345
9000,1351,1313,1331,1322,1345
9500,1351,1313,1331,1322,1345
10000,1351,1313,1331,1322,1345
10500,1351,1313,1331,1322,1345
11000,1351,1313,1331,1322,1345
11500,1351,1313,1331,1322,1345
12000,1351,1313,1331,1322,1334
12500,1351,1313,1331,1322,1334
13000,1329,1313,1331,1322,1334
13500,1329,1313,1331,1322,1334
14000,1329,1313,1331,1322,1334
14500,1329,1313,1331,1322,1334
15000,1329,1313,1331,1322,1334
15500,1329,1313,1331,1322,1334
16000,1329,1313,1331,1322,1334
16500,1329,1313,1331,1322,1334
17000,1329,1313,1331,1322,1334
17500,1321,1313,1331,1322,1334
18000,1321,1313,1331,1322,1334
18500,1321,1313,1331,1322,1334
19000,1321,1313,1331,1322,1334
19500,1321,1313,1331,1322,1334
20000,1321,1313,1331,1322,1334
20500,1321,1313,1331,1322,1334
21000,1321,1313,1331,1322,1334
21500,1321,1313,1331,1322,1334
22000,1321,1313,1331,1322,1334
22500,1321,1313,1331,1322,1334
23000,1321,1313,1331,1322,1334
23500,1321,1313,1331,1322,1334
24000,1321,1313,1331,1322,1334
24500,1321,1313,1331,1322,1334
25000,1321,1313,1331,1322,1334
25500,1321,1313,1331,1322,1334
26000,1321,1313,1331,1322,1334
26500,1321,1313,1331,1322,1334
27000,1321,1313,1331,1322,1334
27500,1321,1313,1331,1322,1334
28000,1321,1313,1331,1322,1334
28500,1321,1313,1331,1322,1334
29000,1321,1313,1313,1322,1334
29500,1321,1313,1313,1322,1334
30000,1321,1313,1313,1322,1334
30500,1321,1313,1313,1322,1334
31000,1321,1313,1313,1322,1334
31500,1321,1313,1313,1322,1334
32000,1321,1313,1313,1322,1334
32500,1321,1313,1313,1322,1334
33000,1321,1313,1313,1322,1334
33500,1321,1313,1313,1322,1334
34000,1321,1313,1313,1322,1334
34500,1321,1313,1313,1322,1334
35000,1321,1313,1313,1322,1334
35500,1321,1313,1313,1322,1334
36000,1321,1313,1313,1322,1334
36500,1321,1313,1313,1322,1334
37000,1321,1313,1313,1322,1334
37500,1321,1313,1313,1322,1334
38000,1321,1313,1313,1322,1334
38500,1321,1313,1313,1322,1334
39000,1321,1313,1313,1322,1334
39500,1321,1313,1313,1322,1334
40000,1321,1313,1313,1322,1334
40500,1321,1313,1313,1322,1334
41000,1321,1313,1313,1322,1334
41500,1321,1313,1313,1322,1334
42000,1321,1313,1313,1322,1334
42500,1321,1313,1313,1322,1334
43000,1321,1313,1313,1322,1334
43500,1321,1313,1313,1310,1334
44000,1321,1313,1313,1310,1334
44500,1321,1313,1313,1310,1334
45000,1321,1313,1313,1310,1334
45500,1321,1313,1313,1310,1334
46000,1321,1313,1313,1310,1334
46500,1321,1313,1313,1310,1334
47000,1321,1313,1313,1310,1334
47500,1321,1313,1313,1310,1334
48000,1321,1313,1313,1310,1334
48500,1321,1313,1313,1310,1334
49000,1321,1313,1313,1310,1334
49500,1321,1313,1313,1310,1334
50000,1321,1313,1313,1310,1334
50500,1321,1313,1313,1310,1334
51000,1321,1313,1313,1310,1334
51500,1321,1313,1313,1310,1334
52000,1321,1313,1313,1310,1334
52500,1321,1313,1313,1310,1334
53000,1321,1313,1313,1310,1334
53500,1321,1313,1313,1310,1334
54000,1321,1313,1313,1310,1334
54500,1321,1313,1313,1310,1334
55000,1321,1313,1313,1310,1334
55500,1321,1313,1313,1310,1334
56000,1321,1313,1313,1310,1333
56500,1321,1313,1313,1310,1333
57000,1321,1313,1313,1310,1332
57500,1321,1313,1313,1310,1332
58000,1321,1313,1313,1310,1332
58500,1321,1313,1313,1310,1332
59000,1321,1313,1313,1310,1332
59500,1321,1306,1313,1310,1332
60000,1321,1306,1313,1310,1332
60500,1321,1306,1313,1310,1332
61000,1321,1306,1313,1310,1332
61500,1321,1306,1313,1310,1332
62000,1321,1306,1313,1310,1332
62500,1321,1306,1313,1310,1332
63000,1321,1306,1313,1310,1332
63500,1321,1306,1313,1310,1332
64000,1321,1306,1313,1310,1332
64500,1321,1306,1313,1310,1332
65000,1321,1306,1313,1310,1332
65500,1321,1306,1313,1310,1332
66000,1321,1306,1313,1310,1332
66500,1321,1306,1313,1310,1332
67000,1321,1306,1313,1310,1332
67500,1321,1306,1313,1310,1332
68000,1321,1306,1313,1310,1332
68500,1321,1306,1313,1310,1332
69000,1321,1306,1313,1310,1332
69500,1321,1306,1313,1310,1332
70000,1321,1306,1313,1310,1332
70500,1321,1306,1313,1310,1332
71000,1321,1306,1313,1310,1332
71500,1321,1306,1313,1310,1332
72000,1321,1306,1313,1310,1332
72500,1321,1306,1313,1310,1332
73000,1321,1306,1313,1310,1332
73500,1321,1306,1313,1310,1332
74000,1321,1306,1313,1310,1332
74500,1321,1306,1313,1310,1332
