Selection,T
Cross Over,RIUC
Mutation,SPSM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1461,1477,1480,1454,1465
500,1367,1336,1368,1356,1353
1000,1367,1336,1368,1355,1353
1500,1367,1336,1368,1355,1353
2000,1359,1336,1368,1355,1353
2500,1359,1336,1358,1355,1348
3000,1316,1336,1358,1355,1347
3500,1316,1336,1358,1355,1346
4000,1316,1336,1358,1355,1346
4500,1316,1336,1357,1346,1346
5000,1316,1336,1357,1346,1346
5500,1316,1336,1357,1346,1346
6000,1316,1336,1357,1346,1346
6500,1316,1336,1357,1324,1346
7000,1316,1336,1333,1324,1346
7500,1316,1336,1333,1324,1346
8000,1316,1336,1333,1324,1346
8500,1316,1336,1333,1324,1346
9000,1316,1336,1333,1324,1346
9500,1316,1336,1333,1324,1339
10000,1316,1336,1333,1324,1339
10500,1316,1336,1333,1324,1339
11000,1316,1336,1333,1324,1339
11500,1316,1336,1333,1324,1339
12000,1316,1336,1333,1324,1339
12500,1316,1336,1333,1324,1339
13000,1316,1336,1333,1324,1339
13500,1316,1336,1333,1324,1339
14000,1316,1336,1333,1324,1339
14500,1316,1336,1333,1324,1339
15000,1316,1336,1333,1324,1339
15500,1316,1336,1333,1324,1339
16000,1316,1336,1333,1324,1339
16500,1316,1336,1328,1324,1339
17000,1316,1336,1328,1324,1339
17500,1316,1336,1328,1324,1339
18000,1316,1336,1328,1324,1339
18500,1316,1336,1328,1324,1339
19000,1316,1336,1328,1324,1339
19500,1316,1336,1328,1324,1339
20000,1316,1336,1328,1324,1339
20500,1316,1336,1328,1324,1339
21000,1316,1336,1328,1324,1339
21500,1316,1336,1328,1324,1324
22000,1316,1336,1324,1324,1324
22500,1316,1329,1324,1324,1324
23000,1316,1329,1324,1324,1324
23500,1316,1329,1324,1324,1324
24000,1316,1329,1324,1324,1324
24500,1316,1329,1324,1324,1324
25000,1316,1329,1324,1324,1324
25500,1316,1329,1324,1324,1324
26000,1316,1329,1324,1324,1324
26500,1316,1329,1324,1324,1324
27000,1316,1329,1324,1324,1324
27500,1316,1329,1324,1324,1324
28000,1316,1329,1324,1324,1324
28500,1316,1329,1324,1324,1324
29000,1316,1329,1324,1324,1324
29500,1316,1329,1324,1324,1324
30000,1316,1329,1324,1324,1324
30500,1316,1329,1324,1324,1324
31000,1316,1329,1324,1324,1324
31500,1316,1329,1324,1324,1324
32000,1316,1329,1324,1324,1324
32500,1316,1329,1324,1324,1324
33000,1316,1329,1324,1324,1324
33500,1316,1329,1324,1324,1324
34000,1316,1329,1324,1324,1324
34500,1316,1329,1324,1324,1324
35000,1316,1329,1324,1324,1324
35500,1316,1329,1324,1324,1324
36000,1316,1318,1324,1324,1324
36500,1316,1318,1324,1324,1324
37000,1316,1318,1324,1324,1324
37500,1316,1318,1324,1324,1324
38000,1316,1318,1324,1324,1324
38500,1316,1318,1324,1324,1324
39000,1316,1318,1324,1324,1324
39500,1316,1318,1324,1324,1324
40000,1316,1318,1324,1324,1324
40500,1316,1318,1324,1324,1324
41000,1316,1318,1324,1324,1324
41500,1316,1318,1324,1324,1324
42000,1316,1318,1324,1324,1324
42500,1316,1318,1324,1324,1324
43000,1316,1318,1324,1324,1324
43500,1316,1318,1324,1324,1324
44000,1316,1318,1324,1324,1324
44500,1316,1318,1324,1324,1324
45000,1316,1318,1324,1324,1324
45500,1316,1318,1324,1324,1324
46000,1316,1318,1324,1324,1324
46500,1316,1318,1324,1324,1324
47000,1316,1318,1324,1324,1324
47500,1316,1318,1324,1324,1324
48000,1316,1318,1324,1324,1324
48500,1316,1318,1318,1324,1324
49000,1316,1318,1318,1324,1324
49500,1316,1318,1318,1324,1324
50000,1316,1318,1318,1324,1324
50500,1316,1318,1318,1324,1324
51000,1316,1318,1318,1324,1324
51500,1316,1318,1318,1324,1324
52000,1316,1318,1318,1324,1324
52500,1316,1318,1318,1324,1324
53000,1316,1318,1318,1324,1324
53500,1316,1318,1318,1324,1324
54000,1316,1318,1318,1324,1324
54500,1316,1311,1318,1324,1324
55000,1316,1311,1318,1324,1324
55500,1316,1311,1318,1324,1324
56000,1316,1311,1318,1324,1324
56500,1316,1311,1318,1324,1324
57000,1316,1311,1318,1324,1324
57500,1316,1311,1318,1324,1324
58000,1316,1311,1318,1324,1324
58500,1316,1311,1318,1324,1324
59000,1316,1311,1318,1324,1324
59500,1316,1311,1318,1324,1324
60000,1316,1311,1318,1324,1324
60500,1316,1311,1318,1324,1324
61000,1316,1311,1318,1324,1324
61500,1316,1311,1318,1324,1324
62000,1316,1311,1302,1324,1324
62500,1316,1311,1302,1324,1324
63000,1316,1311,1302,1324,1324
63500,1316,1311,1302,1324,1324
64000,1316,1311,1302,1324,1324
64500,1316,1311,1302,1324,1324
65000,1316,1311,1302,1324,1324
65500,1316,1311,1302,1324,1324
66000,1316,1311,1302,1324,1324
66500,1316,1311,1302,1324,1324
67000,1316,1311,1302,1324,1324
67500,1316,1311,1302,1324,1324
68000,1316,1311,1302,1324,1324
68500,1316,1311,1302,1324,1324
69000,1316,1311,1302,1324,1324
69500,1316,1311,1302,1324,1324
70000,1316,1311,1302,1324,1324
70500,1316,1311,1302,1324,1324
71000,1316,1311,1302,1324,1324
71500,1316,1311,1302,1324,1324
72000,1316,1311,1302,1324,1324
72500,1316,1311,1302,1324,1324
73000,1316,1311,1302,1324,1324
73500,1316,1311,1302,1324,1324
74000,1316,1311,1302,1324,1324
74500,1316,1311,1302,1324,1324
