Selection,T
Cross Over,SC
Mutation,DPSM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1434,1445,1444,1436,1453
500,1290,1323,1317,1276,1311
1000,1290,1322,1317,1276,1296
1500,1290,1305,1294,1276,1295
2000,1273,1305,1294,1276,1281
2500,1273,1305,1294,1276,1281
3000,1273,1302,1294,1276,1281
3500,1273,1301,1294,1276,1281
4000,1250,1301,1294,1276,1281
4500,1239,1301,1294,1276,1281
5000,1236,1301,1294,1276,1281
5500,1236,1301,1294,1276,1281
6000,1236,1301,1294,1266,1281
6500,1236,1301,1294,1263,1281
7000,1236,1301,1294,1261,1281
7500,1236,1301,1291,1261,1281
8000,1236,1301,1285,1261,1281
8500,1236,1301,1285,1261,1281
9000,1236,1301,1285,1261,1281
9500,1236,1301,1285,1261,1281
10000,1236,1301,1285,1261,1281
10500,1236,1301,1285,1261,1281
11000,1236,1301,1285,1261,1281
11500,1236,1301,1285,1261,1281
12000,1236,1301,1285,1261,1281
12500,1236,1301,1285,1261,1281
13000,1236,1301,1285,1261,1281
13500,1236,1301,1285,1261,1281
14000,1236,1301,1285,1261,1281
14500,1236,1301,1285,1261,1281
15000,1236,1301,1282,1261,1281
15500,1236,1301,1278,1261,1281
16000,1236,1301,1277,1261,1281
16500,1236,1299,1277,1261,1281
17000,1236,1279,1277,1261,1281
17500,1236,1276,1277,1261,1281
18000,1236,1276,1277,1261,1281
18500,1234,1274,1277,1261,1281
19000,1234,1274,1277,1261,1281
19500,1234,1271,1277,1261,1281
20000,1234,1271,1277,1261,1281
20500,1234,1271,1266,1261,1281
21000,1234,1271,1266,1261,1281
21500,1234,1267,1265,1261,1281
22000,1234,1265,1265,1261,1281
22500,1234,1264,1265,1261,1281
23000,1234,1264,1265,1261,1281
23500,1234,1264,1265,1261,1281
24000,1234,1261,1265,1261,1281
24500,1234,1261,1265,1261,1281
25000,1234,1261,1265,1261,1281
25500,1234,1261,1265,1256,1281
26000,1234,1261,1265,1251,1281
26500,1234,1261,1265,1251,1281
27000,1234,1261,1265,1251,1281
27500,1234,1261,1265,1251,1281
28000,1234,1261,1265,1251,1281
28500,1234,1261,1265,1251,1281
29000,1234,1261,1265,1251,1281
29500,1234,1261,1265,1251,1281
30000,1234,1261,1265,1251,1281
30500,1234,1261,1265,1251,1281
31000,1234,1261,1265,1251,1281
31500,1234,1261,1265,1251,1281
32000,1234,1261,1265,1251,1281
32500,1234,1261,1265,1251,1281
33000,1234,1261,1265,1251,1281
33500,1234,1261,1265,1251,1281
34000,1234,1261,1265,1251,1281
34500,1234,1261,1265,1251,1281
35000,1234,1261,1265,1251,1281
35500,1234,1261,1265,1251,1281
36000,1234,1261,1265,1251,1281
36500,1234,1261,1265,1251,1281
37000,1234,1261,1265,1251,1281
37500,1234,1261,1265,1251,1281
38000,1234,1261,1265,1251,1281
38500,1234,1261,1265,1251,1281
39000,1234,1261,1265,1251,1281
39500,1234,1261,1265,1251,1281
40000,1234,1261,1265,1251,1281
40500,1233,1261,1265,1251,1281
41000,1233,1261,1265,1251,1281
41500,1233,1261,1265,1251,1281
42000,1233,1261,1265,1251,1281
42500,1233,1261,1265,1251,1281
43000,1233,1261,1265,1251,1281
43500,1233,1261,1265,1251,1281
44000,1233,1261,1265,1251,1281
44500,1233,1261,1265,1251,1281
45000,1233,1261,1265,1251,1281
45500,1233,1261,1265,1251,1281
46000,1233,1261,1265,1251,1281
46500,1233,1261,1265,1251,1281
47000,1233,1261,1265,1251,1281
47500,1233,1261,1265,1251,1273
48000,1233,1261,1265,1251,1269
48500,1233,1261,1265,1251,1269
49000,1233,1261,1265,1251,1267
49500,1233,1261,1265,1251,1265
50000,1233,1261,1265,1251,1265
50500,1233,1261,1265,1251,1263
51000,1233,1261,1265,1251,1263
51500,1233,1261,1265,1251,1260
52000,1233,1261,1265,1251,1259
52500,1233,1261,1265,1251,1259
53000,1233,1261,1265,1251,1259
53500,1233,1261,1265,1251,1259
54000,1233,1261,1265,1251,1258
54500,1233,1261,1265,1251,1256
55000,1233,1261,1265,1251,1256
55500,1233,1261,1265,1251,1256
56000,1233,1261,1265,1251,1256
56500,1233,1261,1265,1251,1256
57000,1233,1261,1265,1251,1253
57500,1222,1261,1265,1251,1253
58000,1222,1261,1265,1251,1250
58500,1222,1261,1265,1251,1250
59000,1222,1261,1265,1251,1248
59500,1222,1261,1265,1251,1248
60000,1222,1261,1265,1251,1248
60500,1218,1261,1265,1251,1248
61000,1218,1261,1265,1251,1248
61500,1218,1261,1265,1251,1248
62000,1218,1261,1265,1251,1248
62500,1218,1261,1265,1251,1248
63000,1218,1261,1265,1251,1248
63500,1218,1261,1265,1251,1248
64000,1218,1261,1265,1251,1248
64500,1218,1261,1265,1251,1248
65000,1218,1261,1265,1251,1248
65500,1218,1261,1259,1251,1247
66000,1218,1261,1259,1251,1247
66500,1218,1261,1259,1251,1247
67000,1218,1261,1259,1251,1247
67500,1218,1261,1258,1251,1247
68000,1218,1261,1258,1251,1247
68500,1218,1261,1258,1251,1247
69000,1218,1261,1258,1251,1247
69500,1218,1261,1258,1251,1247
70000,1218,1261,1257,1251,1247
70500,1218,1261,1257,1251,1247
71000,1218,1261,1255,1251,1247
71500,1218,1261,1255,1251,1247
72000,1218,1261,1255,1251,1247
72500,1218,1261,1254,1251,1247
73000,1218,1261,1254,1251,1247
73500,1218,1261,1254,1251,1247
74000,1218,1261,1254,1251,1247
74500,1218,1261,1254,1251,1247
