Selection,T
Cross Over,SC
Mutation,IM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1461,1495,1458,1388,1447
500,1271,1262,1293,1305,1246
1000,1271,1225,1284,1255,1245
1500,1271,1220,1284,1255,1245
2000,1271,1220,1282,1255,1245
2500,1271,1220,1262,1249,1244
3000,1266,1220,1253,1249,1244
3500,1235,1220,1253,1248,1242
4000,1233,1220,1253,1248,1242
4500,1232,1220,1250,1248,1232
5000,1232,1220,1246,1248,1228
5500,1232,1220,1244,1248,1228
6000,1232,1220,1244,1248,1225
6500,1232,1220,1243,1248,1225
7000,1232,1220,1243,1248,1225
7500,1232,1220,1243,1248,1214
8000,1232,1220,1243,1248,1207
8500,1232,1220,1243,1248,1207
9000,1232,1220,1243,1248,1205
9500,1232,1219,1240,1248,1205
10000,1232,1219,1240,1243,1205
10500,1232,1219,1240,1243,1205
11000,1232,1218,1238,1243,1205
11500,1232,1218,1238,1243,1205
12000,1232,1218,1238,1243,1205
12500,1232,1212,1238,1243,1205
13000,1232,1212,1238,1243,1205
13500,1232,1212,1236,1243,1205
14000,1232,1212,1236,1243,1205
14500,1232,1210,1236,1243,1204
15000,1232,1210,1235,1243,1204
15500,1232,1210,1235,1243,1203
16000,1232,1206,1235,1243,1203
16500,1232,1206,1232,1243,1191
17000,1232,1206,1232,1243,1191
17500,1228,1206,1230,1243,1191
18000,1228,1206,1230,1243,1191
18500,1228,1206,1230,1243,1191
19000,1226,1206,1230,1243,1191
19500,1223,1206,1230,1243,1190
20000,1223,1206,1230,1243,1190
20500,1220,1206,1230,1243,1190
21000,1220,1206,1230,1243,1190
21500,1220,1206,1230,1243,1190
22000,1220,1206,1222,1243,1190
22500,1220,1206,1216,1243,1190
23000,1220,1206,1216,1243,1190
23500,1220,1206,1209,1243,1190
24000,1220,1206,1209,1243,1185
24500,1220,1206,1209,1243,1185
25000,1220,1206,1206,1243,1185
25500,1220,1206,1205,1243,1185
26000,1220,1206,1205,1243,1185
26500,1220,1206,1205,1243,1185
27000,1220,1206,1205,1243,1185
27500,1220,1206,1205,1243,1185
28000,1220,1206,1205,1243,1185
28500,1220,1206,1205,1243,1185
29000,1220,1206,1205,1242,1185
29500,1220,1206,1205,1242,1185
30000,1220,1206,1205,1242,1185
30500,1220,1206,1205,1242,1185
31000,1220,1206,1205,1242,1185
31500,1220,1204,1205,1242,1185
32000,1220,1204,1205,1242,1185
32500,1220,1204,1205,1242,1185
33000,1220,1204,1205,1241,1185
33500,1220,1200,1205,1241,1185
34000,1220,1199,1205,1241,1185
34500,1220,1194,1205,1241,1185
35000,1220,1194,1205,1241,1185
35500,1220,1194,1205,1241,1185
36000,1220,1194,1205,1241,1185
36500,1220,1194,1205,1241,1185
37000,1220,1194,1204,1241,1185
37500,1220,1194,1204,1241,1185
38000,1220,1194,1204,1241,1185
38500,1220,1194,1204,1241,1185
39000,1220,1194,1204,1241,1182
39500,1220,1194,1204,1241,1182
40000,1220,1194,1204,1241,1182
40500,1220,1194,1204,1241,1182
41000,1220,1194,1204,1241,1182
41500,1220,1194,1204,1241,1182
42000,1220,1194,1204,1241,1182
42500,1219,1194,1204,1241,1182
43000,1219,1194,1204,1241,1182
43500,1219,1194,1204,1241,1182
44000,1219,1194,1197,1241,1182
44500,1219,1194,1197,1241,1182
45000,1219,1194,1197,1241,1182
45500,1219,1189,1197,1241,1182
46000,1219,1189,1197,1235,1182
46500,1219,1189,1197,1235,1182
47000,1219,1182,1197,1232,1182
47500,1219,1182,1197,1232,1182
48000,1219,1182,1197,1232,1182
48500,1219,1182,1197,1232,1182
49000,1219,1182,1197,1232,1182
49500,1219,1182,1197,1225,1182
50000,1219,1182,1197,1219,1182
50500,1219,1182,1197,1219,1182
51000,1219,1182,1197,1219,1182
51500,1219,1182,1197,1219,1182
52000,1219,1182,1197,1219,1182
52500,1219,1182,1197,1219,1182
53000,1219,1182,1197,1219,1182
53500,1219,1182,1197,1219,1182
54000,1219,1182,1197,1219,1182
54500,1219,1182,1197,1219,1182
55000,1219,1182,1197,1219,1182
55500,1219,1182,1197,1219,1182
56000,1219,1182,1197,1219,1182
56500,1219,1182,1197,1219,1182
57000,1219,1182,1197,1219,1182
57500,1219,1182,1197,1219,1182
58000,1219,1182,1197,1219,1182
58500,1219,1182,1197,1219,1182
59000,1219,1182,1197,1218,1182
59500,1219,1181,1197,1216,1182
60000,1219,1181,1197,1216,1182
60500,1219,1181,1197,1215,1182
61000,1219,1181,1197,1215,1182
61500,1219,1181,1197,1215,1182
62000,1219,1181,1197,1215,1182
62500,1219,1181,1197,1215,1182
63000,1219,1181,1197,1215,1182
63500,1219,1180,1197,1215,1182
64000,1219,1180,1197,1215,1182
64500,1219,1180,1197,1215,1182
65000,1219,1180,1197,1215,1182
65500,1219,1180,1197,1215,1182
66000,1219,1180,1197,1215,1182
66500,1219,1180,1197,1215,1182
67000,1219,1180,1197,1215,1182
67500,1219,1180,1197,1215,1182
68000,1219,1180,1197,1215,1182
68500,1219,1180,1197,1215,1182
69000,1219,1180,1197,1215,1182
69500,1219,1180,1197,1215,1182
70000,1219,1180,1197,1215,1182
70500,1219,1180,1197,1215,1182
71000,1219,1180,1197,1215,1182
71500,1219,1180,1196,1215,1182
72000,1219,1180,1196,1215,1182
72500,1219,1180,1196,1215,1182
73000,1219,1180,1196,1215,1182
73500,1219,1180,1196,1215,1182
74000,1219,1180,1196,1215,1182
74500,1219,1180,1196,1215,1182
