Selection,T
Cross Over,SC
Mutation,RM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1420,1436,1460,1450,1478
500,1308,1312,1313,1335,1311
1000,1308,1290,1295,1303,1299
1500,1308,1290,1295,1288,1289
2000,1308,1279,1295,1288,1283
2500,1286,1279,1295,1288,1283
3000,1274,1279,1295,1288,1243
3500,1274,1279,1295,1286,1243
4000,1274,1275,1295,1286,1242
4500,1274,1275,1295,1286,1242
5000,1274,1275,1295,1286,1242
5500,1274,1275,1274,1286,1235
6000,1266,1275,1269,1286,1235
6500,1266,1275,1269,1286,1217
7000,1266,1275,1269,1286,1217
7500,1266,1273,1269,1286,1217
8000,1266,1273,1269,1286,1217
8500,1266,1272,1269,1286,1217
9000,1266,1216,1269,1286,1217
9500,1266,1216,1269,1286,1217
10000,1266,1216,1269,1286,1217
10500,1266,1216,1269,1286,1217
11000,1266,1216,1269,1286,1217
11500,1266,1216,1269,1286,1217
12000,1266,1216,1269,1286,1217
12500,1266,1216,1248,1286,1217
13000,1266,1216,1248,1286,1217
13500,1266,1216,1248,1285,1217
14000,1266,1216,1248,1285,1217
14500,1266,1216,1248,1285,1217
15000,1266,1216,1248,1285,1217
15500,1266,1216,1248,1285,1217
16000,1266,1216,1248,1285,1217
16500,1266,1216,1248,1285,1217
17000,1266,1216,1248,1285,1217
17500,1266,1216,1248,1285,1217
18000,1266,1216,1248,1285,1217
18500,1266,1216,1248,1285,1217
19000,1266,1216,1248,1285,1217
19500,1266,1216,1248,1285,1217
20000,1266,1216,1248,1285,1217
20500,1266,1216,1248,1285,1217
21000,1266,1216,1248,1275,1217
21500,1266,1216,1248,1275,1217
22000,1266,1216,1248,1275,1217
22500,1266,1216,1248,1275,1217
23000,1266,1216,1248,1275,1217
23500,1266,1216,1248,1275,1217
24000,1266,1216,1248,1275,1217
24500,1266,1216,1248,1275,1217
25000,1266,1216,1248,1275,1217
25500,1266,1216,1248,1275,1217
26000,1266,1216,1248,1275,1217
26500,1266,1216,1248,1275,1217
27000,1266,1216,1248,1275,1217
27500,1266,1216,1245,1275,1217
28000,1266,1216,1245,1275,1217
28500,1266,1216,1245,1275,1217
29000,1266,1216,1245,1275,1217
29500,1266,1216,1245,1275,1217
30000,1266,1216,1245,1275,1217
30500,1266,1216,1245,1275,1217
31000,1266,1216,1245,1275,1217
31500,1266,1216,1245,1275,1217
32000,1266,1216,1245,1275,1217
32500,1266,1216,1245,1275,1217
33000,1266,1216,1245,1275,1217
33500,1266,1216,1241,1275,1217
34000,1266,1216,1241,1275,1217
34500,1266,1216,1241,1275,1217
35000,1266,1216,1241,1275,1217
35500,1266,1216,1241,1275,1217
36000,1266,1216,1241,1275,1217
36500,1266,1216,1241,1275,1217
37000,1266,1216,1241,1275,1217
37500,1266,1216,1241,1275,1217
38000,1266,1216,1241,1275,1217
38500,1266,1216,1241,1275,1217
39000,1266,1216,1235,1275,1217
39500,1266,1216,1235,1275,1217
40000,1266,1216,1235,1275,1217
40500,1266,1216,1235,1275,1217
41000,1266,1216,1235,1275,1217
41500,1266,1216,1235,1275,1217
42000,1266,1216,1235,1275,1217
42500,1266,1216,1235,1275,1217
43000,1266,1216,1235,1275,1217
43500,1266,1216,1235,1275,1217
44000,1266,1216,1235,1275,1217
44500,1266,1216,1235,1275,1217
45000,1266,1216,1235,1275,1217
45500,1266,1216,1235,1275,1217
46000,1266,1216,1235,1275,1217
46500,1266,1216,1235,1275,1217
47000,1266,1216,1235,1275,1217
47500,1266,1216,1235,1275,1217
48000,1266,1216,1235,1275,1217
48500,1266,1216,1235,1275,1217
49000,1266,1216,1235,1275,1217
49500,1266,1216,1235,1275,1217
50000,1266,1216,1235,1275,1217
50500,1266,1216,1235,1275,1217
51000,1266,1216,1235,1275,1217
51500,1266,1216,1235,1275,1217
52000,1266,1216,1235,1275,1217
52500,1266,1216,1235,1275,1217
53000,1266,1216,1235,1275,1217
53500,1266,1216,1235,1275,1217
54000,1266,1216,1235,1275,1217
54500,1266,1216,1235,1275,1217
55000,1266,1216,1235,1275,1217
55500,1266,1216,1235,1275,1217
56000,1266,1216,1235,1275,1217
56500,1266,1216,1235,1275,1217
57000,1266,1216,1235,1275,1217
57500,1266,1216,1235,1275,1217
58000,1266,1216,1235,1275,1217
58500,1266,1216,1235,1275,1217
59000,1266,1216,1235,1275,1217
59500,1266,1216,1235,1275,1217
60000,1266,1216,1235,1275,1217
60500,1266,1216,1235,1275,1217
61000,1266,1216,1235,1275,1217
61500,1266,1216,1235,1275,1217
62000,1266,1216,1235,1275,1217
62500,1266,1216,1235,1275,1217
63000,1266,1216,1235,1275,1217
63500,1266,1216,1235,1275,1217
64000,1266,1216,1235,1275,1217
64500,1261,1216,1235,1275,1217
65000,1261,1216,1235,1275,1217
65500,1260,1216,1235,1275,1217
66000,1260,1216,1235,1275,1217
66500,1260,1216,1235,1275,1217
67000,1260,1216,1235,1275,1217
67500,1260,1216,1235,1275,1217
68000,1260,1216,1235,1275,1217
68500,1260,1216,1235,1275,1217
69000,1260,1216,1235,1275,1217
69500,1260,1216,1235,1275,1217
70000,1260,1216,1235,1275,1217
70500,1260,1216,1235,1275,1217
71000,1260,1216,1235,1275,1217
71500,1260,1216,1235,1275,1217
72000,1260,1216,1235,1275,1217
72500,1260,1216,1235,1275,1217
73000,1260,1216,1235,1275,1217
73500,1260,1216,1235,1275,1217
74000,1260,1216,1235,1275,1217
74500,1260,1216,1235,1275,1217
