Selection,T
Cross Over,SC
Mutation,SM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1451,1458,1435,1408,1450
500,1219,1253,1288,1238,1241
1000,1219,1253,1262,1213,1236
1500,1219,1250,1251,1181,1236
2000,1219,1241,1243,1180,1236
2500,1219,1233,1243,1180,1236
3000,1219,1233,1243,1180,1236
3500,1219,1226,1243,1180,1234
4000,1219,1207,1243,1180,1233
4500,1219,1184,1243,1180,1233
5000,1219,1184,1221,1180,1229
5500,1219,1184,1221,1176,1208
6000,1219,1182,1221,1176,1203
6500,1219,1180,1221,1176,1203
7000,1219,1180,1221,1176,1198
7500,1219,1180,1221,1176,1198
8000,1219,1180,1220,1176,1197
8500,1219,1180,1217,1176,1197
9000,1219,1180,1217,1176,1197
9500,1219,1180,1217,1176,1197
10000,1219,1180,1217,1176,1197
10500,1219,1180,1217,1176,1197
11000,1219,1180,1217,1176,1197
11500,1219,1180,1217,1176,1197
12000,1219,1180,1217,1176,1197
12500,1219,1180,1217,1176,1197
13000,1219,1180,1217,1176,1190
13500,1219,1180,1217,1176,1185
14000,1219,1180,1217,1176,1182
14500,1219,1180,1217,1176,1182
15000,1212,1180,1217,1176,1180
15500,1212,1180,1217,1176,1180
16000,1212,1180,1217,1176,1180
16500,1212,1180,1217,1176,1180
17000,1212,1180,1217,1176,1180
17500,1211,1180,1217,1176,1180
18000,1211,1180,1217,1176,1180
18500,1211,1180,1217,1176,1180
19000,1211,1180,1217,1173,1180
19500,1211,1180,1217,1173,1180
20000,1211,1180,1217,1173,1180
20500,1211,1180,1217,1173,1180
21000,1211,1180,1217,1173,1180
21500,1211,1180,1217,1173,1180
22000,1211,1180,1217,1173,1180
22500,1211,1180,1217,1173,1180
23000,1211,1180,1217,1173,1180
23500,1211,1180,1217,1173,1180
24000,1211,1180,1217,1173,1180
24500,1211,1180,1217,1173,1180
25000,1211,1180,1217,1173,1180
25500,1211,1180,1217,1173,1180
26000,1211,1180,1217,1173,1180
26500,1211,1180,1217,1173,1180
27000,1211,1180,1217,1173,1180
27500,1211,1180,1217,1173,1180
28000,1211,1180,1217,1173,1180
28500,1211,1180,1217,1173,1180
29000,1211,1180,1217,1173,1180
29500,1211,1180,1217,1173,1180
30000,1211,1180,1217,1173,1180
30500,1211,1180,1217,1173,1180
31000,1211,1180,1217,1173,1180
31500,1211,1180,1217,1173,1180
32000,1211,1180,1217,1173,1180
32500,1211,1180,1217,1173,1180
33000,1211,1180,1217,1173,1180
33500,1211,1180,1217,1173,1180
34000,1211,1180,1217,1173,1180
34500,1211,1180,1217,1173,1180
35000,1211,1180,1217,1173,1180
35500,1211,1180,1217,1173,1180
36000,1211,1180,1217,1173,1180
36500,1211,1180,1217,1173,1180
37000,1211,1180,1217,1173,1180
37500,1211,1180,1217,1173,1180
38000,1211,1180,1217,1173,1180
38500,1211,1180,1217,1173,1180
39000,1211,1180,1217,1173,1180
39500,1211,1180,1217,1173,1180
40000,1211,1180,1217,1173,1180
40500,1211,1180,1217,1173,1180
41000,1211,1180,1217,1173,1180
41500,1211,1180,1217,1173,1180
42000,1211,1180,1217,1173,1180
42500,1211,1180,1217,1173,1180
43000,1211,1180,1217,1173,1180
43500,1208,1180,1217,1173,1180
44000,1200,1180,1217,1173,1180
44500,1200,1180,1217,1173,1180
45000,1200,1180,1217,1173,1180
45500,1200,1180,1217,1173,1180
46000,1200,1180,1217,1173,1180
46500,1200,1180,1217,1173,1180
47000,1200,1180,1217,1173,1180
47500,1200,1180,1217,1173,1180
48000,1200,1180,1217,1173,1180
48500,1200,1180,1217,1173,1180
49000,1200,1180,1217,1173,1180
49500,1200,1180,1217,1173,1180
50000,1200,1180,1217,1173,1180
50500,1200,1180,1217,1173,1180
51000,1200,1180,1217,1173,1180
51500,1196,1180,1217,1173,1180
52000,1195,1180,1217,1173,1180
52500,1187,1180,1217,1173,1180
53000,1180,1180,1217,1173,1180
53500,1180,1180,1217,1173,1180
54000,1180,1180,1217,1173,1180
54500,1180,1180,1217,1173,1180
55000,1180,1180,1217,1173,1180
55500,1180,1180,1217,1173,1180
56000,1180,1180,1217,1173,1180
56500,1180,1180,1217,1173,1180
57000,1180,1180,1217,1173,1180
57500,1180,1180,1217,1173,1180
58000,1180,1180,1217,1173,1180
58500,1180,1180,1217,1173,1180
59000,1180,1180,1217,1173,1180
59500,1180,1180,1217,1173,1180
60000,1180,1180,1217,1173,1180
60500,1180,1180,1217,1173,1180
61000,1180,1180,1217,1173,1180
61500,1180,1180,1217,1173,1180
62000,1180,1180,1217,1173,1180
62500,1180,1180,1217,1173,1180
63000,1180,1180,1217,1173,1180
63500,1180,1180,1217,1173,1180
64000,1180,1180,1217,1173,1180
64500,1180,1180,1217,1173,1180
65000,1180,1180,1217,1173,1180
65500,1180,1180,1217,1173,1180
66000,1180,1180,1217,1173,1180
66500,1180,1180,1217,1173,1180
67000,1180,1180,1217,1173,1180
67500,1180,1180,1217,1173,1180
68000,1180,1180,1217,1173,1180
68500,1180,1180,1217,1173,1180
69000,1180,1180,1217,1173,1180
69500,1180,1180,1217,1173,1180
70000,1180,1180,1217,1173,1180
70500,1180,1180,1217,1173,1180
71000,1180,1180,1217,1173,1180
71500,1180,1180,1217,1173,1180
72000,1180,1180,1217,1173,1180
72500,1180,1180,1217,1173,1180
73000,1180,1180,1217,1173,1180
73500,1180,1180,1217,1173,1180
74000,1180,1180,1217,1173,1180
74500,1180,1180,1217,1173,1180
