Selection,T
Cross Over,SC
Mutation,SPSM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1477,1440,1430,1446,1448
500,1307,1266,1262,1296,1295
1000,1307,1266,1261,1295,1277
1500,1271,1262,1261,1295,1277
2000,1268,1260,1261,1295,1277
2500,1267,1258,1261,1295,1277
3000,1267,1242,1261,1294,1277
3500,1263,1242,1261,1294,1277
4000,1263,1242,1261,1294,1277
4500,1263,1242,1261,1294,1276
5000,1263,1242,1261,1294,1218
5500,1263,1242,1261,1294,1218
6000,1263,1242,1261,1294,1218
6500,1263,1242,1261,1294,1218
7000,1263,1242,1261,1294,1218
7500,1263,1242,1261,1294,1218
8000,1263,1242,1261,1294,1218
8500,1263,1242,1261,1294,1218
9000,1263,1242,1261,1294,1218
9500,1263,1242,1261,1294,1218
10000,1263,1242,1261,1294,1218
10500,1263,1242,1261,1294,1218
11000,1263,1242,1261,1294,1217
11500,1263,1242,1261,1294,1217
12000,1263,1242,1261,1294,1217
12500,1263,1242,1261,1294,1217
13000,1263,1242,1261,1294,1217
13500,1263,1242,1261,1294,1217
14000,1263,1242,1261,1294,1217
14500,1263,1242,1261,1294,1217
15000,1263,1242,1261,1294,1217
15500,1263,1242,1261,1294,1217
16000,1263,1242,1254,1294,1217
16500,1263,1242,1253,1294,1217
17000,1263,1242,1252,1294,1217
17500,1263,1242,1250,1294,1217
18000,1263,1242,1250,1294,1217
18500,1263,1242,1250,1294,1217
19000,1263,1242,1250,1294,1217
19500,1263,1242,1250,1294,1217
20000,1263,1242,1250,1294,1217
20500,1263,1242,1250,1294,1217
21000,1263,1242,1250,1294,1217
21500,1263,1242,1250,1294,1217
22000,1263,1242,1250,1294,1217
22500,1263,1242,1250,1294,1217
23000,1263,1242,1250,1294,1217
23500,1263,1242,1250,1294,1217
24000,1263,1242,1250,1294,1217
24500,1263,1242,1250,1294,1217
25000,1263,1242,1250,1294,1217
25500,1263,1242,1250,1294,1217
26000,1263,1242,1250,1294,1217
26500,1263,1242,1250,1294,1217
27000,1263,1242,1250,1294,1217
27500,1263,1242,1250,1294,1217
28000,1263,1242,1250,1294,1217
28500,1263,1242,1250,1294,1217
29000,1263,1242,1250,1294,1217
29500,1263,1242,1250,1294,1217
30000,1263,1242,1250,1294,1217
30500,1263,1242,1250,1294,1217
31000,1263,1242,1250,1294,1217
31500,1263,1242,1250,1294,1217
32000,1263,1242,1250,1294,1217
32500,1263,1242,1250,1294,1217
33000,1263,1242,1250,1294,1217
33500,1263,1242,1250,1294,1217
34000,1263,1242,1250,1294,1217
34500,1263,1242,1250,1294,1217
35000,1263,1242,1250,1294,1217
35500,1263,1242,1250,1294,1217
36000,1263,1242,1250,1294,1217
36500,1263,1242,1250,1294,1217
37000,1263,1242,1250,1294,1217
37500,1263,1242,1250,1294,1217
38000,1263,1242,1250,1294,1217
38500,1263,1242,1250,1294,1217
39000,1263,1242,1250,1294,1217
39500,1263,1242,1250,1294,1217
40000,1263,1242,1250,1294,1217
40500,1263,1242,1250,1294,1217
41000,1263,1242,1250,1294,1217
41500,1263,1242,1250,1294,1217
42000,1263,1242,1250,1285,1217
42500,1263,1242,1250,1285,1217
43000,1263,1242,1250,1285,1217
43500,1263,1242,1250,1285,1217
44000,1263,1242,1250,1285,1217
44500,1263,1242,1250,1285,1217
45000,1263,1242,1250,1285,1217
45500,1263,1242,1250,1285,1217
46000,1263,1242,1250,1285,1217
46500,1263,1242,1250,1285,1217
47000,1263,1242,1250,1285,1217
47500,1263,1242,1250,1285,1217
48000,1263,1242,1250,1285,1217
48500,1263,1242,1250,1285,1217
49000,1263,1242,1250,1285,1217
49500,1263,1242,1250,1285,1217
50000,1263,1242,1250,1285,1217
50500,1263,1242,1250,1285,1217
51000,1263,1242,1250,1285,1217
51500,1263,1242,1250,1285,1217
52000,1263,1242,1250,1285,1217
52500,1263,1242,1250,1285,1217
53000,1263,1233,1250,1285,1217
53500,1263,1233,1250,1285,1217
54000,1263,1233,1250,1285,1217
54500,1263,1231,1250,1285,1217
55000,1263,1231,1250,1285,1217
55500,1263,1231,1250,1285,1217
56000,1263,1231,1250,1285,1217
56500,1263,1231,1250,1285,1217
57000,1263,1231,1250,1285,1217
57500,1263,1231,1250,1285,1217
58000,1263,1227,1250,1285,1217
58500,1263,1227,1250,1285,1217
59000,1263,1227,1250,1285,1217
59500,1263,1227,1250,1285,1217
60000,1263,1227,1250,1285,1217
60500,1263,1227,1250,1285,1217
61000,1263,1227,1250,1285,1217
61500,1263,1227,1250,1285,1217
62000,1263,1227,1250,1285,1217
62500,1263,1227,1250,1285,1217
63000,1263,1227,1250,1280,1217
63500,1263,1227,1250,1280,1217
64000,1263,1227,1250,1280,1217
64500,1263,1227,1250,1280,1217
65000,1263,1227,1250,1280,1217
65500,1263,1227,1250,1280,1217
66000,1263,1227,1250,1280,1217
66500,1263,1227,1250,1280,1217
67000,1263,1227,1250,1280,1217
67500,1263,1227,1250,1239,1217
68000,1263,1227,1250,1226,1217
68500,1263,1227,1250,1226,1217
69000,1263,1227,1250,1226,1217
69500,1263,1227,1250,1226,1217
70000,1263,1227,1250,1226,1217
70500,1263,1227,1250,1226,1217
71000,1263,1227,1250,1226,1217
71500,1263,1227,1250,1226,1217
72000,1263,1227,1250,1226,1217
72500,1263,1227,1250,1226,1217
73000,1263,1227,1250,1226,1217
73500,1263,1227,1250,1226,1217
74000,1263,1227,1250,1226,1217
74500,1263,1227,1250,1226,1217
