Selection,T
Cross Over,UC
Mutation,DPSM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1428,1401,1443,1431,1466
500,1287,1272,1289,1332,1299
1000,1275,1259,1288,1330,1299
1500,1269,1253,1270,1326,1293
2000,1255,1253,1265,1322,1293
2500,1248,1253,1251,1319,1287
3000,1248,1253,1251,1308,1287
3500,1248,1253,1244,1308,1287
4000,1235,1253,1239,1298,1287
4500,1225,1253,1236,1298,1287
5000,1225,1253,1236,1293,1287
5500,1225,1253,1236,1293,1287
6000,1225,1253,1235,1291,1287
6500,1225,1253,1235,1266,1287
7000,1225,1251,1235,1266,1287
7500,1225,1245,1232,1266,1287
8000,1225,1245,1232,1266,1287
8500,1225,1245,1232,1266,1285
9000,1225,1229,1232,1266,1279
9500,1225,1226,1232,1266,1279
10000,1225,1226,1232,1265,1276
10500,1224,1226,1232,1265,1273
11000,1224,1226,1232,1265,1273
11500,1224,1226,1232,1265,1273
12000,1224,1226,1232,1265,1270
12500,1224,1226,1232,1265,1267
13000,1224,1226,1232,1265,1267
13500,1224,1226,1232,1264,1267
14000,1224,1223,1232,1264,1267
14500,1224,1223,1232,1264,1267
15000,1224,1223,1232,1264,1267
15500,1224,1223,1232,1264,1267
16000,1224,1223,1232,1264,1267
16500,1224,1218,1232,1264,1267
17000,1224,1218,1232,1264,1267
17500,1224,1218,1232,1264,1267
18000,1224,1218,1232,1264,1267
18500,1224,1218,1232,1263,1267
19000,1224,1218,1232,1263,1267
19500,1224,1218,1232,1263,1267
20000,1224,1218,1232,1254,1267
20500,1224,1218,1232,1254,1267
21000,1224,1218,1232,1254,1267
21500,1224,1218,1232,1254,1267
22000,1224,1218,1232,1254,1267
22500,1224,1218,1232,1254,1267
23000,1224,1210,1232,1254,1267
23500,1224,1206,1232,1254,1267
24000,1224,1206,1232,1254,1267
24500,1224,1206,1232,1254,1267
25000,1224,1206,1232,1254,1267
25500,1224,1206,1232,1254,1267
26000,1224,1206,1232,1254,1267
26500,1224,1206,1232,1254,1267
27000,1224,1206,1232,1254,1267
27500,1224,1206,1232,1254,1267
28000,1224,1206,1232,1254,1267
28500,1224,1206,1232,1254,1267
29000,1224,1206,1232,1254,1267
29500,1224,1206,1232,1254,1267
30000,1224,1206,1232,1254,1266
30500,1224,1206,1232,1254,1266
31000,1224,1203,1232,1254,1266
31500,1224,1202,1232,1254,1266
32000,1224,1202,1232,1254,1266
32500,1224,1202,1232,1254,1266
33000,1224,1202,1232,1254,1266
33500,1224,1202,1232,1254,1266
34000,1224,1202,1232,1254,1266
34500,1224,1202,1232,1254,1266
35000,1224,1202,1232,1254,1262
35500,1224,1200,1232,1254,1262
36000,1224,1200,1232,1254,1262
36500,1224,1200,1232,1254,1262
37000,1224,1200,1232,1254,1262
37500,1224,1200,1226,1254,1262
38000,1224,1200,1224,1254,1262
38500,1224,1200,1224,1254,1262
39000,1224,1200,1224,1254,1262
39500,1224,1200,1224,1254,1262
40000,1224,1200,1224,1254,1262
40500,1224,1200,1224,1254,1262
41000,1224,1200,1224,1254,1262
41500,1224,1200,1224,1254,1262
42000,1224,1198,1224,1254,1262
42500,1224,1198,1224,1254,1262
43000,1224,1198,1224,1254,1262
43500,1224,1198,1224,1254,1262
44000,1224,1198,1224,1254,1262
44500,1224,1198,1224,1254,1262
45000,1224,1198,1224,1254,1262
45500,1224,1198,1224,1254,1262
46000,1224,1198,1224,1254,1262
46500,1224,1198,1224,1254,1262
47000,1224,1198,1224,1254,1262
47500,1224,1198,1224,1254,1262
48000,1224,1198,1224,1254,1262
48500,1224,1198,1224,1254,1259
49000,1224,1198,1224,1254,1259
49500,1224,1198,1223,1254,1259
50000,1224,1198,1223,1254,1259
50500,1224,1198,1223,1254,1259
51000,1224,1198,1223,1254,1259
51500,1224,1198,1223,1254,1258
52000,1224,1198,1223,1254,1258
52500,1224,1198,1223,1254,1258
53000,1224,1198,1223,1254,1258
53500,1224,1198,1223,1254,1258
54000,1224,1198,1223,1254,1258
54500,1224,1198,1223,1254,1258
55000,1224,1198,1223,1254,1258
55500,1224,1198,1223,1254,1258
56000,1224,1197,1223,1254,1258
56500,1224,1197,1223,1254,1258
57000,1224,1197,1223,1254,1258
57500,1224,1197,1223,1254,1258
58000,1224,1197,1223,1254,1258
58500,1224,1197,1223,1254,1258
59000,1224,1197,1223,1254,1258
59500,1223,1197,1223,1254,1258
60000,1223,1197,1223,1254,1258
60500,1223,1197,1223,1254,1258
61000,1223,1197,1223,1254,1258
61500,1222,1197,1223,1254,1258
62000,1222,1197,1223,1254,1258
62500,1222,1197,1223,1254,1258
63000,1222,1197,1223,1254,1258
63500,1222,1197,1223,1254,1258
64000,1222,1197,1223,1254,1258
64500,1222,1197,1223,1254,1258
65000,1219,1197,1223,1254,1258
65500,1218,1197,1223,1254,1258
66000,1218,1197,1223,1254,1258
66500,1218,1197,1223,1254,1258
67000,1218,1197,1223,1254,1258
67500,1218,1197,1223,1254,1258
68000,1218,1197,1223,1254,1258
68500,1218,1197,1223,1254,1258
69000,1218,1197,1223,1254,1258
69500,1218,1197,1223,1254,1258
70000,1218,1197,1223,1254,1258
70500,1218,1197,1223,1254,1258
71000,1218,1197,1223,1254,1258
71500,1218,1197,1223,1254,1258
72000,1218,1197,1223,1254,1258
72500,1218,1197,1223,1254,1258
73000,1218,1197,1223,1254,1258
73500,1218,1197,1223,1254,1258
74000,1218,1190,1223,1254,1258
74500,1218,1190,1223,1254,1258
