Selection,T
Cross Over,UC
Mutation,IM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1404,1429,1472,1431,1463
500,1272,1346,1302,1324,1258
1000,1235,1332,1272,1274,1238
1500,1220,1324,1272,1273,1213
2000,1200,1324,1272,1253,1213
2500,1200,1273,1272,1253,1213
3000,1200,1228,1270,1251,1213
3500,1200,1228,1267,1251,1205
4000,1200,1228,1265,1249,1204
4500,1200,1228,1265,1249,1204
5000,1200,1228,1263,1249,1204
5500,1200,1228,1259,1247,1204
6000,1200,1228,1259,1239,1204
6500,1200,1228,1248,1238,1204
7000,1200,1228,1248,1232,1204
7500,1200,1228,1244,1228,1203
8000,1200,1228,1221,1227,1203
8500,1200,1228,1221,1227,1203
9000,1200,1227,1221,1224,1203
9500,1200,1223,1221,1224,1203
10000,1200,1223,1221,1219,1203
10500,1200,1223,1221,1219,1203
11000,1200,1223,1221,1219,1203
11500,1200,1223,1216,1219,1203
12000,1200,1223,1212,1218,1203
12500,1200,1219,1212,1218,1203
13000,1200,1219,1212,1218,1203
13500,1200,1216,1212,1218,1203
14000,1200,1216,1212,1218,1203
14500,1200,1216,1212,1214,1203
15000,1200,1216,1212,1214,1203
15500,1200,1216,1212,1214,1203
16000,1200,1216,1209,1214,1203
16500,1200,1216,1209,1214,1203
17000,1200,1216,1209,1214,1203
17500,1200,1216,1209,1214,1203
18000,1200,1216,1209,1214,1203
18500,1200,1216,1209,1214,1203
19000,1200,1216,1209,1214,1203
19500,1200,1216,1209,1214,1203
20000,1200,1216,1209,1210,1201
20500,1200,1216,1209,1210,1201
21000,1200,1216,1209,1210,1201
21500,1200,1216,1209,1210,1199
22000,1200,1216,1209,1210,1197
22500,1200,1216,1208,1210,1195
23000,1200,1216,1208,1210,1195
23500,1200,1216,1208,1210,1195
24000,1200,1216,1208,1210,1195
24500,1200,1216,1208,1210,1195
25000,1200,1216,1208,1210,1195
25500,1200,1216,1207,1210,1195
26000,1200,1215,1204,1210,1195
26500,1200,1215,1202,1210,1195
27000,1200,1215,1202,1210,1195
27500,1200,1215,1202,1210,1195
28000,1200,1215,1202,1210,1195
28500,1200,1215,1202,1210,1195
29000,1200,1215,1202,1210,1195
29500,1200,1215,1202,1210,1195
30000,1200,1215,1202,1208,1195
30500,1200,1215,1202,1208,1195
31000,1200,1215,1202,1208,1195
31500,1200,1215,1202,1207,1195
32000,1200,1215,1202,1207,1195
32500,1200,1215,1202,1207,1195
33000,1200,1215,1202,1207,1195
33500,1200,1215,1202,1207,1195
34000,1200,1215,1201,1207,1195
34500,1200,1215,1201,1207,1195
35000,1200,1215,1201,1207,1195
35500,1200,1215,1201,1207,1195
36000,1200,1215,1201,1207,1195
36500,1200,1215,1201,1207,1195
37000,1200,1215,1201,1207,1195
37500,1200,1215,1201,1207,1195
38000,1200,1215,1201,1207,1195
38500,1200,1215,1201,1207,1195
39000,1200,1215,1201,1207,1195
39500,1200,1215,1201,1207,1195
40000,1200,1215,1201,1207,1195
40500,1200,1215,1201,1207,1195
41000,1200,1215,1201,1207,1195
41500,1200,1215,1201,1207,1195
42000,1200,1212,1201,1207,1195
42500,1200,1211,1201,1207,1195
43000,1200,1211,1201,1207,1195
43500,1200,1211,1201,1207,1195
44000,1200,1211,1201,1207,1195
44500,1200,1211,1201,1207,1195
45000,1200,1211,1201,1207,1195
45500,1200,1211,1201,1207,1195
46000,1200,1210,1201,1207,1195
46500,1200,1210,1201,1207,1195
47000,1200,1210,1201,1207,1195
47500,1200,1210,1201,1207,1195
48000,1200,1210,1201,1207,1195
48500,1200,1210,1201,1207,1195
49000,1200,1210,1195,1207,1195
49500,1200,1210,1193,1207,1195
50000,1200,1210,1193,1207,1195
50500,1200,1210,1192,1207,1195
51000,1200,1210,1192,1207,1195
51500,1200,1210,1192,1207,1195
52000,1200,1210,1192,1207,1195
52500,1200,1210,1192,1207,1195
53000,1200,1210,1192,1207,1195
53500,1200,1210,1192,1207,1195
54000,1200,1210,1192,1207,1195
54500,1200,1210,1192,1207,1195
55000,1200,1210,1192,1207,1195
55500,1200,1210,1192,1207,1195
56000,1200,1210,1192,1207,1195
56500,1200,1210,1192,1207,1195
57000,1190,1210,1192,1207,1195
57500,1190,1210,1192,1207,1195
58000,1186,1210,1192,1207,1195
58500,1186,1210,1192,1207,1195
59000,1186,1210,1192,1207,1195
59500,1186,1210,1189,1207,1195
60000,1186,1210,1187,1207,1195
60500,1186,1210,1187,1207,1195
61000,1186,1210,1187,1207,1195
61500,1186,1210,1187,1207,1195
62000,1186,1210,1187,1207,1195
62500,1186,1210,1187,1207,1195
63000,1186,1210,1187,1207,1195
63500,1186,1210,1187,1207,1195
64000,1186,1210,1187,1207,1195
64500,1186,1210,1187,1207,1195
65000,1186,1210,1187,1207,1195
65500,1186,1210,1187,1207,1195
66000,1186,1210,1187,1207,1195
66500,1186,1210,1187,1207,1195
67000,1186,1210,1187,1207,1195
67500,1186,1210,1187,1207,1195
68000,1186,1210,1187,1207,1195
68500,1186,1210,1187,1207,1195
69000,1186,1210,1187,1207,1195
69500,1186,1210,1187,1207,1195
70000,1186,1210,1187,1207,1195
70500,1186,1210,1187,1207,1195
71000,1186,1210,1187,1207,1195
71500,1186,1210,1187,1205,1195
72000,1186,1210,1187,1205,1195
72500,1186,1210,1187,1205,1195
73000,1186,1210,1187,1201,1195
73500,1186,1209,1187,1201,1195
74000,1186,1209,1187,1201,1195
74500,1186,1209,1187,1201,1195
