Selection,T
Cross Over,UC
Mutation,RM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1446,1434,1479,1470,1435
500,1368,1371,1396,1386,1407
1000,1367,1348,1388,1386,1407
1500,1367,1347,1388,1386,1407
2000,1363,1347,1380,1386,1407
2500,1363,1347,1380,1386,1407
3000,1363,1347,1341,1386,1407
3500,1363,1347,1341,1386,1407
4000,1363,1347,1341,1386,1407
4500,1363,1347,1341,1386,1407
5000,1363,1347,1341,1386,1401
5500,1363,1347,1341,1384,1401
6000,1363,1347,1341,1384,1401
6500,1363,1347,1341,1384,1401
7000,1363,1347,1341,1384,1401
7500,1363,1347,1341,1384,1401
8000,1363,1347,1341,1368,1401
8500,1363,1347,1341,1368,1401
9000,1363,1347,1341,1368,1396
9500,1363,1347,1341,1368,1396
10000,1363,1347,1341,1368,1396
10500,1360,1347,1341,1368,1396
11000,1360,1347,1341,1368,1396
11500,1360,1347,1341,1366,1396
12000,1360,1347,1341,1366,1396
12500,1360,1347,1341,1366,1396
13000,1360,1347,1341,1366,1396
13500,1360,1347,1341,1366,1396
14000,1360,1347,1341,1366,1396
14500,1360,1347,1341,1366,1396
15000,1360,1347,1341,1366,1396
15500,1360,1347,1341,1366,1396
16000,1360,1347,1341,1366,1396
16500,1360,1347,1341,1366,1396
17000,1360,1347,1341,1366,1396
17500,1360,1347,1341,1366,1396
18000,1360,1347,1341,1366,1396
18500,1360,1347,1341,1366,1395
19000,1360,1347,1341,1366,1395
19500,1360,1347,1341,1366,1395
20000,1360,1347,1341,1366,1395
20500,1360,1347,1341,1366,1395
21000,1360,1347,1341,1366,1395
21500,1360,1347,1341,1366,1395
22000,1360,1347,1341,1366,1391
22500,1360,1299,1341,1366,1391
23000,1360,1299,1341,1366,1391
23500,1360,1299,1341,1366,1391
24000,1360,1299,1341,1366,1391
24500,1360,1299,1341,1366,1391
25000,1360,1299,1341,1366,1391
25500,1360,1299,1341,1366,1391
26000,1359,1299,1341,1366,1391
26500,1359,1299,1341,1366,1391
27000,1359,1299,1341,1366,1391
27500,1359,1299,1341,1366,1391
28000,1359,1299,1341,1366,1391
28500,1359,1299,1341,1366,1391
29000,1359,1299,1341,1366,1391
29500,1359,1299,1341,1366,1390
30000,1359,1299,1341,1366,1390
30500,1359,1299,1341,1366,1390
31000,1359,1299,1341,1366,1390
31500,1359,1299,1341,1366,1390
32000,1359,1299,1341,1366,1390
32500,1359,1299,1341,1366,1390
33000,1359,1299,1341,1366,1390
33500,1359,1299,1341,1366,1390
34000,1359,1299,1341,1366,1390
34500,1359,1299,1341,1366,1390
35000,1359,1299,1341,1366,1390
35500,1359,1299,1341,1366,1390
36000,1359,1299,1341,1366,1390
36500,1359,1299,1341,1366,1390
37000,1359,1299,1341,1366,1390
37500,1359,1299,1341,1366,1390
38000,1359,1299,1341,1366,1389
38500,1359,1299,1341,1366,1389
39000,1359,1299,1341,1366,1389
39500,1359,1299,1341,1366,1389
40000,1359,1299,1341,1366,1389
40500,1359,1299,1341,1366,1389
41000,1359,1299,1341,1366,1389
41500,1359,1299,1341,1366,1389
42000,1359,1299,1341,1366,1389
42500,1359,1299,1341,1366,1389
43000,1359,1299,1341,1366,1389
43500,1359,1299,1341,1366,1389
44000,1359,1299,1341,1366,1389
44500,1359,1299,1341,1366,1389
45000,1359,1299,1341,1366,1389
45500,1359,1299,1341,1366,1389
46000,1359,1299,1341,1366,1389
46500,1359,1299,1341,1366,1389
47000,1359,1299,1341,1366,1389
47500,1359,1299,1341,1366,1389
48000,1359,1299,1341,1366,1389
48500,1359,1299,1341,1366,1389
49000,1359,1299,1341,1366,1389
49500,1359,1299,1341,1366,1389
50000,1359,1299,1341,1366,1389
50500,1359,1299,1341,1366,1389
51000,1359,1299,1341,1366,1389
51500,1359,1299,1341,1366,1389
52000,1359,1299,1341,1366,1389
52500,1359,1299,1341,1366,1389
53000,1359,1299,1341,1366,1389
53500,1359,1299,1341,1366,1389
54000,1359,1299,1341,1366,1389
54500,1359,1299,1341,1366,1389
55000,1359,1299,1341,1366,1389
55500,1359,1299,1341,1366,1389
56000,1359,1299,1341,1366,1389
56500,1359,1299,1341,1366,1389
57000,1359,1299,1341,1366,1389
57500,1359,1299,1341,1366,1389
58000,1359,1299,1341,1366,1389
58500,1359,1299,1341,1366,1389
59000,1349,1299,1341,1366,1389
59500,1344,1299,1341,1366,1389
60000,1344,1299,1341,1366,1389
60500,1335,1299,1341,1366,1389
61000,1335,1299,1341,1366,1389
61500,1335,1299,1341,1366,1389
62000,1335,1299,1341,1366,1389
62500,1335,1299,1341,1366,1389
63000,1335,1299,1341,1366,1389
63500,1335,1299,1341,1366,1389
64000,1335,1299,1341,1366,1389
64500,1335,1299,1341,1366,1389
65000,1335,1299,1341,1366,1389
65500,1335,1299,1341,1366,1389
66000,1335,1299,1341,1366,1389
66500,1335,1299,1341,1366,1389
67000,1335,1299,1341,1366,1389
67500,1335,1299,1341,1366,1389
68000,1335,1299,1341,1366,1389
68500,1335,1299,1341,1366,1389
69000,1335,1299,1341,1366,1389
69500,1335,1299,1341,1366,1389
70000,1335,1299,1341,1366,1389
70500,1335,1299,1341,1366,1389
71000,1335,1299,1341,1366,1389
71500,1335,1299,1341,1366,1389
72000,1335,1299,1341,1366,1389
72500,1335,1299,1341,1366,1389
73000,1335,1299,1341,1366,1389
73500,1335,1299,1341,1366,1389
74000,1335,1299,1341,1366,1389
74500,1335,1299,1341,1366,1389
