Selection,T
Cross Over,UC
Mutation,SM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1426,1442,1431,1447,1410
500,1220,1295,1259,1202,1241
1000,1201,1244,1237,1193,1221
1500,1191,1228,1237,1187,1210
2000,1190,1202,1236,1182,1210
2500,1188,1192,1220,1182,1193
3000,1188,1192,1213,1182,1186
3500,1184,1190,1213,1182,1186
4000,1184,1190,1213,1182,1186
4500,1184,1190,1213,1182,1182
5000,1184,1190,1213,1182,1182
5500,1184,1190,1206,1182,1182
6000,1184,1190,1196,1182,1182
6500,1184,1190,1196,1182,1182
7000,1184,1190,1196,1182,1182
7500,1184,1190,1196,1182,1182
8000,1184,1190,1196,1182,1182
8500,1180,1190,1196,1182,1182
9000,1180,1190,1196,1182,1182
9500,1180,1190,1196,1182,1182
10000,1180,1190,1196,1182,1182
10500,1180,1190,1196,1182,1182
11000,1180,1190,1196,1182,1182
11500,1180,1190,1196,1182,1182
12000,1180,1190,1196,1182,1182
12500,1175,1190,1196,1182,1182
13000,1173,1190,1196,1182,1182
13500,1173,1190,1196,1182,1182
14000,1173,1190,1196,1182,1182
14500,1173,1190,1196,1182,1182
15000,1173,1190,1196,1182,1182
15500,1173,1190,1196,1182,1182
16000,1173,1190,1196,1182,1182
16500,1173,1190,1196,1182,1182
17000,1173,1190,1196,1182,1182
17500,1173,1190,1196,1182,1182
18000,1173,1190,1196,1182,1182
18500,1173,1190,1196,1182,1182
19000,1173,1190,1184,1182,1182
19500,1173,1190,1182,1182,1182
20000,1173,1190,1182,1182,1182
20500,1173,1190,1182,1182,1182
21000,1173,1190,1182,1182,1182
21500,1173,1190,1182,1182,1182
22000,1173,1190,1182,1182,1182
22500,1173,1190,1182,1182,1182
23000,1173,1190,1182,1182,1182
23500,1173,1190,1182,1182,1182
24000,1173,1190,1182,1182,1182
24500,1173,1190,1182,1182,1182
25000,1173,1190,1182,1182,1182
25500,1173,1190,1182,1182,1182
26000,1173,1190,1182,1182,1182
26500,1173,1190,1182,1182,1182
27000,1173,1190,1182,1182,1182
27500,1173,1190,1182,1182,1182
28000,1173,1190,1182,1182,1182
28500,1173,1190,1182,1182,1182
29000,1173,1190,1182,1182,1182
29500,1173,1190,1182,1182,1182
30000,1173,1190,1182,1182,1182
30500,1173,1190,1182,1182,1182
31000,1173,1190,1182,1182,1182
31500,1173,1190,1182,1182,1182
32000,1173,1190,1182,1182,1182
32500,1173,1190,1182,1182,1182
33000,1173,1190,1182,1182,1182
33500,1173,1190,1182,1182,1182
34000,1173,1190,1182,1182,1182
34500,1173,1190,1182,1182,1182
35000,1173,1190,1182,1182,1182
35500,1173,1190,1182,1182,1182
36000,1173,1190,1182,1182,1182
36500,1173,1190,1182,1182,1182
37000,1173,1190,1182,1182,1182
37500,1173,1190,1182,1182,1182
38000,1173,1190,1182,1182,1182
38500,1173,1190,1182,1182,1182
39000,1173,1190,1182,1182,1182
39500,1173,1190,1182,1182,1182
40000,1173,1190,1182,1182,1182
40500,1173,1190,1182,1182,1182
41000,1173,1190,1182,1182,1182
41500,1173,1190,1182,1182,1182
42000,1173,1190,1182,1182,1182
42500,1173,1190,1182,1182,1182
43000,1173,1190,1182,1182,1182
43500,1173,1190,1182,1182,1182
44000,1173,1190,1182,1182,1182
44500,1173,1190,1182,1182,1182
45000,1173,1190,1182,1182,1182
45500,1173,1190,1182,1182,1182
46000,1173,1190,1182,1182,1182
46500,1173,1190,1182,1182,1182
47000,1171,1190,1182,1182,1182
47500,1171,1190,1182,1182,1182
48000,1171,1190,1182,1182,1182
48500,1171,1190,1182,1182,1182
49000,1171,1190,1182,1182,1182
49500,1171,1190,1182,1182,1182
50000,1171,1190,1182,1182,1182
50500,1171,1190,1182,1182,1182
51000,1171,1190,1182,1182,1182
51500,1171,1190,1182,1182,1182
52000,1171,1190,1182,1182,1182
52500,1171,1190,1182,1182,1182
53000,1171,1190,1182,1182,1182
53500,1171,1190,1182,1182,1182
54000,1171,1190,1182,1182,1182
54500,1171,1190,1182,1182,1182
55000,1171,1190,1182,1182,1182
55500,1171,1190,1182,1182,1182
56000,1169,1190,1182,1182,1182
56500,1169,1190,1182,1182,1182
57000,1165,1190,1182,1182,1182
57500,1165,1190,1182,1182,1182
58000,1165,1190,1182,1182,1182
58500,1165,1190,1182,1182,1182
59000,1165,1190,1182,1182,1182
59500,1165,1190,1182,1182,1182
60000,1165,1190,1182,1182,1182
60500,1165,1190,1182,1182,1182
61000,1165,1190,1182,1182,1182
61500,1165,1190,1182,1182,1182
62000,1165,1190,1182,1182,1182
62500,1165,1190,1182,1182,1182
63000,1165,1190,1182,1182,1182
63500,1165,1190,1182,1182,1182
64000,1165,1190,1182,1182,1182
64500,1165,1190,1182,1182,1182
65000,1165,1190,1182,1182,1182
65500,1165,1190,1182,1182,1182
66000,1165,1190,1182,1182,1182
66500,1165,1190,1182,1182,1182
67000,1165,1190,1182,1182,1182
67500,1165,1190,1182,1182,1182
68000,1165,1190,1182,1182,1182
68500,1165,1190,1182,1182,1182
69000,1165,1190,1182,1182,1182
69500,1165,1190,1182,1182,1182
70000,1165,1190,1182,1182,1182
70500,1165,1190,1182,1182,1182
71000,1165,1190,1182,1182,1182
71500,1165,1190,1182,1182,1182
72000,1165,1190,1182,1182,1182
72500,1165,1190,1182,1182,1182
73000,1165,1190,1182,1182,1182
73500,1165,1190,1182,1182,1182
74000,1165,1190,1182,1182,1182
74500,1165,1190,1182,1182,1182
