Selection,T
Cross Over,UC
Mutation,SPSM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1466,1414,1464,1372,1420
500,1304,1307,1319,1306,1279
1000,1301,1307,1318,1269,1279
1500,1301,1307,1318,1265,1279
2000,1301,1307,1271,1265,1279
2500,1301,1306,1271,1265,1279
3000,1301,1306,1270,1265,1276
3500,1301,1306,1267,1254,1276
4000,1301,1306,1253,1254,1275
4500,1301,1306,1253,1254,1273
5000,1301,1306,1253,1254,1273
5500,1301,1306,1253,1254,1273
6000,1301,1306,1253,1254,1273
6500,1301,1306,1253,1254,1273
7000,1301,1306,1253,1254,1273
7500,1301,1306,1253,1254,1273
8000,1301,1306,1253,1254,1273
8500,1301,1306,1253,1249,1273
9000,1301,1306,1253,1238,1273
9500,1301,1306,1253,1234,1273
10000,1301,1306,1253,1234,1273
10500,1301,1306,1253,1232,1273
11000,1301,1306,1253,1226,1273
11500,1301,1306,1253,1226,1273
12000,1301,1306,1253,1226,1273
12500,1301,1306,1253,1226,1273
13000,1301,1306,1253,1226,1273
13500,1301,1306,1253,1226,1273
14000,1301,1306,1253,1226,1273
14500,1301,1306,1253,1226,1273
15000,1300,1306,1253,1226,1273
15500,1300,1306,1253,1226,1273
16000,1299,1306,1253,1226,1273
16500,1297,1306,1253,1226,1273
17000,1297,1306,1253,1226,1273
17500,1296,1306,1253,1226,1273
18000,1296,1306,1253,1226,1273
18500,1296,1306,1253,1226,1273
19000,1296,1306,1253,1226,1273
19500,1296,1306,1253,1226,1273
20000,1296,1306,1253,1226,1273
20500,1296,1306,1253,1226,1273
21000,1296,1306,1253,1226,1273
21500,1296,1306,1253,1226,1273
22000,1296,1306,1253,1226,1273
22500,1296,1306,1253,1226,1273
23000,1296,1306,1253,1226,1273
23500,1296,1306,1253,1226,1273
24000,1296,1306,1253,1226,1273
24500,1296,1306,1253,1226,1272
25000,1296,1306,1253,1226,1269
25500,1296,1306,1253,1226,1269
26000,1296,1306,1253,1226,1269
26500,1296,1306,1253,1226,1269
27000,1296,1306,1253,1226,1269
27500,1296,1306,1253,1226,1269
28000,1296,1306,1253,1226,1269
28500,1296,1306,1253,1226,1269
29000,1296,1306,1253,1226,1269
29500,1296,1306,1253,1226,1269
30000,1296,1306,1253,1226,1269
30500,1296,1306,1253,1226,1269
31000,1244,1306,1253,1226,1269
31500,1230,1306,1253,1226,1269
32000,1230,1306,1253,1226,1269
32500,1230,1306,1253,1226,1269
33000,1230,1306,1253,1226,1269
33500,1230,1306,1253,1226,1269
34000,1230,1306,1253,1226,1269
34500,1230,1306,1253,1226,1269
35000,1230,1306,1253,1226,1269
35500,1230,1306,1253,1226,1269
36000,1230,1306,1253,1226,1269
36500,1227,1306,1253,1226,1269
37000,1227,1306,1253,1226,1269
37500,1227,1306,1253,1226,1269
38000,1227,1306,1253,1226,1269
38500,1227,1306,1253,1226,1269
39000,1219,1306,1253,1226,1269
39500,1214,1306,1253,1226,1269
40000,1211,1306,1253,1226,1269
40500,1210,1306,1253,1226,1269
41000,1210,1306,1253,1226,1269
41500,1210,1306,1253,1226,1269
42000,1210,1306,1253,1226,1269
42500,1210,1306,1253,1226,1269
43000,1210,1306,1253,1226,1265
43500,1210,1306,1253,1226,1265
44000,1210,1306,1253,1226,1265
44500,1210,1306,1253,1226,1265
45000,1210,1306,1253,1226,1265
45500,1210,1306,1253,1226,1265
46000,1210,1306,1253,1226,1265
46500,1210,1306,1253,1226,1265
47000,1210,1306,1253,1226,1265
47500,1210,1306,1253,1226,1265
48000,1210,1306,1253,1226,1265
48500,1210,1306,1253,1226,1265
49000,1210,1306,1253,1226,1265
49500,1210,1306,1253,1226,1265
50000,1210,1306,1253,1226,1265
50500,1210,1306,1253,1226,1265
51000,1210,1306,1253,1226,1265
51500,1210,1306,1253,1226,1265
52000,1210,1306,1253,1226,1265
52500,1210,1306,1253,1226,1265
53000,1210,1306,1253,1223,1265
53500,1210,1282,1253,1223,1265
54000,1210,1282,1253,1223,1265
54500,1210,1282,1253,1223,1265
55000,1210,1276,1253,1223,1265
55500,1210,1276,1253,1223,1265
56000,1210,1276,1253,1223,1265
56500,1210,1276,1253,1223,1265
57000,1210,1276,1253,1223,1265
57500,1210,1276,1253,1223,1265
58000,1210,1276,1253,1223,1265
58500,1209,1276,1253,1223,1265
59000,1208,1275,1253,1223,1265
59500,1208,1275,1253,1223,1265
60000,1208,1271,1253,1223,1265
60500,1208,1271,1253,1223,1265
61000,1208,1271,1253,1223,1265
61500,1208,1271,1253,1223,1265
62000,1208,1271,1253,1223,1265
62500,1208,1271,1253,1223,1265
63000,1208,1271,1253,1223,1265
63500,1208,1271,1253,1223,1265
64000,1208,1271,1253,1223,1265
64500,1208,1271,1253,1223,1265
65000,1208,1271,1253,1223,1265
65500,1208,1271,1253,1223,1265
66000,1208,1271,1253,1223,1265
66500,1208,1271,1253,1223,1265
67000,1208,1271,1253,1223,1265
67500,1208,1271,1253,1223,1265
68000,1208,1271,1253,1223,1265
68500,1208,1271,1253,1223,1265
69000,1208,1271,1253,1223,1265
69500,1208,1271,1253,1223,1265
70000,1208,1271,1253,1223,1265
70500,1208,1271,1253,1223,1265
71000,1208,1268,1253,1223,1265
71500,1208,1268,1253,1223,1265
72000,1208,1268,1253,1219,1263
72500,1208,1268,1253,1219,1263
73000,1208,1268,1253,1219,1263
73500,1208,1268,1253,1219,1263
74000,1208,1268,1253,1219,1263
74500,1208,1268,1253,1219,1263
