,Firms,Year,Connections
0,GENERALI DEUTSCHLAND HLDG AG,2006,0
1,GENERALI DEUTSCHLAND HLDG AG,2007,0
2,GENERALI DEUTSCHLAND HLDG AG,2008,0
3,GENERALI DEUTSCHLAND HLDG AG,2009,0
4,GENERALI DEUTSCHLAND HLDG AG,2010,0
5,GENERALI DEUTSCHLAND HLDG AG,2011,0
6,GENERALI DEUTSCHLAND HLDG AG,2012,0
7,GENERALI DEUTSCHLAND HLDG AG,2013,0
8,IKB DEUTSCHE INDUSTRIEBANK,2006,1
9,IKB DEUTSCHE INDUSTRIEBANK,2007,0
10,IKB DEUTSCHE INDUSTRIEBANK,2008,0
11,IKB DEUTSCHE INDUSTRIEBANK,2009,0
12,IKB DEUTSCHE INDUSTRIEBANK,2010,21
13,IKB DEUTSCHE INDUSTRIEBANK,2011,21
14,IKB DEUTSCHE INDUSTRIEBANK,2012,19
15,IKB DEUTSCHE INDUSTRIEBANK,2013,19
16,IKB DEUTSCHE INDUSTRIEBANK,2014,0
17,IKB DEUTSCHE INDUSTRIEBANK,2015,0
18,IKB DEUTSCHE INDUSTRIEBANK,2016,0
19,IKB DEUTSCHE INDUSTRIEBANK,2017,0
20,IKB DEUTSCHE INDUSTRIEBANK,2018,0
21,IKB DEUTSCHE INDUSTRIEBANK,2019,0
22,BAYERISCHE HYPO- & VEREINSBK,2006,0
23,BAYERISCHE HYPO- & VEREINSBK,2007,0
24,BAYERISCHE HYPO- & VEREINSBK,2008,0
25,BAYERISCHE HYPO- & VEREINSBK,2009,0
26,BAYERISCHE HYPO- & VEREINSBK,2010,0
27,BAYERISCHE HYPO- & VEREINSBK,2011,0
28,BAYERISCHE HYPO- & VEREINSBK,2012,0
29,BAYERISCHE HYPO- & VEREINSBK,2013,0
30,BAYERISCHE HYPO- & VEREINSBK,2014,0
31,BAYERISCHE HYPO- & VEREINSBK,2015,0
32,BAYERISCHE HYPO- & VEREINSBK,2016,0
33,BAYERISCHE HYPO- & VEREINSBK,2017,0
34,BAYERISCHE HYPO- & VEREINSBK,2018,0
35,BAYERISCHE HYPO- & VEREINSBK,2019,0
36,AXA KONZERN AG,2006,1
37,AXA KONZERN AG,2017,0
38,AXA KONZERN AG,2018,0
39,AXA KONZERN AG,2019,0
40,COMMERZBANK,2006,2
41,COMMERZBANK,2007,2
42,COMMERZBANK,2008,4
43,COMMERZBANK,2009,2
44,COMMERZBANK,2010,69
45,COMMERZBANK,2011,64
46,COMMERZBANK,2012,71
47,COMMERZBANK,2013,82
48,COMMERZBANK,2014,3
49,COMMERZBANK,2015,2
50,COMMERZBANK,2016,2
51,COMMERZBANK,2017,2
52,COMMERZBANK,2018,3
53,COMMERZBANK,2019,1
54,DEUTSCHE BANK AG,2006,1
55,DEUTSCHE BANK AG,2007,1
56,DEUTSCHE BANK AG,2008,1
57,DEUTSCHE BANK AG,2009,1
58,DEUTSCHE BANK AG,2010,53
59,DEUTSCHE BANK AG,2011,53
60,DEUTSCHE BANK AG,2012,62
61,DEUTSCHE BANK AG,2013,64
62,DEUTSCHE BANK AG,2014,1
63,DEUTSCHE BANK AG,2015,1
64,DEUTSCHE BANK AG,2016,0
65,DEUTSCHE BANK AG,2017,0
66,DEUTSCHE BANK AG,2018,0
67,DEUTSCHE BANK AG,2019,0
68,MANNHEIMER AG HLDG,2006,0
69,MANNHEIMER AG HLDG,2007,0
70,MANNHEIMER AG HLDG,2008,0
71,MANNHEIMER AG HLDG,2009,0
72,MANNHEIMER AG HLDG,2010,0
73,MANNHEIMER AG HLDG,2011,0
74,MUNICH RE CO,2006,0
75,MUNICH RE CO,2007,0
76,MUNICH RE CO,2008,0
77,MUNICH RE CO,2009,0
78,MUNICH RE CO,2010,0
79,MUNICH RE CO,2011,0
80,MUNICH RE CO,2012,0
81,MUNICH RE CO,2013,0
82,MUNICH RE CO,2014,0
83,MUNICH RE CO,2015,0
84,MUNICH RE CO,2016,0
85,MUNICH RE CO,2017,0
86,MUNICH RE CO,2018,0
87,MUNICH RE CO,2019,0
88,ERGO VERSICHERUNGSGRUPPE AG,2006,1
89,ERGO VERSICHERUNGSGRUPPE AG,2007,1
90,ERGO VERSICHERUNGSGRUPPE AG,2008,1
91,ERGO VERSICHERUNGSGRUPPE AG,2009,1
92,ERGO VERSICHERUNGSGRUPPE AG,2010,46
93,ERGO VERSICHERUNGSGRUPPE AG,2011,21
94,ERGO VERSICHERUNGSGRUPPE AG,2012,19
95,ERGO VERSICHERUNGSGRUPPE AG,2013,17
96,ERGO VERSICHERUNGSGRUPPE AG,2014,0
97,ALLIANZ SE,2006,2
98,ALLIANZ SE,2007,1
99,ALLIANZ SE,2008,0
100,ALLIANZ SE,2009,0
101,ALLIANZ SE,2010,32
102,ALLIANZ SE,2011,31
103,ALLIANZ SE,2012,37
104,ALLIANZ SE,2013,35
105,ALLIANZ SE,2014,2
106,ALLIANZ SE,2015,1
107,ALLIANZ SE,2016,1
108,ALLIANZ SE,2017,1
109,ALLIANZ SE,2018,1
110,ALLIANZ SE,2019,1
111,ALLIANZ LEBENSVERSICHERUNGS,2006,0
112,ALLIANZ LEBENSVERSICHERUNGS,2007,0
113,ALLIANZ LEBENSVERSICHERUNGS,2008,0
114,ALLIANZ LEBENSVERSICHERUNGS,2009,0
115,ALLIANZ LEBENSVERSICHERUNGS,2010,0
116,ALLIANZ LEBENSVERSICHERUNGS,2011,0
117,ALLIANZ LEBENSVERSICHERUNGS,2012,0
118,ALLIANZ LEBENSVERSICHERUNGS,2013,0
119,ALLIANZ LEBENSVERSICHERUNGS,2014,0
120,ALLIANZ LEBENSVERSICHERUNGS,2015,0
121,ALLIANZ LEBENSVERSICHERUNGS,2016,0
122,ALLIANZ LEBENSVERSICHERUNGS,2017,0
123,ALLIANZ LEBENSVERSICHERUNGS,2018,0
124,ALLIANZ LEBENSVERSICHERUNGS,2019,0
125,GENERAL REINSURANCE AG,2006,0
126,GENERAL REINSURANCE AG,2007,0
127,GENERAL REINSURANCE AG,2008,0
128,GENERAL REINSURANCE AG,2009,0
129,GENERAL REINSURANCE AG,2010,7
130,GENERAL REINSURANCE AG,2011,7
131,GENERAL REINSURANCE AG,2012,8
132,GENERAL REINSURANCE AG,2013,6
133,GENERAL REINSURANCE AG,2014,0
134,GENERAL REINSURANCE AG,2015,0
135,GENERAL REINSURANCE AG,2016,0
136,GENERAL REINSURANCE AG,2017,0
137,GENERAL REINSURANCE AG,2018,0
138,GENERAL REINSURANCE AG,2019,0
139,BASF SE,2006,0
140,BASF SE,2007,0
141,BASF SE,2008,1
142,BASF SE,2009,1
143,BASF SE,2010,45
144,BASF SE,2011,52
145,BASF SE,2012,64
146,BASF SE,2013,59
147,BASF SE,2014,1
148,BASF SE,2015,1
149,BASF SE,2016,1
150,BASF SE,2017,1
151,BASF SE,2018,2
152,BASF SE,2019,0
153,DAIMLER AG,2006,0
154,DAIMLER AG,2007,0
155,DAIMLER AG,2008,0
156,DAIMLER AG,2009,0
157,DAIMLER AG,2010,33
158,DAIMLER AG,2011,33
159,DAIMLER AG,2012,36
160,DAIMLER AG,2013,45
161,DAIMLER AG,2014,0
162,DAIMLER AG,2015,0
163,DAIMLER AG,2016,0
164,DAIMLER AG,2017,0
165,DAIMLER AG,2018,0
166,DAIMLER AG,2019,1
167,SIEMENS AG,2006,1
168,SIEMENS AG,2007,1
169,SIEMENS AG,2008,1
170,SIEMENS AG,2009,1
171,SIEMENS AG,2010,94
172,SIEMENS AG,2011,111
173,SIEMENS AG,2012,98
174,SIEMENS AG,2013,107
175,SIEMENS AG,2014,2
176,SIEMENS AG,2015,2
177,SIEMENS AG,2016,0
178,SIEMENS AG,2017,0
179,SIEMENS AG,2018,0
180,SIEMENS AG,2019,0
181,HAMBORNER REIT AG,2006,0
182,HAMBORNER REIT AG,2007,2
183,HAMBORNER REIT AG,2008,1
184,HAMBORNER REIT AG,2009,1
185,HAMBORNER REIT AG,2010,7
186,HAMBORNER REIT AG,2011,8
187,HAMBORNER REIT AG,2012,8
188,HAMBORNER REIT AG,2013,8
189,HAMBORNER REIT AG,2014,0
190,HAMBORNER REIT AG,2015,0
191,HAMBORNER REIT AG,2016,0
192,HAMBORNER REIT AG,2017,0
193,HAMBORNER REIT AG,2018,0
194,HAMBORNER REIT AG,2019,0
195,BAYERISCHE LANDES GIR,2006,0
196,BAYERISCHE LANDES GIR,2007,0
197,BAYERISCHE LANDES GIR,2008,0
198,BAYERISCHE LANDES GIR,2009,0
199,BAYERISCHE LANDES GIR,2010,0
200,BAYERISCHE LANDES GIR,2011,0
201,BAYERISCHE LANDES GIR,2012,0
202,BAYERISCHE LANDES GIR,2013,0
203,BAYERISCHE LANDES GIR,2014,0
204,BAYERISCHE LANDES GIR,2015,0
