Jens Ackermann, FDP
Ulrich Adam, CDU
Karl Addicks, FDP
Christian Ahrendt, FDP
Ilse Aigner, CSU
Lale Akgün, SPD
Peter Albach, CDU
Peter Altmaier, CDU
Gregor Amann, SPD
Kerstin Andreae, Bündnis 90/Die Grünen
Gerd Andres, SPD
Niels Annen, SPD
Ingrid Arndt-Brauer, SPD
Rainer Arnold, SPD
Hüseyin Kenan Aydın, Die Linke.
Sabine Bätzing, SPD
Daniel Bahr, FDP
Ernst Bahr, SPD
Thomas Bareiß, CDU
Doris Barnett, SPD
Hans-Peter Bartels, SPD
Uwe Barth, FDP
Klaus Barthel, SPD
Norbert Barthle, CDU
Sören Bartol, SPD
Dietmar Bartsch, Die Linke.
Wolf Bauer, CDU
Günter Baumann, CDU
Ernst-Reinhard Beck, CDU
Marieluise Beck, Bündnis 90/Die Grünen
Volker Beck, Bündnis 90/Die Grünen
Dirk Becker, SPD
Uwe Beckmeyer, SPD
Cornelia Behm, Bündnis 90/Die Grünen
Veronika Maria Bellmann, CDU
Birgitt Bender, Bündnis 90/Die Grünen
Klaus Uwe Benneter, SPD
Axel Berg, SPD
Ute Berg, SPD
Christoph Bergner, CDU
Otto Bernhardt, CDU
Matthias Berninger, Bündnis 90/Die Grünen
Petra Bierwirth, SPD
Karin Binder, Die Linke.
Lothar Binding, SPD
Clemens Binninger, CDU
Lothar Bisky, Die Linke.
Carl-Eduard Graf von Bismarck, CDU
Renate Blank, CSU
Peter Bleser, CDU
Heidrun Bluhm, Die Linke.
Antje Blumenthal, CDU
Volker Blumentritt, SPD
Kurt Bodewig, SPD
Maria Böhmer, CDU
Wolfgang Börnsen, CDU
Clemens Bollen, SPD
Gerd Bollmann, SPD
Alexander Bonde, Bündnis 90/Die Grünen
Jochen Borchert, CDU
Wolfgang Bosbach, CDU
Gerhard Botz, SPD
Klaus Brähmig, CDU
Michael Brand, CDU
Klaus Brandner, SPD
Helmut Brandt, CDU
Willi Brase, SPD
Ralf Brauksiepe, CDU
Bernhard Brinkmann, SPD
Rainer Brüderle, FDP
Monika Brüning, CDU
Angelika Brunkhorst, FDP
Georg Brunnhuber, CDU
Marco Bülow, SPD
Michael Bürsch, SPD
Eva Bulling-Schröter, Die Linke.
Edelgard Bulmahn, SPD
Martina Bunge, Die Linke.
Ulla Burchardt, SPD
Ernst Burgbacher, FDP
Martin Burkert, SPD
