Land,Name,Party
Schleswig-Holstein,"Börnsen, Wolfgang",CDU
Schleswig-Holstein,"Liebing, Ingbert",CDU
Schleswig-Holstein,"Koschorrek, Rolf",CDU
Schleswig-Holstein,"Wadephul, Johann David",CDU
Schleswig-Holstein,"Murmann, Philipp",CDU
Schleswig-Holstein,"Schröder, Ole",CDU
Schleswig-Holstein,"Storjohann, Gero",CDU
Schleswig-Holstein,"Gädechens, Ingo",CDU
Schleswig-Holstein,"Brackmann, Norbert",CDU
Schleswig-Holstein,"Bartels, Hans-Peter",SPD
Schleswig-Holstein,"Hiller-Ohm, Gabriele",SPD
Schleswig-Holstein,"Rossmann, Ernst Dieter",SPD
Schleswig-Holstein,"Hagedorn, Bettina",SPD
Schleswig-Holstein,"Thönnes, Franz",SPD
Schleswig-Holstein,"Rix, Sönke",SPD
Schleswig-Holstein,"Koppelin, Jürgen",FDP
Schleswig-Holstein,"Happach-Kasan, Christel",FDP
Schleswig-Holstein,"Blumenthal, Sebastian",FDP
Schleswig-Holstein,"Aschenberg-Dugnus, Christine",FDP
Schleswig-Holstein,"Möhring, Cornelia",Linke
Schleswig-Holstein,"Sharma, Raju",Linke
Schleswig-Holstein,"Nestle, Ingrid",Grüne
Schleswig-Holstein,"von Notz, Konstantin",Grüne
Schleswig-Holstein,"Wilms, Valerie",Grüne
Schleswig-Holstein,"Wagner, Arfst",Grüne
Mecklenburg-Vorpommern,"Strenz, Karin",CDU
Mecklenburg-Vorpommern,"Monstadt, Dietrich",CDU
Mecklenburg-Vorpommern,"Merkel, Angela",CDU
Mecklenburg-Vorpommern,"Lietz, Matthias",CDU
Mecklenburg-Vorpommern,"Rehberg, Eckhardt",CDU
Mecklenburg-Vorpommern,"Poland, Christoph",CDU
Mecklenburg-Vorpommern,"Hacker, Hans-Joachim",SPD
Mecklenburg-Vorpommern,"Steffen, Sonja Amalie",SPD
Mecklenburg-Vorpommern,"Ahrendt, Christian",FDP
Mecklenburg-Vorpommern,"Reinhold, Hagen",FDP
Mecklenburg-Vorpommern,"Bockhahn, Steffen",Linke
Mecklenburg-Vorpommern,"Bartsch, Dietmar",Linke
Mecklenburg-Vorpommern,"Bunge, Martina",Linke
Mecklenburg-Vorpommern,"Bluhm, Heidrun",Linke
Mecklenburg-Vorpommern,"Terpe, Harald",Grüne
Hamburg,"Kruse, Rüdiger",CDU
Hamburg,"Fischer, Dirk",CDU
Hamburg,"Klimke, Jürgen",CDU
Hamburg,"Weinberg, Marcus",CDU
Hamburg,"Kahrs, Johannes",SPD
Hamburg,"Scholz, Olaf",SPD
Hamburg,"Klose, Hans-Ulrich",SPD
Hamburg,"OezoguzÖzo_uz, Aydan",SPD
Hamburg,"Egloff, Ingo",SPD
Hamburg,"Müller-Sönksen, Burkhardt",FDP
Hamburg,"Canel, Sylvia",FDP
Hamburg,"van Aken, Jan",Linke
Hamburg,"Sager, Krista",Grüne
Hamburg,"Sarrazin, Manuel",Grüne
Niedersachsen,"Connemann, Gitta",CDU
Niedersachsen,"Kossendey, Thomas",CDU
Niedersachsen,"Grotelüschen, Astrid",CDU
Niedersachsen,"Ferlemann, Enak",CDU
Niedersachsen,"Krogmann, Martina",CDU
Niedersachsen,"Kues, Hermann",CDU
Niedersachsen,"Holzenkamp, Franz-Josef",CDU
Niedersachsen,"Knoerig, Axel",CDU
Niedersachsen,"Mattfeldt, Andreas",CDU
Niedersachsen,"Grindel, Reinhard",CDU
Niedersachsen,"Grosse-Brömer, Michael",CDU
Niedersachsen,"Pols, Eckhard",CDU
Niedersachsen,"Schirmbeck, Georg",CDU
Niedersachsen,"Middelberg, Mathias",CDU
Niedersachsen,"Otte, Henning",CDU
Niedersachsen,"Lach, Günter",CDU
Niedersachsen,"von der Leyen, Ursula",CDU
Niedersachsen,"von Klaeden, Eckart",CDU
Niedersachsen,"Flachsbarth, Maria",CDU
Niedersachsen,"Pawelski, Rita",CDU
Niedersachsen,"Fischer, Hartwig",CDU
Niedersachsen,"Kammer, Hans-Werner",CDU
Niedersachsen,"Klamt, Ewa",CDU
Niedersachsen,"Duin, Garrelt",SPD
Niedersachsen,"Evers-Meyer, Karin",SPD
Niedersachsen,"Edathy, Sebastian",SPD
Niedersachsen,"Tack, Kerstin",SPD
Niedersachsen,"Bulmahn, Edelgard",SPD
Niedersachsen,"Marks, Caren",SPD
Niedersachsen,"Heil, Hubertus",SPD
Niedersachsen,"Lösekrug-Möller, Gabriele",SPD
Niedersachsen,"Miersch, Matthias",SPD
Niedersachsen,"Brinkmann, Bernhard",SPD
Niedersachsen,"Gabriel, Sigmar",SPD
Niedersachsen,"Reimann, Carola",SPD
Niedersachsen,"Priesmeier, Wilhelm",SPD
Niedersachsen,"Oppermann, Thomas",SPD
Niedersachsen,"Klingbeil, Lars",SPD
Niedersachsen,"Lühmann, Kirsten",SPD
Niedersachsen,"Ortel, Holger",SPD
Niedersachsen,"Barchmann, Hans-Joachim",SPD
Niedersachsen,"Schwanholz, Martin",SPD
Niedersachsen,"Groneberg, Gabriele",SPD
Niedersachsen,"Thiele, Carl-Ludwig",FDP
Niedersachsen,"Winterstein, Claudia",FDP
Niedersachsen,"Goldmann, Hans-Michael",FDP
