Member of the Bundestag,Born,Party,State1
Jan van Aken,1961,DIE LINKE,Hamburg
Stephan Albani,1968,CDU,Niedersachsen
Katrin Albsteiger,1983,CSU,Bayern
Agnes Alpers,1961,DIE LINKE,Bremen
Peter Altmaier,1958,CDU,Saarland
Luise Amtsberg,1984,GRÜNE,Schleswig-Holstein
Kerstin Andreae,1968,GRÜNE,Baden-Württemberg
Niels Annen,1973,SPD,Hamburg
Ingrid Arndt-Brauer,1961,SPD,Nordrhein-Westfalen
Rainer Arnold,1950,SPD,Baden-Württemberg
Artur Auernhammer,1963,CSU,Bayern
Heike Baehrens,1955,SPD,Baden-Württemberg
Annalena Baerbock,1980,GRÜNE,Brandenburg
Ulrike Bahr,1964,SPD,Bayern
Bettina Bähr-Losse,1967,SPD,Nordrhein-Westfalen
Dorothee Bär,1978,CSU,Bayern
Heinz-Joachim Barchmann,1950,SPD,Niedersachsen
Thomas Bareiß,1975,CDU,Baden-Württemberg
Katarina Barley,1968,SPD,Rheinland-Pfalz
Doris Barnett,1953,SPD,Rheinland-Pfalz
Hans-Peter Bartels,1961,SPD,Schleswig-Holstein
Klaus Barthel,1955,SPD,Bayern
Norbert Barthle,1952,CDU,Baden-Württemberg
Matthias Bartke,1959,SPD,Hamburg
Sören Bartol,1974,SPD,Hessen
Dietmar Bartsch,1958,DIE LINKE,Mecklenburg-Vorpommern
Bärbel Bas,1968,SPD,Nordrhein-Westfalen
Sabine Bätzing-Lichtenthäler,1975,SPD,Rheinland-Pfalz
Günter Baumann,1947,CDU,Sachsen
Marieluise Beck,1952,GRÜNE,Bremen
(Bremen),,,
Volker Beck,1960,GRÜNE,Nordrhein-Westfalen
(Köln),,,
Dirk Becker,1966,SPD,Nordrhein-Westfalen
Uwe Beckmeyer,1949,SPD,Bremen
Maik Beermann,1981,CDU,Niedersachsen
Herbert Behrens,1954,DIE LINKE,Niedersachsen
Manfred Behrens,1956,CDU,Sachsen-Anhalt
(Börde),,,
Veronika Bellmann,1960,CDU,Sachsen
Sybille Benning,1961,CDU,Nordrhein-Westfalen
André Berghegger,1972,CDU,Niedersachsen
Christoph Bergner,1948,CDU,Sachsen-Anhalt
Ute Bertram,1961,CDU,Niedersachsen
Peter Beyer,1970,CDU,Nordrhein-Westfalen
Steffen Bilger,1979,CDU,Baden-Württemberg
Karin Binder,1957,DIE LINKE,Baden-Württemberg
Lothar Binding,1950,SPD,Baden-Württemberg
(Heidelberg),,,
Clemens Binninger,1962,CDU,Baden-Württemberg
Matthias Birkwald,1961,DIE LINKE,Nordrhein-Westfalen
Peter Bleser,1952,CDU,Rheinland-Pfalz
Burkhard Blienert,1966,SPD,Nordrhein-Westfalen
Heidrun Bluhm,1958,DIE LINKE,Mecklenburg-Vorpommern
Maria Böhmer,1950,CDU,Rheinland-Pfalz
Wolfgang Bosbach,1952,CDU,Nordrhein-Westfalen
Norbert Brackmann,1954,CDU,Schleswig-Holstein
Klaus Brähmig,1957,CDU,Sachsen
Michael Brand,1973,CDU,Hessen
Reinhard Brandl,1977,CSU,Bayern
Helmut Brandt,1950,CDU,Nordrhein-Westfalen
Franziska Brantner,1979,GRÜNE,Baden-Württemberg
Willi Brase,1951,SPD,Nordrhein-Westfalen
Ralf Brauksiepe,1967,CDU,Nordrhein-Westfalen
Helge Braun,1972,CDU,Hessen
Heike Brehmer,1962,CDU,Sachsen-Anhalt
Ralph Brinkhaus,1968,CDU,Nordrhein-Westfalen
Agnieszka Brugger,1985,GRÜNE,Baden-Württemberg
Karl-Heinz Brunner,1953,SPD,Bayern
Christine Buchholz,1971,DIE LINKE,Hessen
Eva Bulling-Schröter,1956,DIE LINKE,Bayern
Edelgard Bulmahn,1951,SPD,Niedersachsen
Marco Bülow,1971,SPD,Nordrhein-Westfalen
Martin Burkert,1964,SPD,Bayern
Cajus Julius Caesar,1951,CDU,Nordrhein-Westfalen
Lars Castellucci,1974,SPD,Baden-Württemberg
Roland Claus,1954,DIE LINKE,Sachsen-Anhalt
Gitta Connemann,1964,CDU,Niedersachsen
Jürgen Coße,1969,SPD,Nordrhein-Westfalen
Petra Crone,1950,SPD,Nordrhein-Westfalen
Sevim Da_delen,1975,DIE LINKE,Nordrhein-Westfalen
Bernhard Daldrup,1956,SPD,Nordrhein-Westfalen
Diether Dehm,1950,DIE LINKE,Niedersachsen
Ekin Deligöz,1971,GRÜNE,Bayern
Karamba Diaby,1961,SPD,Sachsen-Anhalt
Alexandra Dinges-Dierig,1953,CDU,Schleswig-Holstein
Sabine Dittmar,1964,SPD,Bayern
Alexander Dobrindt,1970,CSU,Bayern
Michael Donth,1967,CDU,Baden-Württemberg
Thomas Dörflinger,1965,CDU,Baden-Württemberg
Martin Dörmann,1962,SPD,Nordrhein-Westfalen
Katja Dörner,1976,GRÜNE,Nordrhein-Westfalen
Marie-Luise Dött,1953,CDU,Nordrhein-Westfalen
Elvira Drobinski-Weiß,1951,SPD,Baden-Württemberg
Katharina Dröge,1984,GRÜNE,Nordrhein-Westfalen
Hansjörg Durz,1971,CSU,Bayern
Iris Eberl,1958,CSU,Bayern
Harald Ebner,1964,GRÜNE,Baden-Württemberg
Jutta Eckenbach,1952,CDU,Nordrhein-Westfalen
Sebastian Edathy,1969,SPD,Niedersachsen
Siegmund Ehrmann,1952,SPD,Nordrhein-Westfalen
Michaela Engelmeier-Heite,1960,SPD,Nordrhein-Westfalen
Gernot Erler,1944,SPD,Baden-Württemberg
Klaus Ernst,1954,DIE LINKE,Bayern
Petra Ernstberger,1955,SPD,Bayern
Saskia Esken,1961,SPD,Baden-Württemberg
Karin Evers-Meyer,1949,SPD,Niedersachsen
Bernd Fabritius,1965,CSU,Bayern
Hermann Färber,1963,CDU,Baden-Württemberg
Johannes Fechner,1972,SPD,Baden-Württemberg
Uwe Feiler,1965,CDU,Brandenburg
Thomas Feist,1965,CDU,Sachsen
Fritz Felgentreu,1968,SPD,Berlin
Enak Ferlemann,1963,CDU,Niedersachsen
Elke Ferner,1958,SPD,Saarland
Ute Finckh-Krämer,1956,SPD,Berlin
Ingrid Fischbach,1957,CDU,Nordrhein-Westfalen
Axel Fischer,1966,CDU,Baden-Württemberg
(Karlsruhe-Land),,,
Dirk Fischer,1943,CDU,Hamburg
(Hamburg),,,
Maria Flachsbarth,1963,CDU,Niedersachsen
Christian Flisek,1974,SPD,Bayern
