Name,Year of birth,party,State
Michael von Abercron,1952[1],CDU,Schleswig-Holstein
Doris Achelwilm,1976[3],The Left,Bremen
Grigorios Aggelidis,1965[4],FDP,Lower Saxony
Gökay Akbulut,1982[5],The Left,Baden-Württemberg
Stephan Albani,1968[6],CDU,Lower Saxony
Renata Alt,1965[7],FDP,Baden-Württemberg
Norbert Altenkamp,1972[8],CDU,Hesse
Peter Altmaier,1958[10],CDU,Saarland
Philipp Amthor,1992[12],CDU,Mecklenburg-Vorpommern
Luise Amtsberg,1984[14],Greens,Schleswig-Holstein
Niels Annen,1973[15],SPD,Hamburg
Ingrid Arndt-Brauer,1961[17],SPD,North Rhine-Westphalia
Christine Aschenberg-Dugnus,1959[18],FDP,Schleswig-Holstein
Artur Auernhammer,1963[19],CSU,Bavaria
Peter Aumer,1976[21],CSU,Bavaria
Bela Bach,1990[23],SPD,Bavaria
Lisa Badum,1983[24],Greens,Bavaria
Heike Baehrens,1955[25],SPD,Baden-Württemberg
Annalena Baerbock,1980[26],Greens,Brandenburg
Ulrike Bahr,1964[27],SPD,Bavaria
Dorothee Bär,1978[28],CSU,Bavaria
Nezahat Baradari,1965[30],SPD,North Rhine-Westphalia
Thomas Bareiß,1975[32],CDU,Baden-Württemberg
Doris Barnett,1953[34],SPD,Rhineland-Palatinate
Simone Barrientos,1963[35],The Left,Bavaria
Norbert Barthle,1952[36],CDU,Baden-Württemberg
Matthias Bartke,1959[38],SPD,Hamburg
Sören Bartol,1974[40],SPD,Hesse
Dietmar Bartsch,1958[42],The Left,Mecklenburg-Vorpommern
Bärbel Bas,1968[43],SPD,North Rhine-Westphalia
Nicole Bauer,1987[45],FDP,Bavaria
Bernd Baumann,1958[46],AfD,Hamburg
Margarete Bause,1959[47],Greens,Bavaria
Danyal Bayaz,1983[48],Greens,Baden-Württemberg
Canan Bayram,1966[49],Greens,Berlin
Jens Beeck,1969[51],FDP,Lower Saxony
Olaf in der Beek,1967[52],FDP,North Rhine-Westphalia
Maik Beermann,1981[53],CDU,Lower Saxony
Manfred Behrens,1956[55],CDU,Saxony-Anhalt
Veronika Bellmann,1960[57],CDU,Saxony
Sybille Benning,1961[59],CDU,North Rhine-Westphalia
André Berghegger,1972[61],CDU,Lower Saxony
Marc Bernhard,1972[63],AfD,Baden-Württemberg
Melanie Bernstein,1976[64],CDU,Schleswig-Holstein
Christoph Bernstiel,1984[66],CDU,Saxony-Anhalt
Lorenz Gösta Beutin,1978[68],The Left,Schleswig-Holstein
Peter Beyer,1970[69],CDU,North Rhine-Westphalia
Marc Biadacz,1979[71],CDU,Baden-Württemberg
Steffen Bilger,1979[73],CDU,Baden-Württemberg
Lothar Binding,1950[75],SPD,Baden-Württemberg
Matthias W. Birkwald,1961[76],The Left,North Rhine-Westphalia
Andreas Bleck,1988[77],AfD,Rhineland-Palatinate
Peter Bleser,1952[78],CDU,Rhineland-Palatinate
Heidrun Bluhm,1958[80],The Left,Mecklenburg-Vorpommern
Peter Boehringer,1969[81],AfD,Bavaria
Norbert Brackmann,1954[82],CDU,Schleswig-Holstein
Michael Brand,1973[84],CDU,Hesse
Jens Brandenburg,1986[86],FDP,Baden-Württemberg
Mario Brandenburg,1983[87],FDP,Rhineland-Palatinate
Reinhard Brandl,1977[88],CSU,Bavaria
Stephan Brandner,1966[90],AfD,Thuringia
Michel Brandt,1990[91],The Left,Baden-Württemberg
Franziska Brantner,1979[92],Greens,Baden-Württemberg
Helge Braun,1972[93],CDU,Hesse
Jürgen Braun,1961[95],AfD,Baden-Württemberg
Eberhard Brecht,1950[96],SPD,Saxony-Anhalt
Silvia Breher,1973[97],CDU,Lower Saxony
Sebastian Brehm,1971[99],CSU,Bavaria
Heike Brehmer,1962[101],CDU,Saxony-Anhalt
Leni Breymaier,1960[103],SPD,Baden-Württemberg
Ralph Brinkhaus,1968[104],CDU,North Rhine-Westphalia
Carsten Brodesser,1967[106],CDU,North Rhine-Westphalia
Agnieszka Brugger,1985[108],Greens,Baden-Württemberg
